"1. 医師：こんにちは、今日はどのような症状でお越しですか？
2. 患者：こんにちは、2ヶ月前から動悸と手の震えが気になっています。
3. 医師：動悸はどのくらいの頻度で感じますか？
4. 患者：特にストレスが多い時に強く感じますが、最近は常に感じるようになりました。
5. 医師：手の震えはどのような時に強くなりますか？
6. 患者：手を使う時や緊張すると震えます。
7. 医師：その症状が出始めた頃は、何か特別な出来事がありましたか？
8. 患者：仕事のストレスが増えた時期でした。
9. 医師：体重に変化はありましたか？
10. 患者：はい、3kgほど減りました。
11. 医師：落ち着きがないとのことですが、どのくらいイライラしていますか？
12. 患者：常にイライラしていて、集中できないです。
13. 医師：さらに詳しくお聞きしますが、寝つきは良いですか？
14. 患者：あまり良くなくて、寝つくまでに時間がかかります。
15. 医師：心拍数はどのくらいで感じますか？
16. 患者：最近は早くなった気がします。
17. 医師：瞳孔が拡大していることに気づきましたか？
18. 患者：いえ、自分では気づいていませんでした。
19. 医師：他に気になる症状はありますか？
20. 患者：甲状腺が腫れている気がします。
21. 医師：腫れを感じるのはいつ頃からですか？
22. 患者：少し前から触ってわかるようになりました。
23. 医師：ご家族に同様の症状を訴えた方はいらっしゃいますか？
24. 患者家族：はい、母も似たような症状があったことがあります。
25. 医師：その当時の検査結果について覚えていることはありますか？
26. 患者家族：詳しいことはわかりませんが、甲状腺のことを言っていたと思います。
27. 医師：その他、心配なことは何かありますか？
28. 患者：この症状が続くと仕事に影響が出そうで不安です。
29. 医師：今はどのように対処していますか？
30. 患者：なるべくリラックスするようにしています。
31. 医師：最近の生活で気をつけていることはありますか？
32. 患者：カフェインを減らすようにしています。
33. 医師：それが効果的だったと感じますか？
34. 患者：少しは良くなった気がしますが、まだ安心できません。
35. 医師：これまでの病歴について、他に気になったことはありますか？
36. 患者：特に大きな病歴はないと思います。
37. 医師：最近の健康診断の結果はどうでしたか？
38. 患者：特に異常はなかったはずです。
39. 医師：今、服用している薬はありますか？
40. 患者：特にはありません。
41. 医師：血圧を測ったことはありますか？
42. 患者：最近測ってみたら少し高かったです。
43. 医師：その時の血圧はどれくらいでしたか？
44. 患者：130/80mmHgでした。
45. 医師：頻脈や高血圧の他に感じる症状は？
46. 患者：それ以外は特にありません。
47. 医師：ストレス解消のために何か趣味はありますか？
48. 患者：音楽を聴くことが好きです。
49. 医師：うまくリラックスできていますか？
50. 患者：時々はできていますが、まだ不安があります。
51. 医師：血液検査を行った結果、甲状腺刺激ホルモン（TSH）が低めで、フリーT4とT3が上昇していました。これはBasedow病の可能性があります。"
