"1. 医師：こんにちは。今日はどのようなご相談ですか？  
2. 患者：最近、朝やお腹が空いているときにふらつきやめまいがするんです。汗も出ます。  
3. 医師：いつ頃からその症状がありますか？  
4. 患者：6か月くらい前からです。その頃は軽かったんですが、だんだんひどくなってきました。  
5. 医師：その症状は毎日出ますか、それとも時々ですか？  
6. 患者：毎日ではないですけど、特に朝や食事を忘れたときによく感じます。  
7. 医師：何かきっかけがあると症状が出やすいですか？  
8. 患者：お腹が空いている時ですね。朝ごはんを食べなかったり、仕事中お昼を遅らせたりしたときに感じます。  
9. 医師：その症状が出たとき、具体的にはどうなりますか？  
10. 患者：めまいがして立っていられなくなります。汗もだらだら出て、手が震えることもあります。  
11. 医師：その症状はどのくらい続きますか？  
12. 患者：軽食を食べたら10分くらいで治ります。  
13. 医師：夜にも同じような症状がありますか？  
14. 患者：そうですね。夜中に目が覚めることがあって、そのときお腹が空いていて食べることがあります。  
15. 医師：その時も同じような症状を感じますか？  
16. 患者：はい、夜もふらついて冷や汗が出たりします。  
17. 医師：集中力の低下や疲労感を感じたことはありますか？  
18. 患者：最近、仕事中に集中できなくなったと感じることが増えてきました。  
19. 医師：他に食欲が異常に増えたり、逆に減ったりしたことはありますか？  
20. 患者：特にはないですけど、空腹感を感じやすくなってる気がします。  
21. 医師：体重の変化はありましたか？  
22. 患者：体重は特に変わっていません。  
23. 医師：この6か月間で他に体調の変化は感じますか？  
24. 患者：いいえ、それ以外はありません。  
25. 医師：ご自分で血糖値を測ったことはありますか？  
26. 患者：いいえ、測ったことはありません。  
27. 医師：過去に糖尿病や低血糖発作を指摘されたことはありますか？  
28. 患者：いえ、それはありません。  
29. 医師：現在、何かお薬を服用されていますか？  
30. 患者：特に薬は飲んでいませんが、食事療法はしています。  
31. 医師：食事療法はどのようにされていますか？  
32. 患者：主に脂っぽいものを控えて、野菜中心の食事にしています。  
33. 医師：わかりました。ご家族に糖尿病や低血糖に関連する病歴をお持ちの方はいらっしゃいますか？  
34. 患者：いえ、家族にはそういう人はいません。  
35. 医師：発汗や震えが他の状況で出たことはありますか？たとえばストレスの多い場面や運動の後などです。  
36. 患者：いいえ、そういう状況では特にないですね。  
37. 医師：空腹時の症状以外に、胸が痛くなったり心臓が速くなるような感じはありましたか？  
38. 患者：めまいのときちょっと心臓がドキドキする感じはあるかもしれません。  
39. 医師：最近何かストレスの多い出来事がありましたか？  
40. 患者：特にありませんが、仕事が忙しくなってきました。  
41. 医師：ご家族の方から見て、この6か月で何か普段と違う様子を感じたことはありますか？  
42. 患者家族：朝、よくふらふらしていることが増えたので心配していました。  
43. 医師：その際にぼーっとしていたり、ご本人が何かを忘れるようなことはありましたか？  
44. 患者家族：特にはないですが、ふらついて座り込むことはありましたね。  
45. 医師：お話を伺う限り、低血糖も疑われますので検査をして詳しく調べましょう。  
46. 患者：そうですか。でも軽く食べれば治るので、あまり深刻には考えてなかったです。  
47. 医師：必要な検査を終えて、結果をもとにお話しする必要があります。少しお待ちください。  
48. （検査後）医師：検査でお腹のインスリンというホルモンを多く分泌している腫瘍が見つかりました。  
49. 患者：それは病気ですか？  
50. 医師：インスリノーマと呼ばれる病気で、膵臓に小さな腫瘍ができています。そのために低血糖が引き起こされています。  
51. 患者：腫瘍ですか…。それが原因だったんですね。"
