"1. 医師：こんにちは。今日はどのようなことでいらっしゃいましたか？
2. 患者：最近、ずっと疲れやすくて、食欲もあまりないんです。
3. 医師：疲れやすくなったのはいつ頃からですか？
4. 患者：大体6ヶ月前からですね。
5. 医師：その頃、何か特別な出来事がありましたか？
6. 患者：仕事のストレスがすごくて、それが原因かなと思っていました。
7. 医師：仕事のストレスが続いていたんですね。その後、症状はどのように変わりましたか？
8. 患者：倦怠感がどんどん強くなって、日常生活にも影響が出始めました。
9. 医師：具体的に日常生活にはどのような影響がありましたか？
10. 患者：自宅での仕事を続けるのがとても難しくなりました。
11. 医師：それは辛いですね。趣味や友人との交流はどうですか？
12. 患者：ほとんどやっていません。出かけることも億劫で…。
13. 医師：体重の変化はありましたか？
14. 患者：はい、少し痩せました。
15. 医師：どれくらい痩せましたか？
16. 患者：BMIは18.5くらいです。
17. 医師：それは軽いですね。気分はいかがですか？
18. 患者：気分が沈んでいる感じで、何にも興味が持てません。
19. 医師：簡単な会話にも興味が無いのですね？
20. 患者：そうですね、話すのも面倒です。
21. 医師：日常生活で何か楽しんでいることはありますか？
22. 患者：以前は読書が好きでしたが、今はそれさえも難しいです。
23. 医師：それでは、何か気になる身体的な症状はありますか？
24. 患者：特にはないと思いますが、たまに頭が重く感じます。
25. 医師：一日中そんな感じが続くこともありますか？
26. 患者：そうでもないです。疲れたときに感じます。
27. 医師：最近の生活習慣はどうですか？睡眠はとれていますか？
28. 患者：眠れないこともありますが、疲れているので寝つきはいい方です。
29. 医師：ストレスを感じることが多いようですね。他に家族や友人はこの症状に気づいていますか？
30. 患者家族：はい、家族は最近の様子を見て、心配しています。
31. 医師：具体的にはどのように心配していらっしゃいますか？
32. 患者家族：いつも疲れているし、元気がないので、声をかけることが多いです。
33. 医師：それは心強いですね。食欲不振は続いていますか？
34. 患者：はい、あまり食べたいと思わなくて…。
35. 医師：何か特定の食べ物を避けることがあったりしますか？
36. 患者：特にはないですが、食べる気が起きないです。
37. 医師：自宅での仕事は何をされているのですか？
38. 患者：デザインの仕事をしているのですが、今は手が進まないです。
39. 医師：仕事に関して、何か対策を取られていることはありますか？
40. 患者：思い切って休もうとも考えましたが、できない状況です。
41. 医師：それは悩ましいですね。サポートを受けることは考えていませんか？
42. 患者：そうですね、サポートがあれば助かるかもしれません。
43. 医師：他に身体的に気になる症状はないですね？
44. 患者：今はそのことだけです。
45. 医師：心理的な状態に関して、最近特に不安を感じることはありますか？
46. 患者：特に不安は感じていません。ただ気力が湧かないだけです。
47. 医師：過去にうつや不安に関連した病歴はありますか？
48. 患者：特にはないと思います。
49. 医師：全体的にお話しを聞いていると、うつ病の可能性が高いですね。
50. 患者：そうなんですか…それが診断ということですか？"
