"1. 医師：今日はどうされたんですか？
2. 患者：慢性的な咳と痰、息切れがあって来ました。
3. 医師：それはいつから続いていますか？
4. 患者：約3年前から徐々に悪化しています。
5. 医師：咳や痰は特にどんな時に強くなりますか？
6. 患者：朝起きた時に咳がひどくて、痰も多く出ます。
7. 医師：運動時に息切れはどうですか？
8. 患者：運動時は特に息切れがひどくなります。
9. 医師：具体的にどんな運動をしていますか？
10. 患者：以前は庭仕事をしていたんですが、今はそれもできません。
11. 医師：庭仕事をしたいと思っていますか？
12. 患者：はい、もう一度できるようになりたいです。
13. 医師：最近、咳や痰の量に変化はありましたか？
14. 患者：痰の量は増えてきているように感じます。
15. 医師：咳の色はどうですか？血が混じったりしますか？
16. 患者：血は見たことがないと思います。
17. 医師：息切れはどのくらいの距離まで歩くと起こりますか？
18. 患者：50メートルほど歩くと息切れがします。
19. 医師：日常生活にどれくらい影響がありますか？
20. 患者：活動するのが辛くて、家でじっとしていることが多いです。
21. 医師：家族はこの症状について何か言っていましたか？
22. 患者家族：最近、体が弱っているのが心配です。
23. 医師：それを聞くと心配ですね。体重に変化はありましたか？
24. 患者：体重はあまり変わっていません。
25. 医師：最近の健康診断は受けましたか？
26. 患者：特に受けてはいません。
27. 医師：何か過去に大きな病気をしたことはありますか？
28. 患者：特に大病はありませんが、風邪はよく引きます。
29. 医師：喫煙歴はありますか？ 
30. 患者：はい、以前は吸っていましたが、もうやめています。
31. 医師：どれくらいの期間吸っていましたか？
32. 患者：約30年くらい吸っていました。
33. 医師：やめたのはいつですか？
34. 患者：5年前にやめました。
35. 医師：最近、かぜをひいたりしたことはありますか？
36. 患者：最近はありませんが、冬はよく風邪をひきます。
37. 医師：呼吸するときに何か違和感を感じることはありますか？
38. 患者：はい、深呼吸すると痛みがあることがあります。
39. 医師：どのくらいの痛みですか？
40. 患者：軽い痛みです、でも結構不快です。
41. 医師：最近、熱はありましたか？
42. 患者：特にはありませんでした。
43. 医師：最後にかかった風邪の症状はどんなものでしたか？
44. 患者：咳がひどかっただけで、熱は出ませんでした。
45. 医師：普段の睡眠は大丈夫ですか？
46. 患者：夜中に何度か起きることがありますね。
47. 医師：それは咳のせいですか？
48. 患者：はい、咳が出て起きることが多いです。
49. 医師：それが続くと、体も疲れてしまいますね。
50. 患者：そうなんです、だから心配です。
51. 医師：ありがとうございます。あとは、呼吸音を聞かせていただきますね。"
