"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：まぶたが下がってきて、全身がだるいんです。  
3. 医師：まぶたが下がるのはいつ頃からですか？  
4. 患者：1か月くらい前からです。  
5. 医師：1日の中で症状に変化がありますか？  
6. 患者：夕方になると特に悪化します。  
7. 医師：片方のまぶただけですか？それとも両方ですか？  
8. 患者：両方なんですが、右の方が明らかにひどいです。  
9. 医師：全身のだるさも同じ頃からですか？  
10. 患者：はい、少しずつひどくなってきています。  
11. 医師：体を動かすとき、特にどの動作がつらいですか？  
12. 患者：階段を上るときが特にしんどいです。  
13. 医師：脚に力が入りにくい感覚はありますか？  
14. 患者：はい、下肢が弱っているように感じます。  
15. 医師：腕や手はどうですか？  
16. 患者：腕も少し弱くなっているような気がしますが、手は問題ないです。  
17. 医師：顔の筋肉で何か困ることはありますか？  
18. 患者：食べ物を噛むのが疲れることがあります。  
19. 医師：咀嚼する以外に話しにくいとか、飲み込みにくいと感じますか？  
20. 患者：少し話しづらいときがありますが、飲み込むのは大丈夫です。  
21. 医師：呼吸で苦しくなることはありませんか？  
22. 患者：それは特にないです。  
23. 医師：疲れると症状がもっと悪くなりますか？  
24. 患者：はい、疲れるほど悪化していきます。  
25. 医師：過去に同じような症状があったことはありますか？  
26. 患者：いえ、こういう症状は初めてです。  
27. 医師：普段の健康状態はどうですか？何か持病や薬を飲んでいますか？  
28. 患者：特に病気もありませんし、薬も飲んでいません。  
29. 医師：ご家族で同じような症状が出ている方はいらっしゃいますか？  
30. 患者：いえ、家族にはそういう人はいません。  
31. 医師：最近、風邪をひいたり体調を崩したことはありませんか？  
32. 患者：特にありません。  
33. 医師：体重に変化はありませんか？  
34. 患者：変わっていないと思います。  
35. 医師：仕事や家庭のストレスが強いと感じることはありますか？  
36. 患者：仕事は忙しいですが、特にそれが原因という感じではありません。  
37. 医師：今までに何か中毒、例えば薬剤や化学物質に触れたことはありますか？  
38. 患者：そのようなことはないです。  
39. 医師：血液検査や画像検査を受けたことはありますか？  
40. 患者：はい、近くのお医者さんで検査をしましたが、ここで詳しく調べてほしいと言われました。  
41. 医師：咳や発熱などの症状は全くありませんか？  
42. 患者：ないですね。  
43. 医師：運動した後に回復が遅いと感じたことはありますか？  
44. 患者：はい、運動するとかなり疲れて回復に時間がかかります。  
45. 医師：最近、視力に変化を感じることはありますか？  
46. 患者：特にないですが、まぶたが下がるせいで見づらいことはあります。  
47. 医師：過去に何か重い病気をしたことはありませんか？  
48. 患者：今思いつく限りではありません。  
49. 医師：ありがとうございます。いくつか検査結果も参考にしながら考えますね。  
50. 医師：結果を踏まえて、重症筋無力症が主な疑いです。"
