"1. 医師：こんにちは、今日はどうしましたか？
2. 患者：最近、咳が出て、呼吸がしづらいことがあります。
3. 医師：咳はどのくらい続いていますか？
4. 患者：約1ヶ月ぐらいです。
5. 医師：咳は夜間に特にひどくなることがありますか？
6. 患者：はい、特に夜や早朝がひどいです。
7. 医師：そのせいで、睡眠が妨げられることもありますか？
8. 患者：はい、時々目が覚めます。
9. 医師：最近、風邪を引いたことがあったと聞きましたが、それはいつ頃ですか？
10. 患者：2ヶ月ぐらい前に風邪を引きました。
11. 医師：風邪を引いた後に症状が悪化した感じですか？
12. 患者：はい、風邪の後から咳がひどくなりました。
13. 医師：咳以外に、喘鳴（ぜーぜーする音）はありますか？
14. 患者：喘鳴もあります。特に息を吸うときに音がします。
15. 医師：その音は、いつから感じていますか？
16. 患者：咳が始まってからずっとです。
17. 医師：家族に喘息の方はいらっしゃいますか？
18. 患者：はい、母が喘息です。
19. 医師：喘息の家族歴があるんですね。咳や喘鳴は日中にもありますか？
20. 患者：日中はあまりないですが、運動すると出ることがあります。
21. 医師：運動時に症状が悪化することもありますか？
22. 患者：はい、特に体育の授業後には咳が出ます。
23. 医師：それ以外に、何か気になる症状はありますか？
24. 患者：時々、息がしづらい時があります。
25. 医師：それは、特にどんな時に感じますか？
26. 患者：夜寝る前や運動後が多いです。
27. 医師：息苦しさが出るときは、どんな感じですか？
28. 患者：胸が締め付けられる感じがします。
29. 医師：胸が痛むことはありますか？
30. 患者：いいえ、痛みはないと思います。
31. 医師：呼吸の速さについて教えてください。普段はどのくらいですか？
32. 患者：あまり気にしてませんが、少し早いかもしれません。
33. 医師：座っているときの呼吸数はどう感じますか？
34. 患者：時々、普通よりも速い気がします。
35. 医師：アレルギーの症状は何かありますか？
36. 患者：花粉の時期にくしゃみが出ることがあります。
37. 医師：他にアレルギーがあるか分かりますか？
38. 患者：あまり分かりませんが、猫は苦手です。
39. 医師：猫が近くにいると、症状が出やすくなりますか？
40. 患者：はい、なんとなく息が詰まる感じがします。
41. 医師：最近、好きなスポーツはありますか？
42. 患者：サッカーが好きですが、やっていると苦しくなります。
43. 医師：サッカーをするのが辛くなってしまうのですね。
44. 患者：はい、みんなについていけないことがあります。
45. 医師：困ったことですね。呼吸の音を聞かせてもらいますね。
46. 患者：わかりました。
47. 医師：呼吸音に少し異常がありますね。どれくらい咳が出ますか？
48. 患者：時々、1時間に何度も出ることがあります。
49. 医師：それは辛いですね。さて、家族の方から見て、どんな様子ですか？
50. 患者家族：彼はとてもつらそうで、夜は寝られないことが増えました。
51. 医師：それは大変ですね。しっかりと診断を進めます。
52. 医師：誘発する要因が見つかるかもしれませんね。これらの症状から、気管支喘息の可能性があります。"
