"1. 医師：こんにちは。本日はどのような症状でお困りですか？  
2. 患者：最近、血尿が出ていて、それに加えて関節が痛くて歩くのが難しいんです。頭痛もひどいです。  
3. 医師：それはつらいですね。血尿はいつごろから気づきましたか？  
4. 患者：2週間くらい前からです。  
5. 医師：血尿の頻度はどうですか？毎回おしっこに血が混じっていますか？  
6. 患者：はい、毎回確認できます。赤っぽい色です。  
7. 医師：尿の量は普段と比べてどうですか？減りましたか？  
8. 患者：はい、減っている感じがします。  
9. 医師：関節痛についてお聞きします。痛いのはどこの関節ですか？  
10. 患者：右の膝と左の足首が特に痛いですね。  
11. 医師：その痛みはどんな感じですか？ズキズキするような痛みですか？  
12. 患者：はい、ズキズキして腫れてる感じです。  
13. 医師：関節の痛みは突然始まりましたか、それとも徐々に悪くなりましたか？  
14. 患者：急に痛くなりました。  
15. 医師：歩行が困難とのことですが、どの程度困難ですか？歩けないほどですか？  
16. 患者：はい、痛みでほとんど歩けないです。  
17. 医師：頭痛についてですが、どの部分が痛みますか？  
18. 患者：頭全体が重くて痛い感じです。  
19. 医師：頭痛はいつから始まりましたか？  
20. 患者：血尿と同じころから進行するようになりました。  
21. 医師：頭痛は何かをすると悪化することがありますか？  
22. 患者：特に何をしていても頭痛が治まらないです。  
23. 医師：1か月前から感冒様症状があったとのことですが、具体的にはどんな症状でしたか？  
24. 患者：のどが痛くなったり、熱っぽかったりしました。その後、鼻が詰まり始めました。  
25. 医師：感冒様症状はどのくらい続きましたか？  
26. 患者：1週間くらいでした。その後からずっと鼻が詰まったままで血の混じった鼻水も出ます。  
27. 医師：その鼻閉や血性鼻汁が続いているということですね。鼻の中に何か異物感や痛みはありますか？  
28. 患者：はい、鼻の中が痛いです。  
29. 医師：熱はありますか？または、熱感を感じることがありますか？  
30. 患者：先日測ったときは微熱がありました。  
31. 医師：糖尿病の治療歴があるとのことですが、何かお薬を飲んでいますか？  
32. 患者：はい、飲み薬を処方されています。  
33. 医師：最近、糖尿病の症状や血糖値に変化はありましたか？  
34. 患者：特に自分では変わった感じはありません。  
35. 医師：日常生活で体調が悪くなった影響を感じますか？  
36. 患者：はい、疲れやすくなって仕事にも集中できません。  
37. 医師：胸の痛みや息苦しさを感じることはありますか？  
38. 患者：特に痛みは感じませんが、少し息がしにくい感じはあります。  
39. 医師：身体の他の場所に赤い斑点や皮疹が出ていることはありませんか？  
40. 患者：いいえ、特に肌には変わったことはないです。  
41. 医師：最後に鼻の中や耳に出血があるといったことはありますか？  
42. 患者：鼻の出血はよくありますが、耳は問題ないです。  
43. 医師：胸のレントゲンを撮らせていただきましたが、その結果についてお話ししますね。肺にも影響が出ていることが分かります。  
44. 患者：そうなんですか？肺にまで影響があるとは思いませんでした。  
45. 医師：また、血液検査の結果、炎症がかなり強く、特定の自己抗体も見つかりました。  
46. 患者：それはどんな病気につながるんでしょうか？  
47. 医師：あなたの症状や検査結果から、多発血管炎性肉芽腫症という病気の可能性があります。  
48. 患者：多発血管炎性肉芽腫症という病名は初めて聞きますが、どんな病気なんですか？  
49. 医師：免疫の異常で血管やさまざまな臓器に炎症が起きる病気です。治療は可能ですので一緒に改善を目指しましょう。  
50. 患者：ありがとうございます。治療に取り組むので、よろしくお願いします。  "
