"1. 医師：こんにちは。今日はどのような症状で来院されましたか？  
2. 患者：5日くらい前から熱が出て、その後から咳とだるさがひどくなっています。  
3. 医師：今も熱がありますか？  
4. 患者：はい、家で測ったら38度くらいありました。  
5. 医師：咳はどのような感じですか？痰が出たりしますか？  
6. 患者：痰は出なくて空咳がメインです。朝晩が特にひどいです。  
7. 医師：だるさについてですが、普段の生活に支障が出るほどでしょうか？  
8. 患者：はい、家事も全然できなくて寝込んでばかりです。  
9. 医師：これらの症状が出始めたのはいつ頃ですか？  
10. 患者：発熱は5日前くらいで、咳とだるさは2日前です。  
11. 医師：発熱が続いている間に市販薬などを試されましたか？  
12. 患者：はい、解熱剤を飲みましたがあまり効果がなかったです。  
13. 医師：具体的にどの解熱剤を使用されましたか？  
14. 患者：たしかイブプロフェンの薬だったと思います。  
15. 医師：過去に似たような症状になったことはありますか？  
16. 患者：いえ、このように長引く風邪みたいなのは初めてです。  
17. 医師：お薬のアレルギーは何かお持ちですか？  
18. 患者：いいえ、アレルギーは特にありません。  
19. 医師：ご家族や職場で似たような症状の方はいらっしゃいますか？  
20. 患者：夫が微熱で少し様子がおかしいですけど、そんなにひどくはなさそうです。  
21. 医師：症状が悪化するタイミングはありましたか？  
22. 患者：4日目ぐらいから熱が上がって咳もひどくなった感じです。  
23. 医師：食欲や水分摂取はどうですか？  
24. 患者：食欲はあまりなくて、水分も少しずつしか取れていません。  
25. 医師：口や喉の痛みはありますか？  
26. 患者：軽い喉の痛みがありますが、飲み物は飲めます。  
27. 医師：鼻水や鼻詰まりはありますか？  
28. 患者：鼻は特に問題ないです。  
29. 医師：息苦しさや胸の痛みは感じますか？  
30. 患者：息苦しさはないですが、咳で喉が疲れる感じです。  
31. 医師：体温と一緒に血圧や心拍数を測ったことはありますか？  
32. 患者：いいえ、体温しか測っていません。  
33. 医師：普段スポーツや激しい運動はされていますか？  
34. 患者：特別な運動はしていませんが、家事でそこそこ動いています。  
35. 医師：これまでに大きな病気や入院はありましたか？  
36. 患者：ありません、全く健康でした。  
37. 医師：最近、人が多い場所や旅行には出かけましたか？  
38. 患者：先週末に友人たちとカフェに行きましたが、それくらいです。  
39. 医師：仕事や家庭内で強いストレスを感じていることはありますか？  
40. 患者：特にありませんが、この症状で少し心配しています。  
41. 医師：最近、どこかにケガをされたり、何か特別な治療を受けたことはありますか？  
42. 患者：いいえ、全くありません。  
43. 医師：喉を診察したところ、少し赤みがあります。他に気になることは？  
44. 患者：特にないですが、早く良くなりたいです。  
45. 医師：検査の結果、SARS-CoV-2が陽性でCOVID-19と診断されました。自宅での経過観察と薬の治療を行いましょう。  
46. 患者：COVID-19ですか。早く元気になれるように治療に従います。  
47. 医師：症状を軽減するために解熱鎮痛薬を適宜使用してください。ウイルスを抑える薬も処方します。  
48. 患者：わかりました。この薬は飲み方に注意が必要でしょうか？  
49. 医師：特定のスケジュールに沿って服用する必要がありますので指示を守ってください。  
50. 患者：はい、ありがとうございます。注意して服用します。  "
