"1. 医師：どのような症状で来院されましたか？
2. 患者：頭痛と嘔気、気分の落ち込みがあります。
3. 医師：その症状はいつから始まりましたか？
4. 患者：約3ヶ月前からです。
5. 医師：最初はどのような症状がありましたか？
6. 患者：最初は軽い頭痛と気分の落ち込みでした。
7. 医師：それから症状はどう変わりましたか？
8. 患者：徐々に悪化して、日常生活や仕事に対する興味を失いました。
9. 医師：以前はどのようなことを楽しんでいましたか？
10. 患者：趣味の料理やランニングですね。
11. 医師：最近、料理やランニングはできていますか？
12. 患者：全く手をつけられなくなりました。
13. 医師：周囲からの指摘はありましたか？
14. 患者：はい、家族が心配していました。
15. 医師：ご家族も一緒に来ていますか？
16. 患者家族：はい、今日は私も一緒に来ました。
17. 医師：ご家族から見て、症状はどうですか？
18. 患者家族：確かに、最近は元気がなくて心配です。
19. 医師：体重の変化はありましたか？
20. 患者：はい、3ヶ月で5kg減りました。
21. 医師：食欲はどうですか？
22. 患者：食欲もかなり低下しています。
23. 医師：最近の生活はどのように過ごしていますか？
24. 患者：無気力で、何もやる気が起きません。
25. 医師：集中力はどうですか？
26. 患者：どんどん低下しています。
27. 医師：仕事には影響が出ていますか？
28. 患者：そうですね、仕事が手につかない状態です。
29. 医師：以前の仕事には楽しく取り組めていましたか？
30. 患者：はい、以前は楽しかったんです。
31. 医師：今は日常のタスクも難しいと感じていますか？
32. 患者：ええ、そんな感じです。
33. 医師：感情的にはどうですか？うつ状態のような感じはありますか？
34. 患者：はい、気分が落ち込みます。
35. 医師：ご自分ではどんなことを考えていますか？
36. 患者：自分がどうなってしまったのか分からなくて…。
37. 医師：他に症状はありませんか？
38. 患者：たまに頭が痛くなるのと、時々嘔吐感もあります。
39. 医師：嘔吐は頻繁にありますか？
40. 患者：そこまで頻繁ではありませんが、気持ち悪いです。
41. 医師：睡眠はどうですか？
42. 患者：眠れないことが多いです。
43. 医師：寝つきが悪いですか？
44. 患者：はい、深く眠ることもできません。
45. 医師：周囲からのサポートはありますか？
46. 患者家族：家でできるだけ支えてあげようとしています。
47. 医師：それは心強いですね。
48. 患者：しかし、自分だけではどうしようもない気がします。
49. 医師：医療的なアプローチが必要かもしれませんね。
50. 患者：そう思います。
51. 医師：私は診察や検査をもとに考えると、大うつ病性障害かもしれません。
52. 患者：それはどういうことですか？"
