"1. 医師：こんにちは、今日はどんなことでお困りですか？
2. 患者：最近、仕事のやる気が起きず、不眠が続いているんです。
3. 医師：その症状はいつから始まりましたか？
4. 患者：約3か月前からです。
5. 医師：その間、何か特別な出来事がありましたか？
6. 患者：特にはないですね。
7. 医師：仕事のパフォーマンスはどうですか？
8. 患者：かなり低下しています。
9. 医師：具体的にどのように低下していますか？
10. 患者：集中力が著しく減ってきています。
11. 医師：他には何か気になることはありますか？
12. 患者：友人や家族との会話も減ってしまいました。
13. 医師：それは辛いですね。楽しいと感じる活動はありますか？
14. 患者：最近は、全然興味が湧かないです。
15. 医師：発症当初は疲労感があったと言いましたが、今はどうですか？
16. 患者：時間が経つにつれて、疲労感が徐々に重くなってきました。
17. 医師：それは大変ですね。食欲はいかがですか？
18. 患者：少し低下して、体重も5kg減りました。
19. 医師：それは心配ですね。睡眠の質はどうですか？
20. 患者：全然眠れなくて、寝る時間も不規則になっています。
21. 医師：毎晩何時間ぐらい眠れていますか？
22. 患者：4時間くらいしか眠れていないです。
23. 医師：体調はどうですか、普段の生活で気になることはありますか？
24. 患者：特に、何もしたくなくなってしまいました。
25. 医師：意欲がなくなるのは辛いですね。他に身体的な症状はありますか？
26. 患者：特には感じていないです。
27. 医師：心の状態が影響しているのでしょうかね。最近は涙が出ることはありますか？
28. 患者：あまり涙は出ないですが、気分が沈んでいます。
29. 医師：目がうつろになっていることがあると聞きましたが、それはどうですか？
30. 患者：そうですね、常に疲れている感じです。
31. 医師：ありがとうございます。家族はこの件に関して何か気にかけていることはありますか？
32. 患者家族：最近、彼が元気がなくて心配しています。
33. 医師：どのように変わったと思いますか？
34. 患者家族：前はすごく活発だったのに、今は無気力で…
35. 医師：お話ししてくれてありがとう。具体的な症状は重いですね。
36. 患者家族：友人との関係も悪化している気がします。
37. 医師：社会生活に支障が出ているようですね。日常的に何か楽しいことは？
38. 患者：あまり思い出せないです…何もしたくないので。
39. 医師：生活習慣について考える余裕はありますか？
40. 患者：全然ありません。起きても何をするか決められないです。
41. 医師：食事はどうしていますか？
42. 患者：最近は、食べる量が減っていると思います。
43. 医師：なるほど、これまでの話を整理しますね。
44. 患者：はい、お願いします。
45. 医師：血液検査を行ったとのことですが、結果がどうだったか覚えていますか？
46. 患者：白血球数は正常だったけど、赤血球数が少し低かったと…。
47. 医師：肝機能や腎機能は正常でしたか？
48. 患者：はい、特に異常はありませんでした。
49. 医師：甲状腺の検査もしたんですよね？
50. 患者：その結果も異常はなかったと聞きました。
51. 医師：一通りの検査結果を踏まえて、うつ病と診断されました。
52. 患者：そうなんですね…頑張ります。"
