"1. 医師：今日はどのようなご症状でいらっしゃいましたか？  
2. 患者：数日前から胸が圧迫されるような感じがあって、息が苦しいんです。  
3. 医師：その胸の圧迫感はどんなときに感じますか？  
4. 患者：特に動いたり、階段を上がるときに強く感じます。  
5. 医師：最初に症状を感じたのはいつ頃ですか？  
6. 患者：3、4日前くらいでしたね、最初は軽い違和感だけでした。  
7. 医師：違和感はその後どう変化しましたか？  
8. 患者：どんどん痛みが強くなって、今では鋭い痛みになっています。  
9. 医師：胸のどのあたりが特に痛みますか？  
10. 患者：真ん中辺りですね、全体的に重苦しい感じがします。  
11. 医師：その痛みは体位で変わることはありますか？  
12. 患者：体を前に倒すと少し楽になる気がします。でも、うつぶせだと悪化します。  
13. 医師：発熱もあるとお聞きしましたが、いつからですか？  
14. 患者：同じくらいの時期からで、38度を超えてますね。  
15. 医師：頭痛や喉の痛みなど、他にも症状はありますか？  
16. 患者：いえ、特にそれはないです。  
17. 医師：咳や痰は出ますか？  
18. 患者：いえ、それもないです。  
19. 医師：お酒やタバコは普段されていますか？  
20. 患者：タバコは吸いませんが、お酒はたまに飲みます。  
21. 医師：普段の生活で何か大きなストレスや変わったことはありましたか？  
22. 患者：特にないと思うんですが、仕事はいつも忙しいです。  
23. 医師：では、息苦しさについてもう少し詳しく教えてください。どのくらい苦しいですか？  
24. 患者：階段を上るときが一番苦しくなります。普段はそんなことないんですが。  
25. 医師：過去に同じような症状を経験したことはありますか？  
26. 患者：いえ、こんなことは初めてです。  
27. 医師：家族の中で心臓の病気や同じような症状をお持ちの方はいらっしゃいますか？  
28. 患者：父が心臓病で亡くなったことがあります。  
29. 医師：そうですか、ご家族の病歴も重要な手がかりです。疲れやすさやむくみなどの症状はありますか？  
30. 患者：疲れやすい感じはあまりないですし、むくみもないと思います。  
31. 医師：最近、感染症にかかったなど、何か風邪のような症状はありましたか？  
32. 患者：いえ、それも特にありませんでした。  
33. 医師：運動中に痛みが悪化することはありますか？  
34. 患者：動くと息が苦しくなるので、痛みも少し増しますね。  
35. 医師：睡眠中に痛みで目を覚ますことはありますか？  
36. 患者：はい、横になると痛くなって、目が覚めます。  
37. 医師：脈の乱れや動悸を感じることはありますか？  
38. 患者：動悸は少し感じます。でも、そんなにひどくはありません。  
39. 医師：血圧の異常や貧血の経験はありますか？  
40. 患者：血圧は特に問題がないと言われていました。でも貧血はないと思います。  
41. 医師：現在治療中の持病や常用薬はありますか？  
42. 患者：特に持病はありませんし、薬も飲んでいません。  
43. 医師：食事や飲み物に変わったことはありましたか？  
44. 患者：変わったことはしていないと思います。  
45. 医師：最近旅行などで遠出をしたことはありますか？  
46. 患者：いえ、ずっと仕事ばかりで旅行はしてません。  
47. 医師：では、これまでに言われた症状から原因を考える必要があります。  
48. 患者：お願いします、やっぱり心配です。  
49. 医師：検査結果とあなたの症状から、急性心外膜炎という病気の可能性が高いです。  
50. 患者：急性心外膜炎ですか？それはどういう病気ですか？  "
