"1. 医師：今日はどうされましたか。  
2. 患者：最近、上腹が痛くて、食欲がありません。  
3. 医師：痛みはいつ頃から始まりましたか？  
4. 患者：1年くらい前から時々痛むようになりました。でも、ここ3カ月くらいでほぼ毎日感じるようになりました。  
5. 医師：痛みはどんな感じの痛みですか？鋭い痛みですか、それとも鈍い痛みですか？  
6. 患者：鈍い痛みが続く感じです。  
7. 医師：痛みが強くなる時間帯や、何かきっかけはありますか？  
8. 患者：特別な時間帯はないです。空腹のときも満腹のときも痛みます。  
9. 医師：痛みが出るとき、何か他に症状はありますか？例えば吐き気や胸焼けなどはどうでしょう？  
10. 患者：たまに胃もたれのような感覚がありますが、吐き気や胸焼けは特にないですね。  
11. 医師：ここ最近体重の変化はありましたか？  
12. 患者：はい、3カ月で5kgくらい体重が減りました。  
13. 医師：意図的にダイエットをしていたわけではないんですね？  
14. 患者：いいえ、食欲がなくて食べる量が減っただけです。  
15. 医師：過去に胃に関する病気や他の大きな病気をしたことはありますか？  
16. 患者：特にありません。ただ、アレルギー性鼻炎があります。  
17. 医師：アレルギー鼻炎は、今も治療を受けていますか？  
18. 患者：はい、季節になると薬を飲んでいます。  
19. 医師：ご家族には同じような症状や病歴はありますか？  
20. 患者：家族には特にこういった病気を聞いたことはありません。  
21. 医師：睡眠はちゃんと取れていますか？痛みで目が覚めたりしますか？  
22. 患者：痛みで目が覚めることはありませんが、最近寝つきが悪いです。  
23. 医師：お仕事や生活でストレスを感じることはありますか？  
24. 患者：そうですね、仕事が忙しくて常にプレッシャーを感じています。  
25. 医師：アルコールやカフェインは普段よく摂取する方ですか？  
26. 患者：アルコールはほとんど飲みませんが、コーヒーは毎朝飲んでいます。  
27. 医師：喫煙の習慣はありますか？  
28. 患者：いえ、吸いません。  
29. 医師：食生活について教えていただけますか？脂っこいものや刺激物を多く取りますか？  
30. 患者：特にそういったものは普段は控えています。  
31. 医師：最近下痢や便秘、便の色の変化などはありませんか？  
32. 患者：便秘気味な感じはありますが、他に特に気になることはありません。  
33. 医師：お腹の痛みがひどくなったり、他の症状が加わるようなタイミングはありましたか？  
34. 患者：特に一貫したパターンはないですね。  
35. 医師：運動は普段されていますか？  
36. 患者：最近は疲れていてほぼ運動していません。  
37. 医師：最後に健康診断を受けたのはいつですか？何か異常を指摘されましたか？  
38. 患者：1年前に受けましたが、特に異常はありませんでした。  
39. 医師：現在服用している薬やサプリメントはありますか？  
40. 患者：アレルギーの薬以外は特に飲んでいません。  
41. 医師：最近、何か思い当たるようなきっかけや大きな生活の変化はありましたか？  
42. 患者：特別大きな変化はないですが、やっぱり仕事が忙しいのが一番きついです。  
43. 医師：これまでに胃カメラや腹部エコーの検査を受けたことは？  
44. 患者：今回の症状がひどくなって初めて受けました。  
45. 医師：その検査結果については、何か説明を受けましたか？  
46. 患者：特に異常なしって言われました。  
47. 医師：なるほど。痛みや症状が心理的な要因からくる可能性も考えられます。  
48. 患者：そうなんですね、確かにストレスは多いかもしれません。  
49. 医師：今回の状況を踏まえて、おそらく機能性ディスペプシアという状態かもしれません。  
50. 患者：機能性ディスペプシアですか？それはどういうものなんですか？  "
