"1. 医師：こんにちは。本日はどのような症状でいらっしゃいましたか？  
2. 患者：最近、痰が増えてきて、少し熱っぽいのと体がだるい感じがあります。  
3. 医師：痰が増えたのはいつごろからですか？  
4. 患者：1か月くらい前からです。それまではそんなに気にならなかったんですけど。  
5. 医師：痰の色や性状について教えてください。色は黄色や緑色ですか？  
6. 患者：うーん、黄色っぽいことが多いですね。特に朝がひどいです。  
7. 医師：痰に血が混じることはありましたか？  
8. 患者：いいえ、血が混じることはありません。  
9. 医師：熱っぽいということですが、体温は測ってみましたか？  
10. 患者：はい、37度2分とか3分くらいの微熱が続いています。  
11. 医師：咳は普段からありますか？それとも最近ひどくなってきましたか？  
12. 患者：もともと少し咳が出ることはありましたが、ここ1か月ぐらいで増えてきた気がします。  
13. 医師：倦怠感についてもう少し教えてください。一日中続く感じですか、それとも特定の時間帯に強いですか？  
14. 患者：午前中から夕方までずっとだるい感じがします。夜もあまりよく眠れません。  
15. 医師：最近、呼吸が苦しいと感じることはありますか？  
16. 患者：はい、なんとなく息が浅い感じがすることが増えました。  
17. 医師：以前に呼吸器系の病気を診断されたことはありますか？  
18. 患者：気管支拡張症と言われたことがあります。  
19. 医師：気管支拡張症と診断されたのはいつごろですか？  
20. 患者：10年くらい前です。そのときは軽い咳と痰が出るくらいだったんです。  
21. 医師：現在の症状に関連して、どこか特定のタイミングや状況で悪化することはありますか？  
22. 患者：週末にガーデニングをしていると、その翌日に調子が悪くなることが多いです。  
23. 医師：ガーデニングでは土や植物に直接触れることは多いですか？  
24. 患者：はい、土をいじったり、腐葉土を触ったりします。  
25. 医師：普段、ガーデニングのときにマスクや手袋は着けていますか？  
26. 患者：手袋はしますけど、マスクまではしていません。  
27. 医師：ほかにアレルギーやアレルギー性ぜんそくの既往はありますか？  
28. 患者：いいえ、特にそういうことは言われたことはありません。  
29. 医師：最近、体重が急に減ったとか、食欲がなくなったということはありますか？  
30. 患者：体重はそんなに変わっていないと思います。食欲も普通ですね。  
31. 医師：喫煙の経験はありますか？  
32. 患者：いいえ、まったく吸いません。  
33. 医師：ご家族に呼吸器系の病気を持っている方はいらっしゃいますか？  
34. 患者：特にいません。  
35. 医師：現在お薬を飲んでいるものや使っている吸入薬などはありますか？  
36. 患者：いいえ、特にありません。  
37. 医師：寝ているときに咳で起きることはありますか？  
38. 患者：たまにあります。特に体を横にすると咳が出やすい気がします。  
39. 医師：以前よりも咳や痰の量が増えた感じはありますね？  
40. 患者：そうです。明らかに増えています。  
41. 医師：ガーデニング以外に新しい環境や旅行などで変化がありましたか？  
42. 患者：特にないですね。  
43. 医師：痰の粘り気や量について、日によって変化はありますか？  
44. 患者：朝が多いけど、ほぼ毎日同じ感じですね。  
45. 医師：最近、喘鳴（ゼーゼー音）を感じることはありますか？  
46. 患者：少しだけ「ヒューヒュー」みたいな音が聞こえることがあります。  
47. 医師：アレルギー検査や血液検査をしたことはありますか？  
48. 患者：いや、特にそういった検査を受けた覚えはないです。  
49. 医師：ではこれまでの話を踏まえたうえで考えられる可能性を調べてみます。少しお待ちくださいね。  
50. 医師：検査結果等から診断がつきました。アレルギー性気管支肺アスペルギルス症という病気です。"
