"1. 医師：こんにちは、今日はどうされましたか？
2. 患者：喉が痛くて、最近体重も減った感じがします。
3. 医師：喉の痛みはいつからですか？
4. 患者：3週間くらい前からです。最初は軽かったんですが。
5. 医師：痛みはどのように変わりましたか？
6. 患者：だんだん痛くなって、特に頭を動かすとひどくなります。
7. 医師：他に症状はありますか？
8. 患者：微熱が続いているのと、すごく疲れます。
9. 医師：体重はどのくらい減りましたか？
10. 患者：3キロくらい減ったと思います。
11. 医師：何か他の不調とかは？
12. 患者：特にないです、ただ全身がだるい感じです。
13. 医師：喉の付近を少し触らせてください。痛みがある場所を教えてください。
14. 患者：甲状腺のあたりが特に痛いです。
15. 医師：左の方が痛いですかね？
16. 患者：はい、左側が強く痛みます。
17. 医師：甲状腺の腫れとか感じますか？
18. 患者：自分ではよくわからないですが、特に大きくはなってないと思います。
19. 医師：頸部リンパ節の腫れや痛みはどうですか？
20. 患者：そこまでは感じないです。
21. 医師：最近の食欲や寝付きは変わりましたか？
22. 患者：食欲は普通ですが、疲れているせいかよく眠れます。
23. 医師：日常生活で何か変わったことはしていませんか？
24. 患者：特に変わったことはしていないですね。
25. 医師：仕事は普通に続けられていますか？
26. 患者：疲れるけどなんとか続けています。
27. 医師：ストレスの多い環境ですか？
28. 患者：まあ例年通りですけど、特にストレスは感じてません。
29. 医師：アルコールやタバコは？
30. 患者：どちらもやってません。
31. 医師：特に悪化する時間帯や状況はありますか？
32. 患者：夜になると少し痛みが増す気がします。
33. 医師：そのほかに気になることは？
34. 患者：やっぱり体重減少が心配です。
35. 医師：血液検査をしましょう。甲状腺機能も詳しく調べますね。
36. 患者：はい、よろしくお願いします。
37. 医師：結果が出ました。CRPが上がっていて炎症が起きているようです。
38. 医師：TSHが低くFT4が高いです。甲状腺機能亢進が一時的にあるようです。
39. 患者：それが原因ですか？
40. 医師：超音波検査では甲状腺に不均一なパターンがありますね。
41. 医師：亜急性の炎症が確認できます。De Quervain甲状腺炎の可能性が高いです。
42. 患者：それってどういう病気ですか？
43. 医師：甲状腺に炎症がある病気です。痛みや体重減少の原因となります。
44. 患者：治療法はあるんですか？
45. 医師：最初はNSAIDsを使いますが、改善がなければステロイドも検討します。
46. 患者：その方法で良くなりますか？
47. 医師：ステロイド治療開始後に痛みと体重減少が改善しています。
48. 患者：わかりました、やってみます。
49. 医師：プレドニゾロンを使用します。副作用もあるので経過を見ていきましょう。
50. 医師：徐々に症状が収まるはずです。しばらく様子を見ましょう。"
