"1. 医師：こんにちは。今日はどのような症状でお困りでしょうか？  
2. 患者：3日前から急におなかの上のほうが痛くなって、それが背中にも響く感じなんです。  
3. 医師：それはつらかったですね。その痛みはずっと続いていますか？  
4. 患者：はい。一度痛み止めを飲んだんですけど、ほとんど効かなくて。  
5. 医師：その痛み、きっかけは何か心当たりはありますか？たとえば食事の後とか。  
6. 患者：特になにもしていないときに突然来た感じなんです。  
7. 医師：症状が出る前、特に脂っこいものを食べたり、たくさん飲酒したりしましたか？  
8. 患者：最近は特に変わった食事もしていないですし、お酒も控えてます。  
9. 医師：わかりました。他にはどんな症状がありますか？  
10. 患者：2日くらい前から目が黄色くなったり、肌も黄色っぽいって家族に言われて気づきました。  
11. 医師：黄疸ですね。それに加えて、体温が上がったりしていませんか？  
12. 患者：昨日から微熱っぽい感じがしますね。  
13. 医師：何度くらいまで上がっていますか？  
14. 患者：37.5度くらいでした。  
15. 医師：お通じや尿の色に変化はありますか？  
16. 患者：尿が少し濃い気がするけど、便は普段通りだと思います。  
17. 医師：お腹の痛みはどんな感じですか？鋭い痛みなのか、それとも鈍い痛みですか？  
18. 患者：しめつけられるようなズキズキした痛みです。  
19. 医師：その痛み、動いたりすると増しますか？  
20. 患者：はい、動いたりするともっと痛くなるんです。  
21. 医師：背中に響くっておっしゃってましたが、特にどのあたりに感じますか？  
22. 患者：ちょうど肩甲骨の間くらいでしょうか。  
23. 医師：わかりました。他に吐き気や嘔吐などはありますか？  
24. 患者：吐き気も少しあるんですが、吐くほどではありません。  
25. 医師：これまでに同じような痛みを感じたことはありますか？  
26. 患者：こんな痛みは初めてです。  
27. 医師：体重に最近大きな変化があったりしますか？  
28. 患者：そういえば、少し落ちた気がしますが、あまり気にしていませんでした。  
29. 医師：普段何か持病や服用している薬はありますか？  
30. 患者：糖尿病があります。経口薬を飲んでいます。  
31. 医師：糖尿病はどのくらい前から診断されましたか？  
32. 患者：10年くらい前です。薬はちゃんと飲んでいます。  
33. 医師：いいですね、管理が大事です。他に何かご病気などありますか？  
34. 患者：特にありません。  
35. 医師：仕事や家庭で最近ストレスを感じていますか？  
36. 患者：特に変わったことはないので、ストレスはないと思います。  
37. 医師：お腹を少し診察しますね。痛いところがあれば教えてください。  
38. 患者：ここを押されるとすごく痛いです。  
39. 医師：上腹部ですね。少し炎症があるかもしれません。反跳痛はどうでしょうか？  
40. 患者：押されたときよりも離されたときのほうが痛いことはありません。  
41. 医師：では、ご家族からは何か症状について他に言われたことはありますか？  
42. 患者：さっき言ったように、目や皮膚が黄色いって言われました。  
43. 医師：黄疸があるようですが、以前にも同じ症状を言われたことはありますか？  
44. 患者：いいえ、初めてです。  
45. 医師：食欲の変化やお腹の張りは感じますか？  
46. 患者：食欲は落ちていますけど、お腹の張りは特には感じません。  
47. 医師：最後にお伺いしますが、たばこやお酒の習慣はありますか？  
48. 患者：お酒は控えていますが、たばこも昔は吸っていましたが今はやめてます。  
49. 医師：ありがとうございます。現在の症状や検査結果を踏まえると、急性膵炎の可能性が高そうです。  
50. 患者：急性膵炎ですか…。食べ物や生活習慣が原因になったんでしょうか？"
