"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：最近息苦しいんです。それと咳が続いています。  
3. 医師：息苦しいのはいつからですか？  
4. 患者：3日前くらいからです。  
5. 医師：咳もその頃から始まりましたか？  
6. 患者：はい、そうです。特に夜とか朝早くなるとひどいんです。  
7. 医師：咳のほかに、どんな症状がありますか？  
8. 患者：胸が圧迫される感じがあります。  
9. 医師：それはどんなときに感じますか？  
10. 患者：運動をしたときとか、息苦しくなるときに感じます。  
11. 医師：咳は乾いた咳ですか？それとも痰が絡んでいますか？  
12. 患者：乾いた咳です。  
13. 医師：過去に同じような症状があったことはありますか？  
14. 患者：いいえ、そんなにひどいのは初めてです。  
15. 医師：何かアレルギーを指摘されたことはありますか？  
16. 患者：アレルギー性鼻炎があります。春になるとひどくなるんです。  
17. 医師：そうですか。家族にもアレルギーの方はいらっしゃいますか？  
18. 患者：母が気管支喘息って言われたことがあります。  
19. 医師：なるほど。他に生活の中で困っていることや変わったことはありますか？  
20. 患者：特にはないですけど、春先っていつもなんか体調が悪くなる気がします。  
21. 医師：お家ではペットや花粉の元になるようなものがありますか？  
22. 患者：ペットはいませんが、庭に花がたくさんあります。  
23. 医師：咳や息苦しさは、花の近くにいると悪化しますか？  
24. 患者：わからないですけど、気になるかもしれません。  
25. 医師：最近、風邪をひいたり喉が痛くなったりしましたか？  
26. 患者：風邪はひいていません。喉も痛くないです。  
27. 医師：咳がひどくて夜眠れないことはありますか？  
28. 患者：はい、咳で起きてしまうことがあります。  
29. 医師：その時間帯に胸の圧迫感も強くなりますか？  
30. 患者：そうですね、夜の方が胸が重たい感じがします。  
31. 医師：咳や息切れが特に悪化するのはどんな時ですか？  
32. 患者：学校で運動したり走ったりすると苦しくなることが多いです。  
33. 医師：そうですか。吸入器など使ったことはありますか？  
34. 患者：いいえ、使ったことはありません。  
35. 医師：今、息苦しさや咳以外に何か気になる症状はありますか？  
36. 患者：特にないです。  
37. 医師：最近食欲が落ちてきたり、体重が減ったりしていませんか？  
38. 患者：それはありません。  
39. 医師：咳が出るときに熱が出たり、寒気がしたりすることはありますか？  
40. 患者：いいえ、そういったことはありません。  
41. 医師：学校では咳が出ることで困ったりしていますか？  
42. 患者：はい、授業中にも咳が出てしまって少し恥ずかしいです。  
43. 医師：わかりました。音のする咳、いわゆる「ヒューヒュー」というような音が出ていると感じますか？  
44. 患者：よく分からないんですが、母が「音がする」って言ってました。  
45. 医師：わかりました。お母様にも少しお話を伺いますね。  
46. 患者家族：夜中に咳き込むことが多いんです。たまにヒューヒューという音も聞こえます。  
47. 医師：ありがとうございます。最近気温が下がってきましたが、冷たい空気で悪化するようなことはありますか？  
48. 患者：朝、外に出ると息苦しくなる感じはします。  
49. 医師：この症状に関連して学校生活に支障が出ていますか？  
50. 患者：体育とかで息切れすることが増えて、あまり運動が楽しめないです。  
51. 医師：わかりました。いろいろなお話を聞けました。診察と検査の結果から、気管支喘息が考えられます。"
