"1. 医師：こんにちは。今日はどのようなことでお越しになりましたか？
2. 患者：最近、不眠症がひどくて、眠れないんです。
3. 医師：それは大変ですね。いつからその症状がありますか？
4. 患者：約三ヶ月前からです。
5. 医師：具体的には、どのような症状があるのでしょうか？
6. 患者：夜に眠りにつくのに時間がかかります。
7. 医師：夜中に目が覚めることもありますか？
8. 患者：はい、何度も目が覚めてしまいます。
9. 医師：そのせいで日中はどのように感じますか？
10. 患者：日中は強い倦怠感があって、集中できないです。
11. 医師：それは辛いですね。仕事のストレスなどの影響はありますか？
12. 患者：はい、仕事が忙しくなってきて、ストレスが増えました。
13. 医師：生活環境に変化はありましたか？
14. 患者：最近、引っ越したばかりで新しい環境に慣れていません。
15. 医師：睡眠薬を試したことはありますか？
16. 患者：数回使ったことがありますが、持続的な効果はありませんでした。
17. 医師：身体に異常は感じましたか？
18. 患者：特に異常は感じないですが、全体的に疲れている印象があります。
19. 医師：体重は変わっていますか？
20. 患者：体重は維持しています。食欲も普通です。
21. 医師：精神的な状態はいかがですか？
22. 患者：少し不安感がありますが、意識ははっきりしています。
23. 医師：認知機能には問題はないようですね。
24. 患者：そうですね、普段通りの生活は送れています。
25. 医師：じゃあ、最近ストレスを感じることが多いんですね。
26. 患者：はい、仕事のことで頭がいっぱいです。
27. 医師：何かリラックスできる活動をしていますか？
28. 患者：友人と話すことはしていますが、あまり時間が取れません。
29. 医師：友達と会うのは良いですね。どれくらいの頻度で会っていますか？
30. 患者：月に一度くらいです。
31. 医師：睡眠環境は整っていますか？
32. 患者：寝室は静かですが、たまに騒音が気になります。
33. 医師：それは気になりますね。照明はどうですか？
34. 患者：暗くしているのですが、それでも眠れない時があります。
35. 医師：睡眠の質を改善するために何か試してみましたか？
36. 患者：特に何もしていませんでした。
37. 医師：多波形脳波検査を行うことはできますが、どうしますか？
38. 患者：ぜひお願いします。
39. 医師：検査の結果、ノンレム睡眠の持続が短いことがわかりました。
40. 患者：それはやはり関係があるんですね。
41. 医師：はい、ストレスホルモンも高めでした。
42. 患者：自分では気づいていませんでした。
43. 医師：心理検査のスコアを見ると、軽度の抑うつ傾向もあります。
44. 患者：そうなんですか…。
45. 医師：何か心配事などがあればお話しください。
46. 患者：最近の仕事のプレッシャーが大きいです。
47. 医師：日常生活でリラックスする時間は作れていますか？
48. 患者：なかなか難しいです。忙しいので。
49. 医師：それでは、睡眠衛生の指導を行います。
50. 患者：お願いできれば助かります。
51. 医師：生活習慣の改善も大切ですが、薬も考えています。
52. 患者：薬はどんなものですか？
53. 医師：デスモデコルチコステロンを検討しています。
54. 患者：それで改善できるのでしょうか？
55. 医師：期待できると思います。しばらく様子を見ましょう。"
