"1. 医師：こんにちは、今日はどうされましたか。
2. 患者：最近、全身が痛くてすごく疲れやすいんです。
3. 医師：そうですか。それはいつから始まりましたか？
4. 患者：約6ヶ月前からです。
5. 医師：痛みはどの部分に感じますか？
6. 患者：主に上半身と下半身の筋肉に痛みがあります。
7. 医師：痛みの強さはどうですか？安静時でも感じますか？
8. 患者：安静にしていても、痛みが増すことがあります。
9. 医師：それは辛いですね。夜はよく眠れていますか？
10. 患者：夜の睡眠が浅くて、日中も疲れている感じです。
11. 医師：仕事には影響が出ていますか？
12. 患者：はい、仕事にも支障が出てきています。
13. 医師：既往歴について教えてください。以前に病気はありましたか？
14. 患者：うつ病の診断を受けたことがあります。
15. 医師：現在は治療中ではないのですね。
16. 患者：はい、今は通院していません。
17. 医師：最近、気分の変化などはありますか？
18. 患者：特に気分が落ち込むことはありませんが、疲れは感じます。
19. 医師：身体を触診した際に、どこか特に痛む場所はありましたか？
20. 患者：全身の筋肉に痛みがありますが、特に肩や脚が痛いです。
21. 医師：触診をすると、圧痛点は何箇所くらいありました？
22. 患者：11箇所くらいに痛みを感じました。
23. 医師：他に、関節の腫れや変形はありますか？
24. 患者：それは特に感じていません。
25. 医師：最近、体調の変化はありましたか？
26. 患者：特に思い当たることはありません。
27. 医師：血液検査の結果はどうでしたか？何か異常はありましたか？
28. 患者：血液検査はしてもらいましたが、特に異常はなかったようです。
29. 医師：C反応性蛋白質の値はどうでしたか？
30. 患者：それも正常と言われました。
31. 医師：X線やMRI検査も行いましたか？
32. 患者：はい、どちらも異常はなかったです。
33. 医師：それは良いことですが、なおさら辛いですね。
34. 患者：そうですね、原因がわからないのがもどかしいです。
35. 医師：普段、運動などはされていますか？
36. 患者：最近はあまり運動できていませんが、散歩はします。
37. 医師：散歩は気分転換にもなりますね。どのくらいの距離を歩きますか？
38. 患者：大体30分くらいですが、痛みが出ることもあります。
39. 医師：痛みが出ると歩くのも大変ですね。
40. 患者：はい、歩けないほどではないですが、辛いです。
41. 医師：食事はどうですか？何か変わったことはありますか？
42. 患者：特に変わったものは食べていませんが、あまり食欲はありません。
43. 医師：それも疲れからですかね。水分はしっかり取れていますか？
44. 患者：はい、水分は意識して取るようにしています。
45. 医師：ストレスは感じることがありますか？
46. 患者：仕事のことで少しストレスがありますが、耐えられる範囲です。
47. 医師：家族にはサポートしてもらっていますか？
48. 患者：はい、家族は理解してくれています。
49. 医師：家族から見て、何か気になることは言われましたか？
50. 患者家族：最近、彼女が疲れやすくなったことに驚いています。
51. 医師：それは重要な意見ですね。これらの集めた情報から、線維筋痛症の可能性が高いです。"
