"1. 医師：こんにちは。今日はどういった症状で来院されましたか？
2. 患者：こんにちは。頭が痛いし、だるいです。吐き気もします。
3. 医師：いつからそのような症状が始まりましたか？
4. 患者：作業を始めてから約5時間後です。
5. 医師：その間、水分はどのくらい補給されましたか？
6. 患者：あまり飲んでいないと思います。
7. 医師：作業中は暑い日でしたか？
8. 患者：はい、とても暑かったです。
9. 医師：その後、どのような変化がありましたか？
10. 患者：発症後30分くらいから、意識がもうろうとしてきました。
11. 医師：意識がもうろうとするとは、具体的にどういう状態でしたか？
12. 患者：周りのことがぼんやりして、うまく考えられませんでした。
13. 医師：他に何か気になる症状はありますか？
14. 患者：特にはないですが、身体がふらふらする感じがします。
15. 医師：それは立ったときに感じますか？
16. 患者：はい、立ち上がると特に感じます。
17. 医師：家族の方は、あなたの症状を見てどう思っていますか？
18. 患者家族：彼女はとても疲れているようで、顔色も良くありません。
19. 医師：それは気になりますね。最近、何か特別なことはありましたか？
20. 患者：特にありませんが、去年も同じようなことがありました。
21. 医師：去年も同じ症状で、何か診断を受けましたか？
22. 患者：そのときは病院には行っていません。
23. 医師：いつからその倦怠感が続いていますか？
24. 患者：今日の作業の後に出てきました。
25. 医師：体温は測りましたか？
26. 患者：はい、39度あったと思います。
27. 医師：お体が乾いている感じはありましたか？
28. 患者：はい、口が乾燥しているのを感じました。
29. 医師：どのくらいの量の水を飲んでないと思いますか？
30. 患者：作業している間に、ほとんど水を飲まなかったです。
31. 医師：水分補給は重要ですからね。昨年の症状と比べて違いはありますか？
32. 患者：去年はもっと軽い症状でした。
33. 医師：体の中が熱くなっている感じはしましたか？
34. 患者：はい、すごく暑く感じました。
35. 医師：普段から水分補給は心がけていますか？
36. 患者：あまり意識していなかったかもしれません。
37. 医師：仕事は何をしていますか？
38. 患者：屋外での作業が多いです。
39. 医師：長時間の屋外作業は大変ですね。食事はしっかり取っていますか？
40. 患者：はい、食事はいつも取っています。
41. 医師：しかし水分が不足していたのですね。吐き気は持続していますか？
42. 患者：少しましになった気がします。
43. 医師：意識がもうろうとしてきたのは辛いですね。今日は他に不安なことはありますか？
44. 患者：特にはありませんが、どこか悪いのではないかと心配です。
45. 医師：そうですね、検査を行いましょう。血圧はどうだったか覚えていますか？
46. 患者：低かったと言われました。
47. 医師：その後、何か体調が変わりましたか？
48. 患者：特には変わっていないと思います。
49. 医師：それでは、水分補給や冷却が必要です。少し様子を見ましょう。
50. 医師：結果的に熱中症でしたね。"
