"1. 医師：こんにちは、どうされましたか？
2. 患者：急に右側の手足が動かなくなりました。
3. 医師：それはいつから始まりましたか？
4. 患者：発症から約1時間前です。
5. 医師：他に何か変わった症状はありますか？
6. 患者：視野の一部も欠けてしまいました。
7. 医師：視覚障害があったんですね。どの部分が見えないのですか？
8. 患者：右側が見えづらいです。
9. 医師：右側の言語には影響がありましたか？
10. 患者：ええ、言葉がうまく出てこなくて、何を言ってるかわからない時もあります。
11. 医師：他の言葉は話せていますか？
12. 患者：はい、でもたまに言葉がつまります。
13. 医師：家族の方は症状を見てどう思われましたか？
14. 患者家族：最初はまるで冗談のように見えましたが、すぐにおかしいと感じました。
15. 医師：発症前に何か特別なことはありましたか？
16. 患者：特にはないと思います。
17. 医師：高血圧の管理はされていますか？
18. 患者：はい、降圧薬を飲んでいます。
19. 医師：最近の血圧はどうでしたか？
20. 患者：特に高いとは言われていませんでした。
21. 医師：それは良いことですね。麻痺の程度はどのくらいですか？
22. 患者：右手はほとんど動かせません。
23. 医師：右足はどうですか？
24. 患者：少し動かせるけど、力が入らない感じです。
25. 医師：知覚には変化がありますか？
26. 患者：右側は触ってもあまり感じないです。
27. 医師：うつむいているように見えますが、精神状態はどうですか？
28. 患者：いつも通りの気分です。
29. 医師：意識ははっきりしていますか？
30. 患者：はい、はっきりしています。
31. 医師：最近の食事や運動には気を付けていますか？
32. 患者：運動はあまりしていませんが、食事は気をつけています。
33. 医師：ストレスは感じていませんか？
34. 患者：少し仕事のことで神経を使っています。
35. 医師：過去にこのような症状はありましたか？
36. 患者：いえ、初めてです。
37. 医師：MRIを撮影した結果、脳の状態はどうでした？
38. 患者：詳しいことは分かりませんが、何か異常があると言われました。
39. 医師：急性の脳梗塞は確認できなかったのですね。
40. 患者：はい、そう言われました。
41. 医師：ただちに何か治療が必要ですか、と言われましたか？
42. 患者：はい、抗血小板薬を処方されました。
43. 医師：アスピリンですね。それを飲んでいる間に何か変化はありましたか？
44. 患者：少し麻痺が改善されてきた気がします。
45. 医師：おお、それは良い兆しですね。
46. 医師：視野障害は残っていますか？
47. 患者：はい、まだ右側は見えにくいです。
48. 医師：言語はどうですか？話すのが楽になっていますか？
49. 患者：少しずつ良くなっていると思います。
50. 医師：良かったですね。これは一時的脳虚血発作（TIA）ですね。"
