"1. 医師：本日はどうされましたか？  
2. 患者：2か月くらい前からおなかが張っている感じがして、最近は足もむくむようになりました。  
3. 医師：腹部が張るのはどのあたりで、どんな感じですか？  
4. 患者：下腹部が重くて、ゴロゴロする感じです。  
5. 医師：下痢もあると伺いましたが、どのくらいの頻度で起こりますか？  
6. 患者：1日に3、4回くらいお腹がゆるくなります。  
7. 医師：便の色や形に違いはありますか？  
8. 患者：特に血が混じっているとかはないですけど、水っぽい感じです。  
9. 医師：お腹の痛みはありますか？  
10. 患者：時々痛くなりますが、そんなに強くはないです。  
11. 医師：足のむくみは両方ともですか？  
12. 患者：はい、特に夕方になるとひどくなります。  
13. 医師：最近、体重の変化はありましたか？  
14. 患者：2か月くらいで3キロくらい増えました。  
15. 医師：食欲や食事の量に変化はありましたか？  
16. 患者：少し食欲が落ちています。そのせいか、量も減りました。  
17. 医師：これまでに大きな病気をされたことはありますか？  
18. 患者：高血圧と糖尿病があります。内服の薬を飲んでいます。  
19. 医師：どんなお薬を飲まれていますか？覚えていますか？  
20. 患者：降圧薬と糖尿病の薬ですが、名前はちょっと忘れました。  
21. 医師：家族に同じような症状の方はいらっしゃいますか？  
22. 患者：特に聞いたことはありません。  
23. 医師：食事内容や生活習慣で特別な変化がありましたか？  
24. 患者：特にはないです。食事も普段通りだと思います。  
25. 医師：便秘と下痢を交互に繰り返すことはありますか？  
26. 患者：いいえ、最近は下痢が続いています。  
27. 医師：夜間に足がつったり、だるく感じることはありますか？  
28. 患者：足がむくむせいか、少しだるく感じることはあります。  
29. 医師：いつも通り動けていますか？日常生活に支障はありますか？  
30. 患者：少し動くのがしんどいですけど、なんとか過ごしています。  
31. 医師：お風呂とか寝るとき、足のむくみがマシになりますか？  
32. 患者：横になると少し良くなりますね。  
33. 医師：胸が苦しいとか息苦しい感じはありますか？  
34. 患者：いいえ、そういうのはないです。  
35. 医師：尿の量や色に変化はありますか？  
36. 患者：ちょっと少ないかもしれませんが、色は普通です。  
37. 医師：これまでに胃腸の病気の診断をされたことはありますか？  
38. 患者：ありません。胃カメラは何度か受けたことがあります。  
39. 医師：運動や仕事の負担で特に感じることはありますか？  
40. 患者：最近、疲れやすいかなと思います。  
41. 医師：足の痛みやしびれはありませんか？  
42. 患者：むくんでいる感じだけで、しびれはありません。  
43. 医師：お腹を冷やしたり温めたりした後、症状に変化はありましたか？  
44. 患者：温めると少し気持ち良い感じにはなりますが、張りは変わりません。  
45. 医師：過去に重い感染症や手術を受けた経験はありますか？  
46. 患者：いいえ、特にそういう経験はありません。  
47. 医師：普段はどのくらい動かれていますか？散歩などはされていますか？  
48. 患者：家事をする程度ですけど、最近それもだるくてあまり動いていません。  
49. 医師：睡眠はしっかり取れていますか？  
50. 患者：むくみが気になって、夜中に目覚めることがあります。  
51. 医師：血液や腸の検査をした結果、蛋白漏出性胃腸症と診断しました。腸からたんぱく質が漏れていることが考えられます。  
"
