"1. 医師：こんにちは。どうされましたか？  
2. 患者：ここ数日体調が悪くて、特に昨日から肌と目が黄色っぽくなったんです。  
3. 医師：それは気になりますね。他にどんな症状がありますか？  
4. 患者：3日前くらいから熱が出て、吐き気がひどくて嘔吐もしました。  
5. 医師：熱はどのくらい出ましたか？  
6. 患者：測ったら38.5度くらいでした。  
7. 医師：熱や嘔吐が始まる前はどうでしたか？  
8. 患者：2週間くらい前からなんとなく体がだるくて、食欲もなくなっていました。  
9. 医師：その時点では痛みや他の症状は特にありませんでしたか？  
10. 患者：痛みはなかったですけど、なんだか疲れやすくなってました。  
11. 医師：最近何か変わった食べ物や飲み物を口にしましたか、例えば生ものなど？  
12. 患者：特に思い当たらないですけど、普通に外食はします。  
13. 医師：海外に行ったことはありますか？  
14. 患者：いいえ、最近は海外には全然行ってません。  
15. 医師：お酒はどのくらい飲まれますか？  
16. 患者：たまに飲みますけど、日本酒なら週に2合くらいです。  
17. 医師：薬を飲んでいたり、最近輸血を受けたことはありますか？  
18. 患者：どちらもありません。薬はほとんど飲むこともないです。  
19. 医師：性行為に関連するリスクのある行動はありませんか？  
20. 患者：いいえ、それも特にないです。  
21. 医師：現在の状況で、腹痛やどこか痛む場所はありますか？  
22. 患者：軽く右上のお腹が痛い感じはしますが、激痛ではないです。  
23. 医師：いつ頃から右上腹部の痛みを感じ始めましたか？  
24. 患者：昨日あたりからだと思います。  
25. 医師：変な便の色や尿の色の変化は感じましたか？  
26. 患者：そういえば、尿がすごく濃い黄色になっています。便は覚えてないですけど。  
27. 医師：痒みがあったりしますか？  
28. 患者：いえ、特に痒みはないです。  
29. 医師：家族で似たような症状の方はいらっしゃいますか？  
30. 患者：いえ、家族にはいないと思います。  
31. 医師：これまでに同じような症状を経験したことはありますか？  
32. 患者：こんな症状は初めてです。  
33. 医師：普段の生活でストレスが多かったりしますか？  
34. 患者：仕事でちょっと忙しい時期ではありますが、特別なストレスはないです。  
35. 医師：最近何か変わったことや、新しい活動を始めたりしましたか？  
36. 患者：特にないですね。普段通りの日常でした。  
37. 医師：お仕事で化学物質や有害物質に接触することがありますか？  
38. 患者：いいえ、普通のオフィスワークです。  
39. 医師：普段から健康診断を受けていますか？  
40. 患者：はい、毎年受けていて、特に異常なしと言われています。  
41. 医師：症状が出る前に、例えば集団食中毒のニュースを聞いたり、知人が似た症状を訴えているという話はありませんか？  
42. 患者：特に何も聞いていません。  
43. 医師：念のため、過去に肝臓に関する病気を指摘されたことはありますか？  
44. 患者：いえ、何も言われたことはないです。  
45. 医師：肌の黄ばみが急に気になり始めたのは昨日からですか？  
46. 患者：はい、昨日鏡を見た時に気が付きました。  
47. 医師：職場で体調を崩されている人はいませんか？  
48. 患者：特に聞いてないですね。  
49. 医師：体重の急激な変化は感じていますか？  
50. 患者：体重が減ったような気もしますが、測っていないのでわからないですね。  
51. 医師：お話を伺った限り、ウイルス性の肝炎が疑われます。検査でA型肝炎と判明しました。"
