"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？
2. 患者：こんにちは、3日前から熱とだるさ、喉の痛みがつらくて来ました。
3. 医師：それは大変ですね。発熱は何度ぐらいですか？
4. 患者：最初は38.5℃で、今日はちょっと上がった感じです。
5. 医師：喉の痛みはどのようなときに強く感じますか？
6. 患者：飲み込むときが特に痛いです。
7. 医師：わかりました。倦怠感はどの程度ですか？
8. 患者：全身がだるくて、食欲もあまりないんです。
9. 医師：これまでに同じような症状の既往はありますか？
10. 患者：いえ、初めてです。特に健康上の問題もなかったです。
11. 医師：ほかに何か健康に関して気になることはありますか？
12. 患者：特にはないです。
13. 医師：お薬やアレルギーはどうですか？
14. 患者：特にアレルギーも薬も飲んでないです。
15. 医師：何か特別な出来事や環境の変化がありましたか？
16. 患者：最近仕事でちょっとストレスがたまってたかなと思います。
17. 医師：なるほど。お仕事お忙しいんですね。今回の症状が始まる前に何か特別なことがありましたか？
18. 患者：特にはないですが、少し風邪気味だったかもしれません。
19. 医師：首のリンパ節に腫れが感じられますね。ご自分で気づいてましたか？
20. 患者：はい、なんとなく腫れているように思いました。
21. 医師：触ると痛みがありますか？
22. 患者：少し痛い感じがします。
23. 医師：喉以外に痛みや不快感はどこかありますか？
24. 患者：特に喉が一番気になるところです。
25. 医師：お腹の方に痛みや腫れは感じますか？
26. 患者：少しお腹の右側が気になるかも。
27. 医師：肝臓や脾臓に影響があるかもしれませんね。
28. 医師：血液検査をすぐに行いたいと思いますが大丈夫ですか？
29. 患者：はい、お願いします。
30. 医師：血液検査の結果、白血球が増えており、異型リンパ球が多く見られました。
31. 患者：異型リンパ球って何ですか？
32. 医師：ウイルス感染でよく見られる細胞です。例えば、伝染性単核球症などで。
33. 患者：それってどんな病気なんですか？
34. 医師：いわゆるキス病とも呼ばれ、エプスタイン・バールウイルス感染で起こります。
35. 患者：キス病って、どうしてそういう名前がついているんですか？
36. 医師：感染は唾液を介することが多いからなんです。
37. 患者：そうなんですね。私もそれなんですか？
38. 医師：検査結果から、その可能性が高いです。
39. 患者：治るんでしょうか？
40. 医師：基本的には対症療法で短期間で良くなることが多いです。
41. 患者：処方される薬はありますか？
42. 医師：痛みと熱にはアセトアミノフェンを考えています。
43. 患者：ウイルスには効くんですか？
44. 医師：ウイルスを直接消す薬ではありませんが、症状を和らげます。
45. 患者：どうしたら早く治りますか？
46. 医師：十分な水分補給と安静が大切です。
47. 患者：職場にはいつから戻れるでしょうか？
48. 医師：通常、症状が改善するまでは少しお休みください。
49. 患者：わかりました。検査結果で他に問題はありますか？
50. 医師：肝機能が少し高めですが、通常ならば一過性ですので心配いりません。"
