"1. 医師：こんにちは、加藤さん。今日はどのような症状でお越しですか？
2. 患者：最近、咳と倦怠感がひどくて、息をするのも少し苦しいんです。
3. 医師：いつからその症状が始まりましたか？
4. 患者：5日前からです。
5. 医師：初めはどんな感じでしたか？
6. 患者：最初は軽い咳と、ちょっと疲れたなという感じでした。
7. 医師：その後、どう変わりましたか？
8. 患者：日に日に悪くなって、昨日からは本当に息が苦しいです。
9. 医師：発熱はありますか？
10. 患者：はい、なんだか熱っぽさもあります。
11. 医師：他に症状はありますか？
12. 患者：それぐらいです。
13. 医師：既往歴で何かお持ちの病気はありますか？
14. 患者：糖尿病があります。
15. 医師：糖尿病はどのようにコントロールされていますか？
16. 患者：薬を飲んでいます。
17. 医師：最近、どのように薬を飲んでいますか？
18. 患者：毎日、決められた時間に飲んでいます。
19. 医師：薬を飲むことで何か問題を感じたことはありますか？
20. 患者：特にはないです。
21. 医師：最近の血糖値の状態について覚えていますか？
22. 患者：詳しい数値は分かりませんが、割と安定していると言われました。
23. 医師：それは良かったですね。呼吸が苦しい時、特にどういう時に感じますか？
24. 患者：動くと特に苦しくなります。
25. 医師：夜間はどうですか？
26. 患者：夜も苦しくて眠れません。
27. 医師：咳はどのように感じていますか？
28. 患者：乾いた咳がずっと出ます。
29. 医師：痰はどうですか？
30. 患者：あまり出ません。
31. 医師：息苦しさは特にどのように感じますか？
32. 患者：胸の奥がぎゅっと締め付けられる感じです。
33. 医師：その息苦しさには一定の時刻で変化がありますか？
34. 患者：特に関係ないです。動いた時がひどいかな。
35. 医師：生活でストレスや変わったことはありましたか？
36. 患者：特に変わったことはないです。
37. 医師：家族に同様の症状のある方はいますか？
38. 患者：いえ、家族は皆元気です。
39. 医師：普段の体力や生活習慣には変化はありましたか？
40. 患者：ここ最近、家事をするのもつらいですね。
41. 医師：これから体温や血圧を測定してみましょう。
42. 患者：お願いします。
43. 医師：発熱がありますね、38.2℃です。
44. 患者：やっぱり、熱あったんですね。
45. 医師：呼吸音を聴診しますね、咳などしてください。
46. 患者：はい、わかりました。
47. 医師：両側の肺に少し気になる音がありますね。
48. 患者：どうなんでしょうか？
49. 医師：念のため、血液検査とレントゲンを撮りましょう。
50. 患者：わかりました、何でもします。"
