"1. 医師：どうされましたか？  
2. 患者：のどが腫れて痛いんです。それにすごく疲れやすくなって、つらいです。  
3. 医師：それはいつ頃から始まりましたか？  
4. 患者：2週間くらい前からです。  
5. 医師：腫れや痛みは徐々に強くなってきましたか？  
6. 患者：ええ、少しずつ悪化しました。最初は気にしていなかったんですけど。  
7. 医師：最近、熱が出たことはありますか？  
8. 患者：はい、38度を越すことが何度かありました。  
9. 医師：寒気や悪寒もありましたか？  
10. 患者：寒気は特になかったです。  
11. 医師：のどの腫れはどちら側が特に気になりますか？  
12. 患者：右側が腫れているようです。触ると痛いです。  
13. 医師：触った時の痛み以外に、硬さとか赤みは感じますか？  
14. 患者：硬い感じはありますが、赤くはなっていないと思います。  
15. 医師：そのほかに何か症状はありますか？  
16. 患者：全身がだるくて、日常生活が本当にしんどいです。  
17. 医師：症状が始まる前に風邪を引いたり、咳や鼻水はありましたか？  
18. 患者：特にそんなことはなかったです。  
19. 医師：食欲や体重に変化はありましたか？  
20. 患者：少し食欲が落ちて、体重も減ったかもしれないです。  
21. 医師：動悸やイライラ感、汗が多く出るなどの症状はありますか？  
22. 患者：特にそういうことはないです。  
23. 医師：首の腫れ以外に、リンパ節が腫れた感じはありますか？  
24. 患者：それはちょっと分からないです。特に気になることはないです。  
25. 医師：皮膚に発疹や、体のほかの場所の痛みはありますか？  
26. 患者：それも特にないです。  
27. 医師：ご家族に同じような症状の方はいらっしゃいますか？  
28. 患者：いえ、みんな元気です。  
29. 医師：お仕事や生活の中で、特に大きなストレスはありましたか？  
30. 患者：最近は少し仕事が忙しいくらいですけど、大きなストレスはないと思います。  
31. 医師：過去に甲状腺の病気を指摘されたことはありますか？  
32. 患者：いいえ、一度もないです。  
33. 医師：体温を測ってみたところ、少し熱がありますね。最近ずっと続いていますか？  
34. 患者：ずっとではないですが、2週間くらいの間に何回か上がったり下がったりしています。  
35. 医師：心拍数が少し速いですね。普段から動悸を感じたりしますか？  
36. 患者：特には感じていません。  
37. 医師：のどの腫れですが、左右差が少しあるように見えますね。痛みが強いときは何かして和らげたりしましたか？  
38. 患者：市販の痛み止めを飲んだりしましたけど、あまり効きませんでした。  
39. 医師：首を冷やしたり温めたりはしましたか？  
40. 患者：温めてみましたが、特に変わりませんでした。  
41. 医師：血液検査をしてみたところ、少し炎症の数値が高いですね。それについての自覚症状は？  
42. 患者：疲れやすいのはそのせいなのかもしれませんね。  
43. 医師：甲状腺のエコーを撮りましたが、右側に炎症のような異常が見られます。  
44. 患者：そうなんですか。  
45. 医師：炎症による甲状腺の腫れが原因で、痛みや発熱が出ている可能性があります。  
46. 患者：それが原因なら治せますか？  
47. 医師：これらの症状から、亜急性甲状腺炎という状態が考えられます。  
48. 患者：亜急性甲状腺炎って、どんな病気ですか？  
49. 医師：甲状腺に一時的に炎症が起きる病気です。基本的には治療で症状が軽くなります。  
50. 患者：そうなんですね。でもちょっと安心しました。  
診断がついたため、会話を終了します。"
