"1. 医師：今日はどういったことで受診されましたか？
2. 患者：最近、顔が丸くなってきて、体重が増えてしまいました。
3. 医師：その体重増加はいつ頃から始まりましたか？
4. 患者：約6ヶ月前から徐々に増え始めました。
5. 医師：どのくらいの体重が増えましたか？
6. 患者：約10kg増えました。
7. 医師：食事制限や運動は試みましたか？
8. 患者：はい、でもあまり効果はありませんでした。
9. 医師：食事制限の内容はどのようなものでしたか？
10. 患者：普通の食事に加えて、カロリーを減らすようにしました。
11. 医師：運動はどのようなことをされましたか？
12. 患者：ウォーキングや軽いジョギングをしていました。
13. 医師：最近、他に気になる症状はありますか？
14. 患者：特に顔が丸くなっていることと、一緒に頸部に脂肪がついてきました。
15. 医師：頸部の脂肪蓄積は気になりますね。他に体調の変化はありましたか？
16. 患者：特に筋力が落ちた感じがします。
17. 医師：肩のあたりの筋力低下を感じますか？
18. 患者：はい、肩甲帯が特に力が入らないです。
19. 医師：それは辛いですね。ご家族はこの変化に気づいていますか？
20. 患者家族：はい、顔がふっくらしてきたのを見て心配しています。
21. 医師：家族も心配されているのですね。他に生活の中でのストレスはありますか？
22. 患者：仕事のストレスが結構あります。
23. 医師：仕事のストレスはどのようなものでしょうか？
24. 患者：納期やプレッシャーが多いです。
25. 医師：それも影響しているかもしれませんね。日常生活ではどんなことをしていますか？
26. 患者：最近は子どもと遊ぶ時間が少なくなっています。
27. 医師：お子さんは何歳ですか？
28. 患者：6歳です。もっと一緒に遊びたいです。
29. 医師：それは良いですね。運動不足も影響しているかもしれませんね。体重の増加に関連して、何か思い当たることはありますか？
30. 患者：特に心当たりはないですが、以前から糖尿病と高血圧があって通院しています。
31. 医師：それは重要な情報です。最近の血糖はどうでしたか？
32. 患者：血糖値はあまり良くないと指摘されました。
33. 医師：HbA1cはいかがでしたか？
34. 患者：最近の検査では8.5%と言われました。
35. 医師：それは高めですね。通院はどのくらいの頻度ですか？
36. 患者：数ヶ月に一度、様子を見てもらっています。
37. 医師：体重が増えたことについて医師からのアドバイスはありましたか？
38. 患者：特に運動と食事に注意するよう言われました。
39. 医師：それが重要ですね。身体所見では他に目立つ症状はありますか？
40. 患者：皮膚に色素沈着があるのも気になります。
41. 医師：色素沈着は普段との違いがあったのですか？
42. 患者：はい、特にお腹にストレッチマークが増えています。
43. 医師：それは興味深いですね。もう少し詳しくお話ししますが、血液検査を行ったことはありますか？
44. 患者：はい、最近も血検は受けました。
45. 医師：その結果はどうでしたか？
46. 患者：血清コルチゾールが高いと言われました。
47. 医師：コルチゾールの高値は他にも影響がありますね。過去にストレスが多かったことはありますか？
48. 患者：いえ、特に思い当たりません。
49. 医師：分かりました。最近は睡眠の質はどうですか？
50. 患者：あまりよく眠れない日が多いです。
51. 医師：お話を聞く限り、Cushing症候群の可能性がありますね。"
