"1. 医師：こんにちは、どうされましたか？
2. 患者：最近、高血圧と頻脈が気になっています。
3. 医師：それは大変ですね。症状はいつから始まりましたか？
4. 患者：3か月前からです。
5. 医師：その間、どのような状況で症状が悪化しますか？
6. 患者：身体的なストレスや心理的な緊張時に特に悪化します。
7. 医師：家庭で血圧はどのくらい測定されていますか？
8. 患者：自宅で測ると、最高で180/110 mmHgに達することがあります。
9. 医師：心拍数はいかがですか？
10. 患者：安静時でも心拍数が100拍/分を超えています。
11. 医師：普段は健康でしたか？過去に特筆すべき病歴はありますか？
12. 患者：これまで特に病気はありませんでした。
13. 医師：身体を見せてもらってもいいですか？
14. 患者：もちろんです。
15. 医師：血圧を測りますね。178/106 mmHgですね。
16. 患者：はい、最近こういう数値が続いています。
17. 医師：脈拍も測ります。102拍/分ですね。
18. 患者：そうです、それも気になっています。
19. 医師：特に発汗や顔面紅潮はありませんか？
20. 患者：それはないです。
21. 医師：腹部を触診しても大丈夫ですか？
22. 患者：はい、大丈夫です。
23. 医師：腫瘤の所見はありませんでした。
24. 患者：安心しました。
25. 医師：神経学的所見も正常ですね。ストレスについて何かお感じになることはありますか？
26. 患者：仕事が忙しくてストレスを感じています。
27. 医師：それが関係しているかもしれません。他に気になる症状はありますか？
28. 患者：特に他はないです。ただ、ドキドキする感じが続いています。
29. 医師：検査を行いますのでしばらくお待ちくださいね。
30. 患者：はい、お願いします。
31. 医師：血液検査の結果が出ました。カテコールアミンの上昇が見られました。
32. 患者：それはどういうことですか？
33. 医師：つまり、体内のストレス反応が高まっているということです。
34. 患者：そうなんですね。
35. 医師：尿中のカテコールアミンも増加していました。
36. 患者：それが原因なんでしょうか？
37. 医師：それではCT検査を行いますね。
38. 患者：はい、どうぞ。
39. 医師：CT検査の結果、右副腎に約5 cmの腫瘤が見つかりました。
40. 患者：それはもしかして問題ですか？
41. 医師：はい、これが原因で高血圧や頻脈が起きている可能性があります。
42. 患者：それは怖いですね。
43. 医師：診断としては「褐色細胞腫」の可能性があります。
44. 患者：褐色細胞腫とは何ですか？
45. 医師：腫瘍がカテコールアミンを過剰に分泌することで症状を引き起こします。
46. 患者：今後どうなりますか？
47. 医師：まず、選択的β遮断薬を使って血圧を下げていきます。
48. 患者：それはどんな薬ですか？
49. 医師：アセブトロールという薬で、最初は200 mgから始めます。
50. 患者：分かりました。それで改善するのでしょうか？"
