"1. 医師：こんにちは、今日はどのようなことでお悩みですか？
2. 患者：ここ3か月くらい、頭痛がひどくなってきました。
3. 医師：どの部分が痛いですか？
4. 患者：後頭部に鋭い痛みがあります。
5. 医師：その痛みはどのくらいの頻度で起こりますか？
6. 患者：ほぼ毎日、特に運動した後に顕著になります。
7. 医師：痛みの強さはどれくらいですか？
8. 患者：生活に支障があるほど、とても辛いです。
9. 医師：他にどんな症状がありますか？
10. 患者：夜に汗をかくことが増えました。
11. 医師：それはどのくらいの頻度ですか？
12. 患者：毎晩のように汗をかいて、眠りにくくなっています。
13. 医師：日中はどうですか？何か感じますか？
14. 患者：日中も不安感があります。
15. 医師：不安はいつから感じていますか？
16. 患者：頭痛が始まってから、だんだんと増えてきました。
17. 医師：最近のストレスはありましたか？
18. 患者：仕事が忙しくなって、精神的に疲れています。
19. 医師：他に既往歴として気になることはありますか？
20. 患者：甲状腺機能低下症です。レボチロキシンを飲んでいます。
21. 医師：それは何年くらい前からですか？
22. 患者：5年ほど前から治療を受けています。
23. 医師：その治療による副作用はありましたか？
24. 患者：特には感じていないです。
25. 医師：最近の体調の変化はありますか？
26. 患者：血圧が高いのを感じることがあります。
27. 医師：血圧はどのくらいですか？
28. 患者：家で測ると160くらいになっています。
29. 医師：心拍数についてはどうですか？
30. 患者：心臓がドキドキすることもあります。
31. 医師：運動はどれくらいのペースでされていますか？
32. 患者：週に数回、軽いジョギングをしています。
33. 医師：過去に運動中に変わった症状はありましたか？
34. 患者：運動中に頭痛がひどくなることが多いです。
35. 医師：それでは、生理周期はどうですか？
36. 患者：普通です、特に変わりません。
37. 医師：食事はバランスが取れていると思いますか？
38. 患者：仕事のせいで乱れている気がします。
39. 医師：睡眠は取れていますか？
40. 患者：夜中に汗をかいて目が覚めてしまうので、十分ではないです。
41. 医師：それでは、家族の方はこの症状について何か気づいていることはありますか？
42. 患者家族：最近、彼女が頭痛を訴えることが多く、心配しています。
43. 医師：その頭痛が始まってから、日常生活にはどのように影響していますか？
44. 患者：集中力が続かず、仕事の効率が落ちています。
45. 医師：それはお辛いですね。検査が必要かもしれません。
46. 患者：はい、何か分かればいいのですが。
47. 医師：最近の血圧や心拍数の上昇は気になりますね。
48. 患者：そう思います、なんとかしたいです。
49. 医師：それでは、いくつかの検査を行ってみましょう。
50. 医師：今回の検査で血液中のカテコールアミンの量が増加していることが確認されました。
51. 医師：CT検査で副腎に腫瘤があることがわかりました。
52. 医師：これらの結果から、褐色細胞腫と診断しました。"
