"1. 医師：今日はどうしましたか？
2. 患者：左の頭が痛くて、吐き気もあります。
3. 医師：頭痛はいつから始まりましたか？
4. 患者：発症してから2時間くらいです。
5. 医師：痛みはどのような感じですか？
6. 患者：拍動感があって、特に左側の頭が痛いです。
7. 医師：音や光に対して敏感ですか？
8. 患者：はい、すごく敏感です。
9. 医師：以前にも同じような頭痛を感じたことがありますか？
10. 患者：小学校の高学年からよくあります。
11. 医師：頭痛の前に何か特別なことがありましたか？
12. 患者：視覚的な閃光が見えることがあります。
13. 医師：家族に同じような頭痛を持っている人はいますか？
14. 患者：母が片頭痛を持っています。
15. 医師：頻繁に頭痛が起こることはありますか？
16. 患者：月に数回くらいです。
17. 医師：頭痛の痛みが強くなることがありますか？
18. 患者：はい、時々強くなります。
19. 医師：他に気になる症状はありますか？
20. 患者：最近は臭いに敏感になっています。
21. 医師：吐き気はどのくらい続いていますか？
22. 患者：頭痛と一緒に始まってからずっとあります。
23. 医師：食べ物や薬の影響は感じますか？
24. 患者：特には感じません。
25. 医師：痛みを和らげるために何か試したことはありますか？
26. 患者：市販の痛み止めを飲みましたが、あまり効かなかったです。
27. 医師：それは大変ですね。痛みが起こるときの状況を教えてもらえますか？
28. 患者：ストレスが溜まった時によく起こります。
29. 医師：最近の生活で特にストレスを感じたことはありますか？
30. 患者：学校の試験が近いので、ちょっと緊張しています。
31. 医師：そうですか。リラックスする時間はありますか？
32. 患者：あまりないかもしれません。
33. 医師：頭部を触ると、痛みが増しますか？
34. 患者：はい、左側を押すと痛いです。
35. 医師：他に身体のどこかに不調はありますか？
36. 患者：腹部が少し気になる時があります。
37. 医師：さっき言ってた腹部のこと、詳しく教えてください。
38. 患者：軽く痛い感じがするだけです。
39. 医師：反応が強いわけではないんですね。
40. 患者：はい、そこまでではないです。
41. 医師：最近、風邪の症状などはありましたか？
42. 患者：特にはありません。
43. 医師：脳の検査をすることになりますが、どのくらいの頻度で頭痛が起きますか？
44. 患者：おそらく月に数回です。
45. 医師：過去に診断されたことはありますか？
46. 患者：はい、片頭痛だと言われました。
47. 医師：それは大変ですね。いつも同じような頭痛ですか？
48. 患者：はい、ほぼ同じ感じです。
49. 医師：痛みが出る前に何か前兆がありますか？
50.患者：閃光を見ることが多いです。"
