"1. 医師：こんにちは、今日は何かお困りのことがありますか？
2. 患者：喉が痛くて、熱が出てきました。
3. 医師：喉の痛みはいつからですか？
4. 患者：3日前からです。
5. 医師：その時から急に悪化しましたか？
6. 患者：はい、だんだんひどくなってきました。
7. 医師：飲み物や食べ物はどうしていますか？
8. 患者：喉が痛くて、飲食が難しいです。
9. 医師：熱はどのくらいですか？
10. 患者：最高で39.5℃まで上がりました。
11. 医師：熱の他に、何か他の症状はありますか？
12. 患者：体がだるくて、頭も痛いです。
13. 医師：頭痛はいつから感じていますか？
14. 患者：喉が痛くなったのと同じくらいの時期です。
15. 医師：最近、風邪をひいたり、誰かと感染症の話をしたりしましたか？
16. 患者：特にありません。
17. 医師：これまでの病歴には何か特に問題はありましたか？
18. 患者：特にないと思います。アレルギーもありません。
19. 医師：家族に似た症状の人はいますか？
20. 患者家族：いいえ、みんな元気です。
21. 医師：それは良かったです。念のため、喉を見せてもらえますか？
22. 患者：はい、どうぞ。
23. 医師：咽頭に赤みがありますね。扁桃腺も腫れています。
24. 患者：そうなんです。喉を触ると痛いです。
25. 医師：頸部のリンパ節も腫れているようですね。圧痛はありますか？
26. 患者：はい、触れると痛みます。
27. 医師：それは嫌ですね。他に気になる点はありますか？
28. 患者：特にはないですが、声がかすれてきました。
29. 医師：声がかすれることもありますね。体調はどうですか？動くと疲れますか？
30. 患者：はい、ちょっと動いただけで疲れます。
31. 医師：最近、寝不足だったりしましたか？
32. 患者：いえ、特に睡眠には問題ありません。
33. 医師：ストレスを感じることはありますか？
34. 患者：少し忙しいですが、それほどではないです。
35. 医師：分かりました。一度、血液検査もしてみましょうか。
36. 患者：はい、お願いします。
37. 医師：血液検査の結果が出たら、またお話ししましょう。
38. 患者：わかりました。
39. 医師：他にも何か気になることがあれば教えてください。
40. 患者：特にないです。早く良くなりたいです。
41. 医師：もちろんです。しっかり見ていきますね。
42. 医師：血液検査の結果、白血球が増加していることが分かりました。
43. 患者：それはどういう意味ですか？
44. 医師：体が何かに対して反応しているということです。
45. 患者：やはり何かの感染症ですか？
46. 医師：可能性はありますね。咽頭の状態も気になります。
47. 患者：他に考えられる病気はありますか？
48. 医師：風邪やインフルエンザの可能性もありますが、また検査してみましょう。
49. 患者：わかりました、頑張ります。
50. 医師：迅速溶連菌抗原検査を行った結果、陽性でした。溶連菌性咽頭炎と診断します。"
