"1. 医師：こんにちは。本日はどのような症状でお困りですか？  
2. 患者：2週間くらい前から胸が締め付けられるような感じがして、最近は動悸や息切れもして困っています。  
3. 医師：いつくらいに症状が始まりましたか？  
4. 患者：2週間前くらいですね。その頃から運動すると特に胸が痛くなります。  
5. 医師：胸の痛みはどのあたりに感じますか？  
6. 患者：胸の真ん中あたりです。ぎゅっと圧迫されるような痛みです。  
7. 医師：最初は運動のときだけでしたか？  
8. 患者：はい、ランニングとか階段を上るときだけで、しばらく休むと良くなっていました。  
9. 医師：最近の症状はどうですか？  
10. 患者：ここ数日、安静にしていても少し痛むことがあります。特に夜、寝ているときに痛くなることもあります。  
11. 医師：痛みの強さは日によって違いますか？  
12. 患者：はい、だんだん強くなっているように感じます。  
13. 医師：動悸や息切れもあるとのことですが、それはいつ頃からですか？  
14. 患者：それも2週間くらい前からですね。それも運動するとひどくなります。  
15. 医師：以前に心臓の病気を指摘されたことはありますか？  
16. 患者：いいえ、特にはありません。  
17. 医師：他に持病や薬を飲んでいるものはありますか？  
18. 患者：高血圧の薬を2種類飲んでいるだけです。  
19. 医師：高血圧はいつから指摘されていますか？  
20. 患者：10年くらい前ですね。  
21. 医師：胸痛は食事やストレスで悪くなったりする印象はありますか？  
22. 患者：特に関係があると感じたことはありません。  
23. 医師：胸痛のほかに、冷や汗や吐き気を感じることはありますか？  
24. 患者：冷や汗はたまにありますが、吐き気はありません。  
25. 医師：喫煙やお酒の習慣について教えていただけますか？  
26. 患者：タバコは30年以上吸っていますが、お酒はほとんど飲みません。  
27. 医師：ご家族に心臓病の方はいらっしゃいますか？  
28. 患者：父が心筋梗塞を起こしたことがあります。  
29. 医師：血圧のことですが、普段のコントロールは良好ですか？  
30. 患者：まあまあだと思いますが、ときどき少し高めになると言われています。  
31. 医師：では、胸痛の頻度は日に何回くらいですか？  
32. 患者：最近は1日に3、4回くらいありますね。  
33. 医師：痛みの持続時間はどれくらいですか？  
34. 患者：10分から15分程度ですかね。  
35. 医師：深呼吸や体を動かすことで痛みが変化することはありますか？  
36. 患者：特に変わることはありません。  
37. 医師：食欲や体重の変化はありますか？  
38. 患者：食欲はありますし、体重も変わってません。  
39. 医師：最近、何か特別なストレスを感じていますか？  
40. 患者：特に思い当たるようなストレスはないですね。  
41. 医師：睡眠は取れていますか？夜間の胸痛で目が覚めることはありますか？  
42. 患者：最近は胸痛で目が覚めることがあります。これがちょっと辛いです。  
43. 医師：糖尿病や高脂血症を指摘されたことはありますか？  
44. 患者：糖尿病はないですが、コレステロールが高いと言われることがあります。  
45. 医師：食事や運動はどのようにされていますか？  
46. 患者：食事は特に制限していません。運動は週に1、2回程度歩くくらいです。  
47. 医師：胸の痛みが始まる前に何か変わったことや病気がありましたか？  
48. 患者：いいえ、特になかったと思います。  
49. 医師：すぐに結果が詳しく出ないのですが、胸痛の原因が心臓の血流不足によるもの、いわゆる狭心症ではないかと考えられます。  
50. 患者：わかりました。それで最近症状が悪化しているのでしょうか？  
医師：不安定狭心症の可能性が高いです。症状から、これが典型的な病態に一致しています。一連の検査と治療を開始しましょう。"
