"1. 医師：こんにちは。今日はどうされていますか？
2. 患者：こんにちは。最近、熱が出て、咳がひどくて…。
3. 医師：熱はいつからありましたか？
4. 患者：発症から4日前からです。
5. 医師：最初はどんな症状でしたか？
6. 患者：軽い咽頭痛がありました。
7. 医師：それから、どのように症状は変わりましたか？
8. 患者：その後、熱が38.5℃まで上がりました。
9. 医師：全身の倦怠感はどうですか？
10. 患者：すごく疲れやすくて、動くのが辛いです。
11. 医師：来院時には他にどんな症状がありましたか？
12. 患者：咳が増えてきましたが、呼吸は大丈夫です。
13. 医師：嗅覚に何か変化はありましたか？
14. 患者：ええ、嗅覚がなくなってしまいました。
15. 医師：それはいつから感じましたか？
16. 患者：咳がひどくなってからです。
17. 医師：今の体温はどのくらいですか？
18. 患者：来院時の体温は38.6℃でした。
19. 医師：脈拍や呼吸数はどうでしたか？
20. 患者：脈拍は95回、呼吸数は18回でした。
21. 医師：血圧はどうでしたか？
22. 患者：血圧は120/75 mmHgでした。
23. 医師：胸の音はどうでしたか？
24. 患者：聴診では特に異常はないと言われましたが、細気管支音があったそうです。
25. 医師：他に体の痛みや不調はありませんでしたか？
26. 患者：腹痛とかは全くなかったです。
27. 医師：最近、風邪を引いたりしたことはありますか？
28. 患者：いいえ、特にありませんでした。
29. 医師：家族には同じような症状を訴えている人はいませんか？
30. 患者家族：私も咳が出て、少し喉が痛いです。
31. 医師：他にも何か症状があった場合、教えてください。
32. 患者：今は特に他の症状はありません。
33. 医師：最近、外出や人と接することはありましたか？
34. 患者：外出はしましたが、人込みには行っていません。
35. 医師：最近、旅行などには行かれていましたか？
36. 患者：いいえ、特には行っていません。
37. 医師：趣味や仕事でストレスを感じることはありますか？
38. 患者：最近は忙しい仕事が続いていて、少し疲れています。
39. 医師：その考えは体調に影響していますかもしれませんね。
40. 患者：なるほど、そうかもしれません。
41. 医師：他に検査を受けたことはありますか？
42. 患者：いいえ、まだ受けていません。
43. 医師：検査結果について気になることはありますか？
44. 患者：どんな検査を行うのでしょうか？
45. 医師：今日はRT-PCR検査を行ってみますね。
46. 患者：それはどういう検査ですか？
47. 医師：ウイルスがいるかどうかを調べる検査です。
48. 患者：なるほど、わかりました。
49. 医師：結果が出たら、今後の方針をお話ししましょう。
50. 医師：検査の結果、SARS-CoV-2陽性でした。COVID-19の診断です。"
