"1. 医師：こんにちは。今日はどんな症状でお困りですか？  
2. 患者：最近、ものを飲み込むときに痛みがあって、それがどんどん悪くなってきました。  
3. 医師：いつ頃からその痛みを感じ始めましたか？  
4. 患者：1か月くらい前からです。最初は固いものだけでしたけど、最近は柔らかいものや液体でも痛いんです。  
5. 医師：進行してきた感じですね。他に飲み込みがしにくいと感じますか？  
6. 患者：はい、以前より飲むのが難しくなってきた気がします。  
7. 医師：飲み込むときの痛み以外に、例えば声のかすれとか出てきた症状はありますか？  
8. 患者：そうですね、2週間くらい前から声がガラガラに変わってきました。  
9. 医師：食欲や体重の変化についてはいかがですか？  
10. 患者：あまり食べられなくなって、体重も減りました。数キロは落ちたと思います。  
11. 医師：具体的には何キロくらい体重が減りましたか？  
12. 患者：体重はたぶん3〜4キロくらい減ったと思います。  
13. 医師：それは食事量が減ったせいでしょうか、それとも何か違う原因が考えられそうですか？  
14. 患者：やっぱり食べるのが辛いので、食事の量が少なくなったんだと思います。  
15. 医師：喉や食道の違和感以外に、胸の痛みや腹痛などはありますか？  
16. 患者：胸の辺りがたまに痛い気がします。でも他は特にありません。  
17. 医師：糖尿病や逆流性食道炎があると伺いましたが、最近それに関連する症状はどうですか？  
18. 患者：糖尿病の方は薬を飲んでます。食道炎は前に少し良くなったと言われました。  
19. 医師：なるほど。他に風邪を引いたり、風邪の後に声が出にくくなったことなどはありましたか？  
20. 患者：風邪を引いた覚えはないですね。  
21. 医師：日常生活の中でストレスや疲れが特に増えたとかはありますか？  
22. 患者：そういうのはないです。普通に生活してるつもりです。  
23. 医師：最近、喉や食道以外に何か体調の変化を感じたり、リンパ節が腫れているようなことはありませんか？  
24. 患者：いいえ、特に腫れは感じないです。  
25. 医師：ご家族の方から何か気づいたことを指摘されたりはしましたか？  
26. 患者：夫が最近痩せたねって言ってました。それ以外は特になさそうです。  
27. 医師：普段の食事量や好みが変わったりしていると感じますか？  
28. 患者：量が減っていて、食べる気も起きなくなってきています。  
29. 医師：飲み込む途中でつっかえる感じや、詰まった感覚はありますか？  
30. 患者：はい、特に硬いものだとつっかえるような気がします。  
31. 医師：喉の違和感や炎症のような初期症状はなかったですか？  
32. 患者：特になかったです。ただ急に飲むのが痛くなった感じです。  
33. 医師：咳や痰、特に血が混じることはありませんか？  
34. 患者：それはないです。咳もそんなに出ないし…。  
35. 医師：タバコやお酒の習慣はありますか？  
36. 患者：お酒はたまに飲みますけど、タバコはやめてから20年以上経ってます。  
37. 医師：以前はタバコをどれくらい吸っていましたか？  
38. 患者：若い頃は1日1箱くらい吸ってましたね。  
39. 医師：喉や食道だけでなく、胃の不調や吐き気を感じることはありますか？  
40. 患者：胃の不調は感じないです。吐き気もありません。  
41. 医師：先ほどご家族のことが少し出ましたが、どなたか食事で助けてくれていることはありますか？  
42. 患者：夫が少し手伝ってくれるくらいです。  
43. 医師：運動や日常生活には支障なく過ごせていますか？  
44. 患者：食べられないので体力が落ちた気がします。  
45. 医師：節約したり他の心配で食事を削減したことはありませんね？  
46. 患者：そのようなことはありません。  
47. 医師：最近、検診や健康診断は受けられましたか？  
48. 患者：数年前に受けたきりですね…。  
49. 医師：具体的な病状を確認するためにいくつか検査を行いました。結果についてお話ししますね。  
50. 医師：検査の結果、食道に悪性腫瘍、いわゆる食道癌が見つかりました。"
