"1. 医師：今日は森さん、お元気ですか？
2. 患者：最近、物忘れがひどくなってきました。
3. 医師：どのような物忘れが気になりますか？
4. 患者：身近な人の名前を思い出せなかったりします。
5. 医師：それは最近始まったことですか？
6. 患者家族：数年前から少しずつです。
7. 医師：日常生活にはどんな影響がありますか？
8. 患者家族：料理や買い物が難しくなってきています。
9. 医師：買い物が難しく感じるのは具体的にどんな時ですか？
10. 患者：リストを忘れて何を買うか間違えてしまいます。
11. 医師：他にお困りのことはありませんか？
12. 患者：すぐに新しいことを忘れてしまいます。
13. 医師：ふだんの健康状態はどうですか？
14. 患者：COPDと脂質異常症で治療を受けています。
15. 医師：お薬はしっかり飲んでいますか？
16. 患者：はい、ちゃんと服用しています。
17. 医師：過去に大きな病気や怪我はありましたか？
18. 患者：大きな怪我はないですね。
19. 医師：家族に似たような症状の方はいますか？
20. 患者家族：両親はそんなことなかったです。
21. 医師：睡眠や食欲に変化はありますか？
22. 患者：特に問題ないです。
23. 医師：最近、精神的にストレスを感じることは？
24. 患者：特にはないと思います。
25. 医師：外出するのはどのくらいの頻度ですか？
26. 患者：あまり出かけなくなりました。
27. 医師：気分が落ち込むことはありますか？
28. 患者：少しありますね。
29. 医師：認知機能の検査を行いましたが、MMSEスコアは20点でした。
30. 患者：それはどういうことですか？
31. 医師：認知機能に少し問題があります。
32. 医師：MRIで側頭葉と後部帯状皮質の萎縮が見られました。
33. 医師：SPECTでは脳の血流低下も示されています。
34. 患者：それが物忘れの原因ですか？
35. 医師：はい、アミロイドβの蓄積も確認されました。
36. 医師：これらの情報から、Alzheimer病と診断しました。
37. 患者：そうですか、どうすればいいのでしょうか？
38. 医師：Donepezil 5mgを始めましょう。
39. 医師：症状の軽減が期待されます。
40. 患者：少し良くなるんですね。
41. 医師：1ヶ月後にまた状態を見ましょう。
42. 医師：新しい情報を覚えるのはどうですか？
43. 患者：やはりまだ難しいです。
44. 医師：Memantine 10mgも追加しましょう。
45. 患者：それはどんな効果がありますか？
46. 医師：日常生活動作の改善が期待できます。
47. 患者：そうなんですね、少し安心しました。
48. 医師：家族でサポート体制をしっかり整えましょう。
49. 患者家族：できる限りサポートします。
50. 医師：一緒にがんばりましょう。"
