"1. 医師：こんにちは、岡田さん。今日はどういったことで来院されましたか？
2. 患者：最近、上を向くとめまいがして困っています。
3. 医師：めまいはいつ頃から始まりましたか？
4. 患者：2週間ほど前からです。
5. 医師：めまいはいつもどんな時に起こりますか？
6. 患者：寝返りを打つ時や、朝起きる時に特にひどいです。
7. 医師：目を閉じるとめまいはどうなりますか？
8. 患者：少し楽になりますね。
9. 医師：吐き気や嘔吐はありますか？
10. 患者：いいえ、ありません。
11. 医師：耳鳴りはありますか？
12. 患者：以前は耳鳴りがありましたが、今は特にありません。
13. 医師：過去に耳やめまいに関する病気はありましたか？
14. 患者：耳鳴りくらいで、特に治療したことはありません。
15. 医師：最近健康診断を受けましたか？
16. 患者：はい、特に異常はありませんでした。
17. 医師：仕事や生活にストレスを感じていますか？
18. 患者：そうですね、時々感じますけど、それが原因とは思えません。
19. 医師：体の他の部分に異常を感じていますか？
20. 患者：いいえ、特に他には何もありません。
21. 医師：Dix-Hallpikeテストという検査を行いますね。少し頭を動かします。
22. 患者：わかりました。
23. 医師：右側を試しますね。この時にめまいが起きますか？
24. 患者：はい、めまいがあります。
25. 医師：今、目が少し動いていますね。これが眼振です。
26. 患者：そうなんですか。初めて知りました。
27. 医師：脳MRIとMRAを施行しましたが、異常はありませんでした。
28. 患者：それを聞いて安心しました。
29. 医師：聴力検査でも問題は見つかりませんでした。
30. 患者：そうですか。それなら良かったです。
31. 医師：この症状と検査結果から、良性発作性頭位性めまい症と考えられます。
32. 患者：それはどんな病気ですか？
33. 医師：特定の頭の動きによりめまいが起こるもので、一時的なことが多いです。
34. 患者：治療法はあるんですか？
35. 医師：Epley法という耳石を元の位置に戻す方法を試します。
36. 患者：それで治るんですか？
37. 医師：多くの場合、効果がありますよ。
38. 医師：さらに、Betahistineという薬を処方します。
39. 患者：薬で良くなるといいですね。
40. 医師：おかげで、通常数日で改善が見られます。
41. 患者：安心しました。
42. 医師：家でできる頭位変換運動も伝えます。
43. 患者：やることがたくさんですね。でも頑張ります。
44. 医師：質問があれば、いつでも訊いてください。
45. 患者：ありがとうございます。頑張ってみます。
46. 医師：次回は1週間後に様子を見せてください。
47. 患者：わかりました。
48. 医師：日常生活に支障が出ないように無理しないでくださいね。
49. 患者：その点、気をつけます。
50. 医師：では、次回お待ちしております。めまいが良くなるといいですね。"
