"1. 医師：こんにちは、今日はどのような症状で来院されましたか？  
2. 患者：こんにちは、まぶたが下がって全身がだるいです。  
3. 医師：その症状はいつから始まりましたか？  
4. 患者：1か月前からです。  
5. 医師：最初はどのような感じでしたか？  
6. 患者：初めは両方のまぶたが疲れた感じがして、少し視力が落ちました。  
7. 医師：疲れ感はどれくらい強かったですか？  
8. 患者：夕方になると特に感じるようになりました。  
9. 医師：午後からの症状が目立つんですね。  
10. 患者：はい、だんだんまぶたが閉じてしまうことが増えました。  
11. 医師：日常生活にどのような影響がありますか？  
12. 患者：仕事にも支障が出て、集中できなくなっています。  
13. 医師：全身のだるさはずっと続いていますか？  
14. 患者：はい、ずっとだるいです。  
15. 医師：最近のストレスや疲れについてはどうですか？  
16. 患者：最近、仕事が忙しくて疲れがたまっています。  
17. 医師：それが影響しているかもしれませんね。  
18. 患者：はい、それもあると思います。  
19. 医師：他に何か気になる症状はありますか？  
20. 患者：特にありませんが、何か心配です。  
21. 医師：まぶたが下がることに関して、家族の方も心配されていますか？  
22. 患者家族：はい、彼が疲れているのを見ていて心配です。  
23. 医師：疲れやすさは家事にも影響してますか？  
24. 患者家族：そうですね、以前ほど元気がありません。  
25. 医師：まぶたの下がり具合は、どのくらいひどいですか？  
26. 患者：右側が特に下がっています。  
27. 医師：それを見て、他の人の反応はいかがですか？  
28. 患者：友人も、最近疲れていると言っています。  
29. 医師：まぶたの状態、例えば他の症状はありますか？  
30. 患者：今はそれだけで、他は特にないです。  
31. 医師：血液検査や画像診断を受けたことはありますか？  
32. 患者：まだ受けたことがありません。  
33. 医師：もし行ったら、どういったことが心配ですか？  
34. 患者：ただの疲れだと思っていますが、心配です。  
35. 医師：そうですよね。身体を見せてもらえますか？  
36. 患者：もちろんです。  
37. 医師：両眼瞼下垂が確認できました。  
38. 患者：そうですか、どのような病気ですか？  
39. 医師：他に特に異常は見られませんね。  
40. 患者：そうなんですか？安心しました。  
41. 医師：抗アセチルコリン抗体の検査を考えていますがどう思いますか？  
42. 患者：その検査はどんなことがわかるんですか？  
43. 医師：筋肉の疲れ具合や、神経系の異常に関係しています。  
44. 患者：それなら受けてみたいです。  
45. 医師：では検査を手配しますね。  
46. 患者：よろしくお願いします。  
47. 医師：日常生活でのストレスを減らすために何か工夫をしていますか？  
48. 患者：そうですね、リラックスする時間を作ろうとはしています。  
49. 医師：それはいい考えですね。  
50. 医師：検査の結果、重症筋無力症と診断されました。"
