"1. 医師：こんにちは。今日はどのような症状でお困りですか？  
2. 患者：こんにちは。手の痛みがひどくて、それで診てもらいに来ました。  
3. 医師：手の痛みはいつ頃から始まりましたか？  
4. 患者：6か月くらい前からです。初めはそこまでひどくなかったんですけど。  
5. 医師：どの部分が痛むか教えてもらえますか？  
6. 患者：指の関節です。特にこの辺りの関節が腫れて痛みます。  
7. 医師：痛みは両側の手で感じていますか？それとも片側だけですか？  
8. 患者：両側です。右も左も同じように感じます。  
9. 医師：痛みの強さはどうですか？常に痛い感じですか、それとも動かしたときだけ？  
10. 患者：朝起きたときが一番ひどいです。しばらくすると少し楽になりますが、動かすとまた痛くなります。  
11. 医師：朝起きたときの痛みやこわばりはどのくらい続きますか？  
12. 患者：1時間以上は続きますね。手を握るのもつらい感じです。  
13. 医師：6か月前からと言いましたが、それ以来痛みは徐々に悪化していますか？  
14. 患者：そうですね、どんどん悪くなってきて、最近では膝も痛みます。  
15. 医師：膝は両側とも痛みますか？腫れている感じもしますか？  
16. 患者：はい、両膝とも腫れていて、触ると熱っぽい気がします。  
17. 医師：市販薬など試しましたか？何か効果がありましたか？  
18. 患者：市販の痛み止めを飲んでみたんですが、ほとんど効きませんでした。  
19. 医師：それ以外に身体の他の部分、例えば肩や腰に似た痛みはありますか？  
20. 患者：肩や腰は特に痛くありません。  
21. 医師：発熱したり、全体的にだるさを感じることはありませんか？  
22. 患者：熱はないですけど、最近少し疲れやすく感じますね。  
23. 医師：指や手に皮疹や赤い発疹が出ていることはありませんか？  
24. 患者：いいえ、皮膚には特に変わったところはありません。  
25. 医師：他に気になる症状はありますか？例えば目が乾いたり、口が渇くとか？  
26. 患者：そういうのはないです。  
27. 医師：普段のお仕事や生活には支障が出ていますか？  
28. 患者：仕事でパソコンを使うので、それが結構つらいです。家事も大変で。  
29. 医師：そうでしたか。それはお困りでしたね。ここで少し雑談ですが、趣味とかお好きなことは何かありますか？  
30. 患者：料理が好きなんですけど、最近包丁持つのも大変で、あまりできていません。  
31. 医師：手の痛みが料理にも影響を与えているんですね。他に気持ちや体調の変化は感じていますか？  
32. 患者：特に精神的には変わったことはないですが、やっぱり痛みがあるのでイライラすることはあります。  
33. 医師：今までに大きな病気やケガ、手術を受けたことはありますか？  
34. 患者：いいえ、特にありません。  
35. 医師：ご家族に同じような症状がある方はいらっしゃいますか？  
36. 患者：母が関節炎で悩んでいますが、詳しい病名までは分かりません。  
37. 医師：そうですか。手指の関節ですが、見せていただけますか？  
38. 患者：はい、どうぞ。  
39. 医師：両側の中手指節関節と近位指節間関節に腫れがありますね。少し押してみます。痛いですか？  
40. 患者：はい、そこを押されると痛みます。  
41. 医師：膝も同じように腫れているそうですが、少し診察させていただきますね。  
42. 患者：お願いします。  
43. 医師：膝関節にも腫れと熱感がありますが、皮疹や紅斑は見られません。筋力には特に問題がなさそうですね。  
44. 患者：そうですね、そこまで筋力が弱い感じはありません。  
45. 医師：血液検査やレントゲンの結果も拝見しましたが、この所見で診断がほぼ確定です。  
46. 患者：そうなんですか。何の病気なんでしょうか？  
47. 医師：関節リウマチという病気です。関節の炎症や痛み、腫れを引き起こす自己免疫疾患です。  
48. 患者：自己免疫ですか。どんな病気かあまりよく分からないんですが…。  
49. 医師：少しずつ治療を進めていけば、痛みや症状を改善することができますので、ご安心ください。  
50. 患者：分かりました。どうすればいいか教えてください。"
