"1. 医師：今日はどのような症状でお困りですか？  
2. 患者：6か月ぐらい前から、胃がむかむかして、げっぷがたくさん出るんです。特に食後がひどいです。  
3. 医師：それは辛いですね。他に何か気になる症状はありますか？  
4. 患者：時々ですが、お腹の真ん中が鈍く痛むこともあります。ただ、ずっとじゃなくてたまにです。  
5. 医師：夜間にその痛みが強くなることはありますか？  
6. 患者：いいえ、夜間は大丈夫です。日中に時々感じる程度です。  
7. 医師：最近、体重が減ったりすることはありませんか？  
8. 患者：いいえ、体重は特に変わってないです。  
9. 医師：便の色が黒っぽいとか、血が混じったりすることはないですか？  
10. 患者：それはないですね。普通です。  
11. 医師：熱が出たり、だるい感じが続いたりはしていますか？  
12. 患者：熱はないですし、特にだるい感じもありません。  
13. 医師：これまでにお腹や胃の病気にかかったことはありますか？  
14. 患者：特にないですね。ただ、胃もたれしやすい方かもしれないです。  
15. 医師：ご家族の中で胃の病気や糖尿病、高血圧の方はいらっしゃいますか？  
16. 患者：父が糖尿病です。それ以外は特に聞いたことないです。  
17. 医師：普段、食事はどのようなものが多いですか？  
18. 患者：脂っこいものが好きで、外食も多いです。  
19. 医師：飲み物やアルコールの習慣はどうですか？  
20. 患者：お酒は週に3日くらい飲みます。コーヒーは毎日2、3杯飲みますね。  
21. 医師：ストレスを感じることは多いですか？  
22. 患者：仕事が忙しくて、ストレスは結構あると思います。  
23. 医師：睡眠は取れていますか？  
24. 患者：寝る時間は短めですが、ぐっすり眠れる方です。  
25. 医師：最近、食欲が落ちるとかありませんか？  
26. 患者：いや、食欲は普通にあります。  
27. 医師：胃のむかつきやげっぷは、特にどんなタイミングで起こりますか？  
28. 患者：やっぱり食べた後が一番ひどいです。  
29. 医師：どれくらい経つとむかつきが和らぎますか？  
30. 患者：1時間くらいで少しマシにはなります。  
31. 医師：以前に病院で胃カメラや血液検査などを受けたことはありますか？  
32. 患者：胃カメラは受けたことがなくて、血液検査は会社の健康診断でやってるくらいです。  
33. 医師：健康診断で何か指摘を受けたことはありますか？  
34. 患者：去年、血糖値が少し高いって言われました。  
35. 医師：ほかに、胸やけや酸っぱいものが込み上げてくる感じはありますか？  
36. 患者：それはあんまり感じないです。  
37. 医師：最近、食後に胃が重く感じることが増えてきましたか？  
38. 患者：そうですね。重い感じはたまにあります。  
39. 医師：お腹が腫れている感じや張り感はあるように感じますか？  
40. 患者：そういった感じは特にないです。  
41. 医師：1日の中で症状が最もつらい時間帯はありますか？  
42. 患者：お昼ご飯や夜ご飯を食べた後が一番つらいです。  
43. 医師：症状が出始めたきっかけに何か心当たりはありますか？  
44. 患者：いや、特に何か大きなきっかけはないと思います。  
45. 医師：最近、運動の量が減ったりしていますか？  
46. 患者：あまり運動はしない方ですね。仕事で座りっぱなしです。  
47. 医師：その症状に対して何か薬を飲んでみたりはしましたか？  
48. 患者：市販の胃薬を飲んでみたんですが、少しは良くなるけど完全には治らないです。  
49. 医師：痛みやむかつきが特にひどくなるような食べ物や飲み物はありますか？  
50. 患者：油っこいものを食べた後は、特にひどくなる気がします。  
51. 医師：今のお話や検査の結果から、機能性ディスペプシアという診断です。この状態を改善するために、胃を守る薬や胃の動きを助ける薬を使用していきましょう。"
