"1. 医師：こんにちは、岩田さん。今日はどのような症状でいらっしゃいましたか？
2. 患者：右側の胸が急に痛くなって、息苦しいんです。
3. 医師：それはいつ頃から始まりましたか？
4. 患者：2時間くらい前からです。
5. 医師：何か特別なきっかけや活動はありましたか？
6. 患者：特に何もしてなかったです。
7. 医師：なるほど。他に持病やアレルギーはありますか？
8. 患者：何もないです。
9. 医師：喫煙の習慣はありますか？
10. 患者：いえ、タバコは吸いません。
11. 医師：最近、特別なストレスや生活の変化はありましたか？
12. 患者：特に変わったことはなかったですね。
13. 医師：右側の胸痛はどんな感じですか？刺すような痛みですか？
14. 患者：はい、鋭い痛みですね。
15. 医師：息切れはどれくらいの頻度で感じますか？
16. 患者：ずっと息苦しい感じです。
17. 医師：息切れや痛みが増悪したり軽減したりすることはありますか？
18. 患者：特に変わらないです。
19. 医師：胸の痛みや息切れ以外に何か体調の変化はありますか？
20. 患者：特にはないです。
21. 医師：心臓がドキドキする感じはありませんか？
22. 患者：そうですね、少し早く感じるかもしれないです。
23. 医師：胸痛や呼吸困難が始まる前に、何か他に症状がありましたか？
24. 患者：いいえ、突然でした。
25. 医師：日頃から運動はどれくらいされていますか？
26. 患者：たまにランニングぐらいです。
27. 医師：最近、何か重い物を持ち上げたりすることはありましたか？
28. 患者：特に思い当たることはないです。
29. 医師：今まで同じような症状を経験したことはありますか？
30. 患者：初めてです。
31. 医師：家族で同じような症状や病歴がある方はいらっしゃいますか？
32. 患者：聞いたことはないですね。
33. 医師：呼吸困難の程度は良くなっていますか？
34. 患者：少し楽にはなりましたが、まだあります。
35. 医師：胸部の断続的な音や音の変化を感じることはありますか？
36. 患者：いいえ、それはないです。
37. 医師：最近、風邪などの感染症にかかりましたか？
38. 患者：風邪ひいた記憶はないです。
39. 医師：お仕事はどんなことをされていますか？
40. 患者：オフィスでデスクワークです。
41. 医師：日常生活で特に支障が出ることはありますか？
42. 患者：今日はちょっと動くと辛いぐらいです。
43. 医師：体重の変動は最近ありましたか？
44. 患者：特に変わってないと思います。
45. 医師：さて、診察してみましょう。呼吸音を確認して、右側の音が減ってますね。
46. 患者：そうなんですか。
47. 医師：右の胸を叩くと、鼓っぽい音がします。
48. 患者：どんな意味があるんですか？
49. 医師：念のため、胸のX線を撮りましょう。
50. 患者：わかりました。"
