"1. 医師：こんにちは、お子さんの具合が悪いと伺いましたが、どうされましたか？  
2. 患者家族：5日ほど前から熱が出て、その後咳や鼻水も出るようになりました。  
3. 医師：発熱はどのくらいの高さですか？  
4. 患者家族：38.5度くらいが続いていて、解熱しません。  
5. 医師：咳の状態はどのような感じですか？痰が絡む感じですか？  
6. 患者家族：痰はあまりなく、乾いた咳っぽい感じです。  
7. 医師：鼻水は透明ですか、それとも色がついていますか？  
8. 患者家族：透明です。  
9. 医師：では、発疹が出るタイミングはいつでしたか？  
10. 患者家族：4日目に体のお腹のあたりに赤い発疹が出始めて、次の日には手や足にも広がりました。  
11. 医師：その発疹はかゆいですか？またどんな形や色をしていますか？  
12. 患者家族：子供はかゆいとは言っていませんが、赤い小さな点のようなものが混ざっています。  
13. 医師：発疹以外に何か変わったことはありましたか？  
14. 患者家族：目が赤くなり、少し腫れているようでした。  
15. 医師：目の充血はいつ頃からですか？  
16. 患者家族：たぶん3日目くらいからです。  
17. 医師：目に痛みや目やにはありますか？  
18. 患者家族：目を痛がることはありませんが、目やには少しあります。  
19. 医師：倦怠感が強いようですが、日常の行動に支障は出ていますか？  
20. 患者家族：はい、普段よりも元気がなく横になってる時間が多いです。  
21. 医師：咳や発疹が悪化する兆候がありますか？  
22. 患者家族：咳は一進一退ですが、発疹は日に日に増えている気がします。  
23. 医師：ほかにどこか痛みがあったり、症状が増えたりしていますか？  
24. 患者家族：特に痛いとは言いませんが、いつもより食欲がありません。  
25. 医師：今、食事や水分補給はどうしていますか？  
26. 患者家族：食べる量が少ないので、できるだけ水分を摂らせるようにしています。  
27. 医師：過去に似たような症状があったことはありますか？  
28. 患者家族：いえ、こんなにひどいのは初めてです。  
29. 医師：ワクチン歴について教えていただけますか？麻疹の予防接種は受けていますか？  
30. 患者家族：1歳の時に受けたと思いますが、最近は受けていません。  
31. 医師：お住まいの地域で、最近似たような症状の流行はありましたか？  
32. 患者家族：特に聞いていませんが、幼稚園では風邪が流行っているようです。  
33. 医師：では、お子さんを少し診察してみましょう。特に口の中や発疹の状態を見せていただけますか？  
34. 患者家族：はい、お願いします。  
35. 医師：口腔内に確認できた斑点についてですが、以前から見られていましたか？  
36. 患者家族：いいえ、今日初めて気づきました。  
37. 医師：発疹ですが、触ると盛り上がりや固さを感じますか？  
38. 患者家族：少し盛り上がっているような感じがします。  
39. 医師：他の家族に同様の症状が出ている方はいませんか？  
40. 患者家族：いいえ、特に他の家族にはありません。  
41. 医師：発熱が続いている可能性が高いので、感染症をいくつか疑っています。  
42. 患者家族：どのような病気が考えられますか？  
43. 医師：麻疹（はしか）や風疹、さらに他のウイルス性発疹性疾患などを念頭に置いています。  
44. 患者家族：麻疹の可能性って高いのでしょうか？  
45. 医師：診察と状況から麻疹が一番疑わしいですが、確定するために検査が必要です。  
46. 患者家族：その検査には時間がかかりますか？  
47. 医師：抗体検査とウイルスの検出を行いますが、結果が出るのに少し時間がかかります。  
48. 患者家族：そうですか、何が原因なのか早く知りたいです。  
49. 医師：結果が出ましたところ、麻疹ウイルスに対する抗体とウイルスの検出が陽性でした。  
50. 医師：この症状は麻疹に間違いありません。"
