"1. 医師：こんにちは、今日はどんな症状で来られましたか？  
2. 患者家族：熱が高くて、咳も出てます。それに目が赤くて痛いって訴えるんです。  
3. 医師：そうなんですね。熱はいつ頃から出始めましたか？  
4. 患者家族：5日くらい前からです。最初は38度くらいだったんですが、どんどん上がって今は39度台です。  
5. 医師：咳はいつから出てきましたか？  
6. 患者家族：2日前からです。乾いたような咳で、夜になると特にひどい感じがします。  
7. 医師：鼻水はどうですか？それも同じくらいからですか？  
8. 患者家族：はい、鼻水も2日前くらいから出始めました。  
9. 医師：目の赤みや痛みはいつごろ感じ始めましたか？  
10. 患者家族：昨日からなんです。強い光を嫌がって目が痛いって言ってます。  
11. 医師：食欲や水分の摂取状況はどうですか？  
12. 患者家族：食欲はかなり減っていて、水分もあまり飲みたがりません。  
13. 医師：予防接種の記録を確認したいのですが、麻疹のワクチンは接種されていましたか？  
14. 患者家族：いえ、まだ接種していませんでした。  
15. 医師：これまでに大きな病気をされたことはありますか？  
16. 患者家族：特にありません。これまで健康そのものでした。  
17. 医師：今熱があって、咳と鼻水、目の赤みがあるということですね。他に気づいたことはありませんか？  
18. 患者家族：今朝、耳の後ろあたりや首に小さな赤い発疹が出ているのに気づきました。  
19. 医師：発疹はかゆがっていますか？またどんどん広がっている感じですか？  
20. 患者家族：かゆみはないようですが、今は体にも広がってきているみたいです。  
21. 医師：お口の中を見せてもらってもいいですか？  
22. 患者家族：はい、どうぞ。  
23. 医師：口の中に小さい白っぽい斑点が見られますね。咽頭も少し赤いですね。  
24. 医師：胸や背中の音も聞かせていただきますね。  
25. 患者家族：はい、お願いします。  
26. 医師：少し粗い呼吸音が両側でありますが、それ以外には特に問題はなさそうです。  
27. 医師：お子さん、もしかして最近どこか人混みの多いところに行かれましたか？  
28. 患者家族：学校の行事や公園くらいですけど、特に思い当たるふしはありません。  
29. 医師：同じような症状のお子さんと接触したということはありましたか？  
30. 患者家族：特にはないと思います。  
31. 医師：これまでアレルギーや何か薬に対する反応を起こしたことはありますか？  
32. 患者家族：ありません。  
33. 医師：今回の発熱や皮疹が出始めてから、どこか痛がったり、不機嫌になることはありますか？  
34. 患者家族：熱のせいか少し機嫌が悪いですが、特に痛そうにはしていません。  
35. 医師：目の症状についてですが、目やにや視力の問題を訴えていますか？  
36. 患者家族：たまに目やにはありますが、視力の話はまだしていませんね。  
37. 医師：夜間の咳がひどいとのことですが、呼吸が苦しそうに見えることはありますか？  
38. 患者家族：少し息づかいが荒いかなと思うときはありますが、特にひどい感じではないです。  
39. 医師：最近、何か新しい薬や食べ物を与えたり、環境が変わったことはありませんか？  
40. 患者家族：特に思い当たることはありません。  
41. 医師：では、今日の症状や発疹についていくつか血液検査をしたいと思います。  
42. 患者家族：わかりました、よろしくお願いします。  
43. 医師：検査結果ですが、炎症反応が少し高めで、リンパ球が多い状態です。  
44. 患者家族：それはどういうことなんですか？  
45. 医師：ウイルス感染を示唆する所見ですが、さらなる確認が必要です。追加で麻疹の検査も行います。  
46. 医師：また、症状から風疹や薬疹も考えられますので、それらについても可能性を確認します。  
47. 患者家族：風疹や薬疹ではないとしたら、何が考えられますか？  
48. 医師：麻疹が強く疑われますが、検査で確定させたいと思います。  
49. 医師：最終的に麻疹ウイルスの検査が陽性でした。この結果から麻疹で間違いないと思われます。  
50. 患者家族：麻疹なんですね…。"
