"1. 医師：こんにちは、相田さん。今日はどのような症状でお困りですか？
2. 患者：右下腹部の痛みと吐き気で来ました。
3. 医師：それはいつから始まりましたか？
4. 患者：2日前からです。
5. 医師：痛みの場所や強さはどう変化しましたか？
6. 患者：最初はおへその周りが鈍く痛かったのですが、だんだん右下腹部が強く痛むようになりました。
7. 医師：吐き気はずっと続いていますか？
8. 患者：はい、ずっと吐き気がありますが、吐いてはいません。
9. 医師：最近、何か特別なことをされたりはしましたか？
10. 患者：特に思い当たることはありません。
11. 医師：今まで健康上の問題や手術を受けたことはありますか？
12. 患者：いいえ、特にありませんでした。
13. 医師：発熱について教えていただけますか？
14. 患者：微熱があるようで、37.8℃くらいです。
15. 医師：右下腹部を触ったときに強い痛みがありますか？
16. 患者：はい、触ると痛みます。
17. 医師：動くのがつらいと感じますか？
18. 患者：動くと痛みが増すので、あまり動きたくないです。
19. 医師：痛みが一番強いのはどのあたりですか？
20. 患者：今は右下腹部が一番痛いです。
21. 医師：最近、便通に変化はありましたか？
22. 患者：特に変化はありません。
23. 医師：食欲はどうですか？
24. 患者：痛みと吐き気のせいで、あまり食べられません。
25. 医師：膀胱炎のような症状はありませんか？
26. 患者：尿に関しては特に問題ないです。
27. 医師：ストレスが体調に影響していると感じますか？
28. 患者：特にストレスは感じていません。
29. 医師：何か薬を試しましたか？
30. 患者：市販の鎮痛剤を試しましたが、あまり効果がなかったです。
31. 医師：あなたの痛みにはBlumberg徴候が確認されました。
32. 患者：それはどういうことですか？
33. 医師：押した手を離すときに痛みがあることです。
34. 患者：そうなんですね。それで痛かったんですね。
35. 医師：Rovsing徴候も陽性でした。
36. 患者：それは何ですか？
37. 医師：左下腹を押したときに右下腹部が痛くなることです。
38. 患者：そうでしたか…。
39. 医師：検査結果で白血球が増えていたことがあります。
40. 患者：それは普通じゃないんですか？
41. 医師：炎症や感染を示唆しています。
42. 患者：そっか、やっぱり何かあるんですね。
43. 医師：腹部の超音波で虫垂の腫れが見られました。
44. 患者：虫垂…って何か悪いんですか？
45. 医師：虫垂炎が疑われる状態です。
46. 患者：虫垂炎ってどんな病気ですか？
47. 医師：虫垂に炎症が起きる状態です。
48. 患者：じゃあ、どうすればいいんですか？
49. 医師：緊急手術が必要になります。
50. 患者：そうなんですね…。手術をお願いします。"
