"1. 医師：こんにちは、今日はどのような症状でお越しですか？
2. 患者：こんにちは、最近まぶたが下がることと、全身のだるさを感じているんです。
3. 医師：いつからその症状が始まりましたか？
4. 患者：大体3か月前くらいからです。
5. 医師：まぶたが下がるのは、一日のうちで特定の時間に起こりますか？
6. 患者：特に夕方になると症状が出てくる感じです。
7. 医師：そのまぶたの状態は、たとえば朝と夕方で違いがありますか？
8. 患者：はい、朝は比較的良いんですが、午後から夕方にかけて悪化します。
9. 医師：全身のだるさについて詳しく教えてください。
10. 患者：日中ずっとだるさがありますが、午後になるとひどくなるんです。
11. 医師：体の他の部分に特別な痛みや症状はありますか？
12. 患者：特に痛みはないですけど、運動すると疲れやすいです。
13. 医師：運動すると具体的にどんな感じになりますか？
14. 患者：すぐに疲れて、筋肉が重くなるという感じです。
15. 医師：今日はご家族の方も一緒ですか？
16. 患者家族：はい、妻が一緒です。
17. 医師：奥様、普段はどんな様子ですか？
18. 患者家族：最近、夕方になると目が半分閉じたように見えることが多いです。
19. 医師：ありがとうございます。他に気になる症状はありますか？
20. 患者家族：運動した後は特に疲れたように見えて、時々話す力も弱くなっているようです。
21. 医師：これまでに受けた治療や薬はありますか？
22. 患者：特にないです。高血圧の薬を飲んでるだけです。
23. 医師：わかりました。高血圧の薬は何を飲んでいますか？
24. 患者：確か、降圧薬の一種です。
25. 医師：視力や視野に問題は感じますか？
26. 患者：視界が狭くなる感じがします。
27. 医師：特に目の動きに違和感を感じたりしますか？
28. 患者：動きが少しぎこちない気がします。
29. 医師：その他に気になることはありますか？
30. 患者：今のところないです。
31. 医師：他に体調不良を感じるところはありますか？
32. 患者：特にないです。
33. 医師：お仕事はされていますか？
34. 患者：会社員です。仕事に支障はきたしていませんが、疲れやすいのが気になります。
35. 医師：疲れやすいためにやめた活動はありますか？
36. 患者：運動が週末だけになってしまいました。
37. 医師：そうなんですね。具体的にはどんな運動をしていましたか？
38. 患者：ジョギングとかプールですね。
39. 医師：疲れやすさを感じ始めたときも運動してましたか？
40. 患者：はい、その時も続けていましたがだんだん厳しくなりました。
41. 医師：以前、健康診断で異常を指摘されたことはありますか？
42. 患者：特にありません。高血圧だけです。
43. 医師：高血圧の既往は何年くらいですか？
44. 患者：5年くらいになります。
45. 医師：定期的に通っていらっしゃいますか？
46. 患者：はい、薬もきちんと飲んでいます。
47. 医師：体重の減少や増加は感じますか？
48. 患者：変わりないです。
49. 医師：自己免疫疾患の歴史や家族歴は何かありますか？
50. 患者：いいえ、特に聞いたことはありません。
51. 医師：なるほど、ありがとうございます。いくつかの検査を元に診断が必要ですが、現段階では多少の推測にはなりますが、重症筋無力症という病気かもしれません。"
