"1. 医師：こんにちは。今日はどんな症状がありますか？  
2. 患者：1週間くらい前から気分が悪くて、食べ物もほとんど口にできなくなって、だるさがすごいんです。  
3. 医師：それはつらいですね。だるさはずっと続いていますか？  
4. 患者：はい、もう何ヶ月も前から疲れやすくて、特にここ最近はひどくなった気がします。  
5. 医師：他に何か変わったことはありますか？  
6. 患者：家族に言われたのですが、どうも肌が黒っぽくなったみたいです。自分でもちょっと色が濃くなってる気がします。  
7. 医師：肌の色が変わったのはいつ頃からですか？  
8. 患者：1ヶ月くらい前からかなと思います。特に手とか肘のあたりが気になりますね。  
9. 医師：朝起きるのがつらかったりしますか？  
10. 患者：はい。朝起きるとふらふらして立ちくらみがすごいんです。  
11. 医師：それは最近始まった症状ですか？  
12. 患者：立ちくらみは1ヶ月くらい前からひどくなりましたね。  
13. 医師：食欲の変化はどうですか？  
14. 患者：全然食べられなくて、最近4キロぐらい体重が減りました。  
15. 医師：最近、吐き気を感じることはありますか？  
16. 患者：はい、ここ1週間くらいはずっと吐き気があります。  
17. 医師：吐き気で実際に吐いてしまったことはありますか？  
18. 患者：いえ、そこまではないですけど、ずっと気持ち悪い感じが続いています。  
19. 医師：過去には何か大きな病気をしたことがありますか？  
20. 患者：10年前に甲状腺の病気で治療を始めました。それ以外は特にありません。  
21. 医師：甲状腺の治療は今も続けていますか？  
22. 患者：はい、薬を飲んでいます。  
23. 医師：薬の名前はわかりますか？  
24. 患者：Levothyroxineという薬です。  
25. 医師：これまではその薬で問題なく調子が良かったですか？  
26. 患者：そうですね、これまでは特に問題ないと思っていました。  
27. 医師：最近、何かストレスの多い出来事や生活の変化はありましたか？  
28. 患者：特に大きな変化はないですね。  
29. 医師：睡眠はとれていますか？  
30. 患者：だるくて寝ていることは多いけど、夜は途中で目が覚めてしまいます。  
31. 医師：家族の方は何か他に気付いたことを言っていますか？  
32. 患者：肌の色のことくらいです。それで受診した方がいいと言われました。  
33. 医師：むくみや足の腫れなどはありますか？  
34. 患者：いえ、特にそういうのはないです。  
35. 医師：普段はお酒を飲んだりタバコを吸ったりしますか？  
36. 患者：お酒はたまに飲むくらいで、タバコは吸いません。  
37. 医師：お腹の痛みや下痢などはありますか？  
38. 患者：お腹の痛みはないです。でも、ちょっとお腹がゆるい時があります。  
39. 医師：最近、海外に行ったり、新しい食べ物を試したりしましたか？  
40. 患者：いいえ、そういうことはしていません。  
41. 医師：運動は普段どのくらいしていますか？  
42. 患者：最近は疲れやすくて、ほとんど動いていません。  
43. 医師：皮膚にかゆみや痛みはありますか？  
44. 患者：特にそういうのはないですね。  
45. 医師：食欲が落ちる前、どんな食事をしていましたか？  
46. 患者：普通の食事です。特に変わったものは食べていないと思います。  
47. 医師：熱っぽさを感じることはありますか？  
48. 患者：熱はないと思います。  
49. 医師：尿の量が減ったり、色が濃くなったと感じたことはありますか？  
50. 患者：最近、少し尿の量が減った気がします。  
51. 医師：いくつかの検査結果から判断して、これは副腎の働きが低下する病気、Addison病というものの可能性が高いです。  "
