"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？  
2. 患者：最近、歩くときにふらつくことが多くて、それに目もかすむ感じがします。  
3. 医師：ふらつきはいつ頃から始まりましたか？  
4. 患者：2週間くらい前からでしょうか。それがだんだんひどくなってきたんです。  
5. 医師：他に何か体調の変化はありませんでしたか？  
6. 患者：最初は食欲がなかったり、疲れやすいと感じたりしていました。  
7. 医師：具体的にはどんなふうに疲れやすさを感じましたか？  
8. 患者：体が重い感じがして、少し動くだけでも横になりたくなるような感じです。  
9. 医師：目のかすみについて詳しく教えていただけますか？  
10. 患者：文字が読みづらかったり、人の顔が二重に見えたりすることがあります。  
11. 医師：二重に見える頻度は多いですか？  
12. 患者：最近はほとんど毎日あるような気がします。  
13. 医師：これまでに同じ症状が出たことはありますか？  
14. 患者：いいえ、こんなふうになったのは初めてです。  
15. 医師：ふらつきや目のかすみがひどいとき、他に困ることはありますか？  
16. 患者：何だか物忘れが増えた気もします。昨日話したことも思い出せないことがあるんです。  
17. 医師：その物忘れについて家族の方は何かおっしゃっていますか？  
18. 患者家族：そうですね。最近、同じことを何度も聞いてくるので少し気になっていました。  
19. 医師：他にも困ったことがあれば教えていただけますか？  
20. 患者家族：先日は急に話しがまとまらなくなって、返事が遅い感じでしたね。  
21. 医師：ふらつきのせいで転んだり、けがをしたりしたことはありますか？  
22. 患者：転びそうになることは何回かありましたが、けがはしていません。  
23. 医師：食欲不振ですが、一日どのくらい食事を摂れていますか？  
24. 患者：朝ごはんは食べなくなりました。昼と夜は少しだけですね。  
25. 医師：その前は普通に食事を摂っておられましたか？  
26. 患者：はい、それ以前は普通に食べていました。  
27. 医師：体重の変化はありますか？  
28. 患者：1週間くらいで2キロくらい減ったかもしれません。  
29. 医師：アルコールを飲む習慣はありますか？  
30. 患者：いいえ、普段全く飲みません。  
31. 医師：仕事や生活でストレスを感じることはありましたか？  
32. 患者：特に強いストレスを感じたことはないと思います。  
33. 医師：ふらつき以外に力が抜ける感じや筋肉の痛みはありますか？  
34. 患者：力が抜ける感じはありますが、痛みは特にないです。  
35. 医師：水分は十分に摂れていますか？喉や皮膚の乾燥を感じることはありますか？  
36. 患者：あまり水分を取る習慣がなくて、口が渇くことはよくあります。  
37. 医師：それ以外に他の症状や気になる点はありませんか？  
38. 患者：あまり汗をかかなくなった気がします。  
39. 医師：これまでに病院で同じ症状で診てもらったことはありますか？  
40. 患者：ありません。いつも健康だと思っていました。  
41. 医師：具体的にこの症状が始まった原因に心当たりはありますか？  
42. 患者：原因は全然わかりません。  
43. 医師：ふらつきや視力の問題があるとき、頭痛は感じますか？  
44. 患者：いいえ、頭痛は特に感じません。  
45. 医師：病歴として、これまでの手術や重い病気はありませんか？  
46. 患者：特にありません。  
47. 医師：最近、風邪を引いたり、体調を崩した記憶はありますか？  
48. 患者：少し寒気を感じたくらいで、あまり風邪っぽさはなかったです。  
49. 医師：MRI検査の結果から、内側視床付近に異常が見つかりました。これはビタミンB1の不足によるものだと推測されます。  
50. 患者：ビタミンB1の不足ですか？それが原因で全部の症状が出ていたんですか？  
51. 医師：そうです。診断としては、Wernicke脳症といいます。過去の栄養状態が関係しているようです。"
