"1. 医師：こんにちは、今日はどんな症状でいらっしゃいましたか？  
2. 患者：こんにちは。1か月くらい前から頭が痛くなることが多くなって、それにめまいや視力が少し悪くなる感じもあります。  
3. 医師：どのあたりの頭痛ですか？また、どんな時に症状が出ますか？  
4. 患者：前のほう、額のあたりですね。長い時間座っていると出てきやすい気がします。  
5. 医師：特に症状が悪化する時間帯はありますか？  
6. 患者：夕方とか、仕事が終わったあとが辛いです。横になると少し良くなります。  
7. 医師：めまいについてもう少し詳しく教えてください。どのようなタイプのめまいですか？  
8. 患者：ふわふわするような感じで、ぐるぐる回る感じではないです。  
9. 医師：視力が悪くなったと感じるのは、片目ですか、それとも両目ですか？  
10. 患者：両目ですが、右目の方が少しぼやけやすいです。  
11. 医師：視力低下はずっと続いていますか？それとも時々ですか？  
12. 患者：ときどきですね。でも疲れたときによく感じます。  
13. 医師：発症する前に何か特別な出来事や身体に負担がかかることはありましたか？  
14. 患者：そういえば1週間くらい前に車の追突事故に遭いました。軽く頭をぶつけたくらいで、そのときはなんともなかったです。  
15. 医師：その後も特に症状が出ることはありませんでしたか？  
16. 患者：はい、そのときは痛みもなく、特に気になりませんでした。  
17. 医師：既往歴について教えていただけますか？これまでに大きな病気や手術をしたことはありますか？  
18. 患者：子どものころに髄膜炎にかかったことがあります。それ以外に特に大きな病気はないです。  
19. 医師：髄膜炎の後遺症やそれに関連する症状はありますか？  
20. 患者：いえ、特に何もないです。すっかり治ったと思っています。  
21. 医師：普段、服用しているお薬やアレルギーはありますか？  
22. 患者：薬は飲んでいないですし、特にアレルギーもありません。  
23. 医師：お仕事中の体勢やご趣味などで長時間座り続けることが多いですか？  
24. 患者：事務の仕事をしているので、ほとんど座りっぱなしです。趣味でもパソコンを使って座ることが多いです。  
25. 医師：座っているとき以外で頭痛が出ることはありましたか？  
26. 患者：座っているときが一番気になります。他のときはそれほど頻繁ではないです。  
27. 医師：長時間立っているときや歩いているときの具合はどうですか？  
28. 患者：立ち続けると何となく頭が重くなる感じはあります。歩くと気が紛れることもありますけど。  
29. 医師：頭痛の痛みの程度はどれくらいでしょう？また、ズキズキするような痛みですか、それとも鈍い痛みですか？  
30. 患者：強烈ではないですが、鈍い痛みが続く感じです。特に夕方には結構ひどくなります。  
31. 医師：これまでに頭痛を和らげるために何か試したことはありますか？  
32. 患者：休憩したり、水を飲んだりはしました。でもあまり変わらないです。  
33. 医師：視力の検査をしたことはありますか？  
34. 患者：はい、1か月ほど前に眼鏡を作ろうと思って検査したんですけど、特に大きな異常はないと言われました。  
35. 医師：最近、疲れやすさや倦怠感を感じることはありますか？  
36. 患者：はい、時々体がだるくて、エネルギーがないように感じます。  
37. 医師：頭痛以外に吐き気や耳鳴り、手足のしびれはありますか？  
38. 患者：特にそういうことはないですが、めまいが強いと気分が悪くなることはあります。  
39. 医師：睡眠の状態について教えていただけますか？  
40. 患者：普通に眠れていると思いますが、疲れが取れない感じはします。  
41. 医師：最近になって環境が変わったり、ストレスを感じることはありましたか？  
42. 患者：特に大きな変化はないですけど、仕事が忙しくなってきたくらいですかね。  
43. 医師：症状は日によって変動がありますか？たとえば体調が良い日と悪い日がはっきりしているとか。  
44. 患者：悪い日は夕方から特にひどくなりますが、朝は比較的良いことが多いです。  
45. 医師：過去に同じような症状を経験したことはありますか？  
46. 患者：いえ、今回が初めてです。  
47. 医師：ご家族に同じような症状を持つ方はいらっしゃいますか？  
48. 患者：いませんね。家族に頭痛をよく訴える人もいないです。  
49. 医師：わかりました、症状や経過を考えると、脳脊髄液減少症の可能性があるように思われます。  
50. 患者：そうなんですか…。脳脊髄液減少症とはどういう病気なんですか？  "
