"1. 医師：今日はどのような症状でお困りですか？  
2. 患者：急にお腹がすく感じがして、動悸がすることがよくあるんです。それで手も震えるんです。  
3. 医師：その症状はいつ頃から始まりましたか？  
4. 患者：1年くらい前からですけど、最近ひどくなっています。  
5. 医師：頻度はどのくらいですか？例えば、週に何回くらいありますか？  
6. 患者：1週間に2〜3回くらいはあります。  
7. 医師：その症状はどのような時に起こりやすいですか？  
8. 患者：お腹が空いたときが多いです。でも最近は食事の後にも起きることがあります。  
9. 医師：食べると症状は軽くなりますか？  
10. 患者：甘いものを食べるとすぐに良くなります。  
11. 医師：最近、仕事中に意識を失ったことがあると伺いましたが、そのことを詳しく教えてください。  
12. 患者：はい、2回ありました。どちらも何か作業に集中していたときで、その前に手が震えてきて意識が薄れました。  
13. 医師：どのくらいの時間意識を失っていたか分かりますか？  
14. 患者：同僚が言うには、数分くらいだったそうです。  
15. 医師：意識を失う前に他に体調の変化を感じましたか？  
16. 患者：特にないですが、空腹感と動悸はいつもと同じでした。  
17. 医師：意識を失った後の経過はどうでしたか？  
18. 患者：すぐに目が覚めて、甘い飲み物を摂ったら普通に戻りました。  
19. 医師：日常生活では、そのせいで困ったことがありますか？  
20. 患者：はい、仕事中に意識を失うのは本当に困りますし、危ないと同僚にも言われています。  
21. 医師：ご家族やご友人も何か変化に気づかれていますか？  
22. 患者：夫が最近顔色悪くないかって言ってます。それと、食事の間隔が空くとすぐイライラするとも言われます。  
23. 医師：体重に変化はありましたか？  
24. 患者：特に変わっていないと思います。  
25. 医師：食欲自体はどうですか、増えましたか？減りましたか？  
26. 患者：増えたような気もします。すぐお腹がすくので。  
27. 医師：朝昼夜の食事では、バランスよく食べていますか、それとも偏っていますか？  
28. 患者：普通に食べてますが、おやつ代わりに甘いものはよく食べます。  
29. 医師：症状が出やすい時間帯はありますか？  
30. 患者：午後とか夕方が多いですけど、朝でもお腹が空くと出ることがあります。  
31. 医師：動悸についてですが、それはバクバクする感じですか？規則的でしょうか？  
32. 患者：はい、バクバクしている感じで規則正しいです。  
33. 医師：汗をかいたり、顔が赤くなったりすることは？  
34. 患者：汗はよくかきますね。でも顔色がどうかは分からないです。  
35. 医師：手指が震えることがあるとおっしゃいましたが、震えが起こるタイミングはどうですか？  
36. 患者：空腹のときがほとんどです。  
37. 医師：他に最近気になるような症状や違和感はありますか？  
38. 患者：特にはないですが、こういうことが続くと不安です。  
39. 医師：健康診断や血液検査を最近受けたことはありますか？  
40. 患者：去年受けましたが、その時は特に何も言われませんでした。  
41. 医師：お薬やサプリメント、健康食品は何か摂っていますか？  
42. 患者：特には摂っていません。  
43. 医師：ご家族で糖尿病や心臓の病気のご経験がある方はいらっしゃいますか？  
44. 患者：父が糖尿病です。  
45. 医師：こうした意識を失う症状や動悸、ご家族には話されていますか？  
46. 患者：はい、夫には心配してもらってます。ただ原因が分からず困っています。  
47. 医師：ありがとうございます。これまでの話や必要な検査を踏まえて、膵臓に関連する病気の可能性を考えています。  
48. 患者：そうなんですね…。具体的にはどういった病気ですか？  
49. 医師：血糖値が低い場合、それに伴ってインスリンというホルモンの異常が関係していることを疑います。詳しい検査結果からお伝えできることがあります。  
50. 医師：診察や検査を総合して考えますと、膵臓にできる腫瘍の一つであるインスリノーマが原因と診断します。  
"
