"1. 医師：こんにちは、田中さん。今日はどんな症状でお困りですか？
2. 患者：胸が痛くて、発熱もあって、体がすごくだるいんです。
3. 医師：それはいつ頃から始まりましたか？
4. 患者：数日前からです。徐々に悪くなってきてます。
5. 医師：胸の痛みはどんな感じですか？刺すような感じですか？
6. 患者：ずきずきした痛みで、特に横になるとひどくなります。
7. 医師：発熱は何度ぐらいありますか？
8. 患者：昨日測ったら38度を超えてました。
9. 医師：なるほど。他に息苦しさや咳のようなものはありますか？
10. 患者：息苦しさは少しあるけど、咳は特にありません。
11. 医師：最近、風邪をひいたとか感染症の心当たりはありますか？
12. 患者：いいえ、特に思い当たることはありません。
13. 医師：普段の生活にストレスはありませんでしたか？
14. 患者：特に新しいストレスはないと思います。
15. 医師：この痛みや発熱で仕事はどうされていますか？
16. 患者：休ませてもらってます。寝ないとつらいので。
17. 医師：夜は眠れていますか？
18. 患者：胸の痛みで寝つきが悪くて…。
19. 医師：特に胸のどのあたりが一番痛みますか？
20. 患者：真ん中あたりがどーんと重い感じです。
21. 医師：心臓病や高血圧、糖尿病などの病歴はありますか？
22. 患者：いいえ、特に今まで大きな病気はしていません。
23. 医師：他の家族の方に心臓の病気の方はいませんか？
24. 患者：父が高血圧で薬を飲んでます。
25. 医師：最近何か薬やサプリメントは飲んでいませんか？
26. 患者：特にないです。
27. 医師：普段の運動や食事などで変わったことはありますか？
28. 患者：急に変えたことはないです。
29. 医師：横になると痛みが強くなるとのことですが、横にならなければ痛みは和らぎますか？
30. 患者：はい、座っているときの方が少し楽です。
31. 医師：心臓の音を聞いた結果、心膜摩擦音という音がしました。
32. 患者：それってどういうことですか？
33. 医師：心臓の周りの膜に炎症があるときに聞こえる音です。
34. 医師：さらに詳しい検査をしてST上昇とPR間隔短縮がありました。
35. 患者：それは何か問題なんですか？
36. 医師：心臓に負荷がかかっているサインです。
37. 医師：心エコーで心嚢液が少し溜まっているのが見つかりました。
38. 患者：それはどういうことですか？
39. 医師：心膜に炎症があるということを示しています。
40. 医師：血の検査でも炎症を示すCRPが上がっていました。
41. 患者：わたし、どうなってしまうのか不安です。
42. 医師：心配しないでください。これは急性心外膜炎といって薬で治療することができる病気です。
43. 患者：薬で治るんですか？
44. 医師：はい、まずは炎症を抑えるお薬を開始します。
45. 患者：お願いします、本当に痛くてつらいので助かります。
46. 医師：イブプロフェンを飲んでいただきます。それとコルヒチンも併用します。
47. 患者：それでよくなりますか？
48. 医師：症状は徐々に改善するはずですので、安心してください。
49. 医師：少し様子を見ながら薬を続けて、1週間後にまた状態を確認しましょう。
50. 患者：わかりました。よろしくお願いします。"
