"1. 医師：こんにちは、本日はどうされましたか？  
2. 患者：最近、息切れがひどくて、階段を上るのもつらいんです。  
3. 医師：いつ頃から息切れを感じるようになりましたか？  
4. 患者：2年くらい前から少し感じていました。でも最近は日常生活でも苦しい時があります。  
5. 医師：他にも症状はありますか？  
6. 患者：咳と痰もあります。特に朝にひどいです。  
7. 医師：咳と痰はどれくらい続いていますか？  
8. 患者：ここ数年は常にある感じです。  
9. 医師：痰の色や量に変化はありますか？  
10. 患者：いつも白っぽい色で、量もそんなに多くはないです。  
11. 医師：発熱や胸の痛みはありますか？  
12. 患者：いいえ、それはないです。  
13. 医師：呼吸音が変だと感じたことはありますか？  
14. 患者：ときどきゼーゼー音みたいなのがします。  
15. 医師：なるほど。過去に肺や気管支の病気を指摘されたことはありますか？  
16. 患者：特にないと思います。  
17. 医師：これまでに大きな病気や入院はされましたか？  
18. 患者：いいえ、特にありません。ただ、脂質異常症があって薬を飲んでいます。  
19. 医師：そうですか。タバコを吸われていますか？  
20. 患者：はい、吸っています。  
21. 医師：どのくらいの期間、どのくらいの本数を吸っていますか？  
22. 患者：40年間1日20本くらいです。  
23. 医師：最近、タバコの量や頻度に変化はありましたか？  
24. 患者：特に変わらないです。  
25. 医師：ご家族に同じような症状の方はいらっしゃいますか？  
26. 患者：いいえ、特にいません。  
27. 医師：これまでに禁煙を試みたことはありますか？  
28. 患者：一度試しましたが、続きませんでした。  
29. 医師：わかりました。運動した後や急に寒い場所に出たときに症状が悪化することはありますか？  
30. 患者：はい、歩きすぎたり、冷たい空気を吸うとすごく苦しくなります。  
31. 医師：息が苦しいと感じるとき、どのような姿勢でいると少し楽になりますか？  
32. 患者：少し前かがみになると楽になる気がします。  
33. 医師：睡眠中に呼吸が苦しくなることはありますか？  
34. 患者：寝るときは特にはないです。  
35. 医師：では、最近体重の変化はありましたか？  
36. 患者：少し体重が落ちた気がします。  
37. 医師：体力が以前より落ちたと感じますか？  
38. 患者：はい、少し歩くだけでも疲れます。  
39. 医師：咳をするときに血が混じることはありますか？  
40. 患者：いいえ、血は見たことないです。  
41. 医師：呼吸音を少し確認させてください。深呼吸をお願いします。  
42. 患者：わかりました。（深呼吸する）  
43. 医師：呼吸音が少し弱いですね。息を吐くときに音が鳴っているようです。  
44. 医師：胸のレントゲンと、肺の機能を調べる簡単な検査を行いましょう。  
45. 患者：わかりました。お願いします。  
46. （検査の結果説明後）  
47. 医師：検査の結果、慢性閉塞性肺疾患、いわゆるCOPDの状態であることがわかりました。  
48. 患者：COPDですか…。それは治るのでしょうか？  
49. 医師：病気自体は完全に治すことは難しいのですが、禁煙や治療で症状を改善し、進行を遅らせることができます。  
50. 患者：そうですか…。禁煙、がんばってみます。  "
