"1. 医師：こんにちは、今日はどのような症状でいらっしゃいましたか？  
2. 患者：2か月前からお腹の調子が悪くて、下痢と便秘が交互に繰り返されるんです。  
3. 医師：なるほど、それは辛いですね。他に気になる症状はありますか？  
4. 患者：なんだか食欲も落ちてきて、痩せてしまいました。2か月で5キロくらい減りました。  
5. 医師：2か月で5キロ減少はかなりですね。それ以外に、例えば体の見た目や感じ方で異変を感じる部分はありますか？  
6. 患者：全身の皮膚がすごく乾燥してきて、ここ1か月くらいは顔がむくんでいる感じが強いです。  
7. 医師：顔のむくみですね。他にもむくみはありますか？例えば足など。  
8. 患者：はい、足も結構むくんでいて、靴がきつい感じがします。  
9. 医師：お腹の痛みや張り感などはありますか？  
10. 患者：痛みはなく、たまにゴロゴロ音が聞こえるくらいです。  
11. 医師：便の色や匂いに変わりはありますか？血が混じっているなどはありませんか？  
12. 患者：特に血は混じっていないと思いますが、どちらかというと下痢のときは水っぽいんです。  
13. 医師：便秘のときはどんな感じですか？  
14. 患者：便が硬くて、すごく出しにくいです。少ししか出なくて残った感じがします。  
15. 医師：では、むくみや乾燥以外に皮膚にかゆみや色がおかしいところはありませんか？  
16. 患者：特にかゆみはないです。でも乾燥がひどくて、カサカサしてしまいます。  
17. 医師：最近、熱っぽい感じやだるさ、疲れやすさは感じていますか？  
18. 患者：熱はないですが、ずっと体がだるい感じはします。  
19. 医師：食生活について教えていただけますか？最近の食事内容や量はどうですか？  
20. 患者：あまり食べられていません。特に脂っこいものは気持ち悪くて避けています。  
21. 医師：過去にこういった症状を経験したことはありますか？  
22. 患者：いえ、こんな症状は初めてです。  
23. 医師：以前に特に大きな病気や手術をしたことはありますか？  
24. 患者：特にありません。健康診断でも問題はなかったです。  
25. 医師：普段のお仕事や生活のストレスはどうでしょうか？  
26. 患者：多少のストレスはありますが、それほど大きなものはないと思います。  
27. 医師：生理不順など、女性特有の症状で最近変わったことはありませんか？  
28. 患者：生理も特に遅れたり早まったりはしていません。普通です。  
29. 医師：お酒やタバコの習慣はありますか？  
30. 患者：タバコは吸いません。お酒もたまにしか飲みません。  
31. 医師：今まで海外旅行や特定の病気に接触した経験はありますか？  
32. 患者：海外旅行はしていませんし、そんな経験もないです。  
33. 医師：お腹の症状について、食事をすると悪化する感じがしますか？  
34. 患者：食べた後にお腹のゴロゴロ音が強くなることがある気がします。  
35. 医師：特定の食べ物で症状が悪化することはありますか？  
36. 患者：特にこれが原因、というのはわからないんです。  
37. 医師：家族の中で同じような症状を持っている方はいませんか？  
38. 患者：家族に似た症状の人はいないです。  
39. 医師：ちなみに尿の色や出方に変化は感じますか？  
40. 患者：特に変化はないです。  
41. 医師：運動不足や疲労感を感じたりしますか？  
42. 患者：疲れやすいだけで、体を動かす量自体は普段と変わらないです。  
43. 医師：皮膚乾燥に関して、普段から保湿ケアなどをしていますか？  
44. 患者：特別何かしているわけではないですが、乾燥が気になるので最近はクリームを塗っています。  
45. 医師：過去にアレルギーや特定の薬への反応の経験はありませんか？  
46. 患者：アレルギーもありませんし、薬で問題が出たこともないです。  
47. 医師：睡眠状態はどうですか？ぐっすり眠れていますか？  
48. 患者：最近は夜中に目が覚めることが多いです。疲れてるはずなのに浅い眠りな気がします。  
49. 医師：ありがとうございます。これまでのお話や身体所見、検査所見を総合的に考えると、蛋白漏出性胃腸症という病気が疑われます。  
50. 患者：蛋白漏出性胃腸症ですか？初めて聞きました。どういう病気ですか？  "
