"1. 医師：本日はどうされましたか？  
2. 患者：昨日の朝、突然めまいがして起き上がれませんでした。  
3. 医師：めまいはどのような感じでしたか？回っているような感覚ですか？  
4. 患者：そうです、すごく強い回転するような感じでした。  
5. 医師：そのめまいはどのくらい続きましたか？  
6. 患者：数分くらいだったと思いますが、頭を動かすとまたすぐめまいが始まります。  
7. 医師：吐き気や嘔吐はありましたか？  
8. 患者：吐き気もあって、少し吐いてしまいました。  
9. 医師：これまでに同じような症状を経験したことはありますか？  
10. 患者：いいえ、こんな経験は初めてです。  
11. 医師：その後も症状は続いていますか？  
12. 患者：休むと少し良くなるんですが、頭を動かしたりするとまためまいがします。  
13. 医師：耳鳴りや耳が聞こえづらいと感じたことはありますか？  
14. 患者：いいえ、耳は特に問題ないです。  
15. 医師：失神や意識を失うようなことはありましたか？  
16. 患者：それはないです。  
17. 医師：症状が出たときに、何か特別なきっかけはありましたか？  
18. 患者：いいえ、起き上がろうとしただけなのに突然めまいがしました。  
19. 医師：症状は特定の体勢や動作で悪化したりしますか？  
20. 患者：頭を右に向けたりすると特に強くなります。  
21. 医師：頭を左に向けたときはどうですか？  
22. 患者：それほど強くはならないです。  
23. 医師：体がふらついたり、平衡感覚が乱れる感じはありましたか？  
24. 患者：はい、歩くのもまっすぐ進めない感じがありました。  
25. 医師：何かきっかけとなる病気や、お薬を使っていますか？  
26. 患者：高血圧があって、降圧薬を飲んでいます。  
27. 医師：ご家族に同じような症状がある方はいらっしゃいますか？  
28. 患者：家族にはそういう人はいません。  
29. 医師：日常生活でストレスや変わったことはありましたか？  
30. 患者：特に忙しくもなく、いつも通りの生活をしていました。  
31. 医師：夜はしっかり眠れていますか？  
32. 患者：はい、問題なく眠れています。  
33. 医師：最近、耳や頭部をケガしたことはありますか？  
34. 患者：いいえ、そういったことはありません。  
35. 医師：これまでに頭痛や手足のしびれなどはありませんでしたか？  
36. 患者：いいえ、そういう症状はありませんでした。  
37. 医師：話を聞く限りでは、耳や脳の中に何か問題がある可能性もちょっと探ってみましょう。  
38. 患者：はい、お願いします。  
39. 医師：座った状態で目を動かしてもらうことになりますが、少しお時間いただけますか？  
40. 患者：大丈夫です、お願いします。  
41. 医師：右側に頭を少し回してもらいます。何か感じることはありますか？  
42. 患者：まためまいがします、今回もぐるぐる回る感じです。  
43. 医師：分かりました。もう少し詳しく診察しましょう。少し頭を動かしたときにめまいが始まることを確認しました。  
44. 医師：昨日の朝以降、症状が軽くなったり、悪化したりしていますか？  
45. 患者：基本的には変わらないですが、休むとちょっと楽になります。  
46. 医師：症状に波があるかもしれませんね。通常、このような場合には手術や重大な外科疾患は関係しないことが多いですが、引き続き注意して調べます。  
47. 患者：そうなんですね、それを聞いて少し安心しました。  
48. 医師：話や診察、検査結果などを総合的に考慮すると、良性発作性頭位めまい症（BPPV）という病気が考えられます。  
49. 患者：良性、ということはすごく心配する必要はないですか？  
50. 医師：重篤な病気ではありませんが、頭を動かすと症状が出るので注意が必要です。"
