"1. 医師：こんにちは。今日はどうされましたか？  
2. 患者：5日くらい前からのどが痛いんです。それに頭痛と胸のあたりが気持ち悪くて…。  
3. 医師：のどの痛みが一番ひどいのですか？  
4. 患者：そうですね。でも頭痛も結構つらいです。  
5. 医師：のどの痛みはどんな感じで痛みますか？飲み込むときですか、それとも常に痛いですか？  
6. 患者：飲み込むと特に痛くて、でも何もしなくても少し鈍い痛みがあります。  
7. 医師：のどを見た時に赤くなっていたり腫れていたりする感じはありますか？鏡で見ることとかありましたか？  
8. 患者：はい、赤くなっているようには見えました。腫れているかはよく分かりません。  
9. 医師：頭痛ですが、どこが痛む感じですか？前頭部ですか、それとも後頭部ですか？  
10. 患者：前のほうですね、額のところがズキズキします。  
11. 医師：胸の気持ち悪さですが、それは苦しい感じですか？または痛みや圧迫感でしょうか？  
12. 患者：どちらかというと重い感じで、なんだか息苦しいような気もします。  
13. 医師：息苦しさはどのくらいありますか？普通に生活していてつらいですか？  
14. 患者：少し気になりますけど、歩いたりするのにはそこまでつらくないです。  
15. 医師：咳は出ますか？  
16. 患者：はい、少し乾いた感じの咳が出ます。  
17. 医師：咳が出るのはどのくらいの頻度ですか？夜間に特に多いですか？  
18. 患者：昼間より夜のほうが咳が多い気がします。  
19. 医師：これまで市販薬などを飲まれましたか？  
20. 患者：いえ、何も飲んでいません。  
21. 医師：発熱もあるようですが、体温はどうですか？高い熱が続いていますか？  
22. 患者：昨日測ったら38.3℃でした。発症した翌日あたりからずっと熱があります。  
23. 医師：汗をかいたり、寒気がしたりという感じはありますか？  
24. 患者：最初は寒気がしましたが、今はそんなにありません。  
25. 医師：最近どこか人が多い場所に行ったり、旅行をしましたか？新しい体験などありますか？  
26. 患者：いいえ、ここ最近は特に何も特別なことはしていません。  
27. 医師：食欲はありますか？食べられていますか？  
28. 患者：食欲は少し落ちています。食べるとのどが痛いので…。  
29. 医師：先ほどの咳ですが、痰が絡むことはありますか？  
30. 患者：ほとんどありません。乾いた咳だけです。  
31. 医師：他に息苦しさが強くなるような場面はありませんでしたか？  
32. 患者：特にありません。座っていると平気ですが、たまに動くと胸が重くなる気がします。  
33. 医師：気になる症状が出る前に、睡眠は取れていましたか？  
34. 患者：最初は睡眠不足だったかもしれません。咳と痛みで寝づらいです。  
35. 医師：周囲に風邪や似たような症状の方はいませんか？  
36. 患者：職場で風邪気味の人はいましたが、詳しくは聞いていないです。  
37. 医師：喉を見たところ、少し赤く腫れていますが扁桃腺がひどく腫れることはないですね。食べ物がつかえる感じはありますか？  
38. 患者：そういうことは特にないです。  
39. 医師：胸部の不快感に強い痛みが加わることはありましたか？  
40. 患者：そこまで強い痛みはなかったです。ただ重い感じが続いているんです。  
41. 医師：頭痛はうつむいたり、特定の姿勢で痛みが悪化することはありますか？  
42. 患者：いえ、特にそういうことはないです。  
43. 医師：頭痛に加えて吐き気を感じることはありましたか？  
44. 患者：吐き気はありません。  
45. 医師：最近は新しいペットや植物に触れたりする機会はありましたか？  
46. 患者：いいえ、特にありませんでした。  
47. 医師：これまでに喘息やアレルギーの症状があったことはありますか？  
48. 患者：いいえ、そういうのはありません。  
49. 医師：血液検査や画像診断でいくつか確認をしましたが、これはマイコプラズマ肺炎が疑われる結果です。診断としては、マイコプラズマ肺炎です。  
50. 患者：マイコプラズマ肺炎ですか…。わかりました、治療をお願いします。  "
