"1. 医師：こんにちは、今日はどんなことでお困りですか？
2. 患者：最近、仕事に対するやる気がなかなか出なくて、困っています。
3. 医師：そうですか。それはいつ頃から始まりましたか？
4. 患者：約3ヶ月前からですね。
5. 医師：他に体調で気になることはありますか？
6. 患者：そうですね、不眠もあります。
7. 医師：具体的にどんな感じですか？
8. 患者：寝付きが悪くて、夜中に何度も目が覚めてしまいます。
9. 医師：睡眠にはどれくらいの影響がありますか？
10. 患者：あまり熟睡できず、朝も起きるのがとても辛いです。
11. 医師：食欲はどうですか？
12. 患者：それもあまりなくて、体重が5キロ減りました。
13. 医師：食欲不振はここ3ヶ月の間に起きたのでしょうか？
14. 患者：はい、ちょうどその頃からです。
15. 医師：体重減少の原因として、他に思い当たることはありますか？
16. 患者：特には思い当たらないです。
17. 医師：集中力の低下や決断が困難ですか？
18. 患者：そうですね、最近は本当に注意散漫で…。
19. 医師：仕事も集中するのが難しいですか？
20. 患者：全然集中できなくて、仕事が遅れてしまいます。
21. 医師：何か今まで興味を持っていたことへの関心はどうですか？
22. 患者：以前は楽しめたことが、今はあまり楽しく感じないです。
23. 医師：アネドニアですね。何か思い当たるきっかけがありましたか？
24. 患者：特に何もないんですけど、徐々にこんな感じに…。
25. 医師：過去に同じような状態になったことはありますか？
26. 患者：過去にはこんなことはなかったですね。
27. 医師：最近何か大きなストレスがありましたか？
28. 患者：仕事の締め切りとか自己評価の低さでしょうか。
29. 医師：ご家族の方は何かおっしゃっていますか？
30. 患者：家族も心配してくれているけど、あまり話していないんです。
31. 医師：普段の日常生活にはどんな影響がありますか？
32. 患者：朝が特に辛くて、出勤するのが大変です。
33. 医師：週にどのくらいのお休みを取ることがありますか？
34. 患者：最近は週に1度、出勤できない日があります。
35. 医師：他に何か健康面での問題はありますか？
36. 患者：健康診断では特に問題はなかったです。
37. 医師：以前に抗うつ薬などを使用したことはありますか？
38. 患者：いいえ、初めてです。
39. 医師：最近健康診断を受けた際の結果は？
40. 患者：特に異常はありませんでした。
41. 医師：精神科の治療を受けた経験は？
42. 患者：ありません。
43. 医師：どういった治療を期待されていますか？
44. 患者：やる気と眠りの改善ができればと。
45. 医師：まず薬物療法と認知行動療法を試してみましょう。
46. 患者：それで改善するでしょうか？
47. 医師：多くの場合効果はあります、ご安心ください。
48. 患者：ぜひ試したいです。
49. 医師：では、寛解を目指ししばらく治療を続けましょう。
50. 医師：この状況からMajor Depressive Disorderの可能性が高いです。
結論として、患者の症状と検査結果を基に医師はうつ病と診断しました。"
