"1. 医師：今日は症状について詳しくお話を伺いたいと思います。どんなことでお困りですか？  
2. 患者：飲み込むときに力が必要で、つるっと飲み込めない感じがするんです。  
3. 医師：それはいつ頃から気づきましたか？  
4. 患者：2か月くらい前からです。最初は夕方に全体的に重だるい感じがしていました。  
5. 医師：その症状は今も夕方になると強く感じますか？  
6. 患者：はい、特に夕方から夜にかけて悪化している気がします。朝は少し楽です。  
7. 医師：最近何か特に疲労を感じるようなことは多いですか？  
8. 患者：これといって特別なことはしていないのですが、力が入りにくくて疲れも感じます。  
9. 医師：食事中のむせ以外に、食べ物を噛むのが難しいと感じることはありますか？  
10. 患者：あります。硬いものは特に難しいですし、すぐに疲れてしまいます。  
11. 医師：例えば、階段を上るときや日常の動作でも何か困ることはありますか？  
12. 患者：はい、階段では足が上がらない感じがして、買い物中も重いものを持つのが辛いです。  
13. 医師：腕や脚の力が入りにくい以外に、痛みや痺れはありますか？  
14. 患者：いいえ、痛みは全くありませんし、痺れも特に感じません。  
15. 医師：上を向いたり、下を向いたりする運動や、自分の頭を支えるのが難しいことはありますか？  
16. 患者：上を向くのはきついですが、そこまでひどいわけではありません。  
17. 医師：目について何か症状はありますか？例えば、見えにくい感じや、まぶたが重い感じなどは？  
18. 患者：はい、まぶたが下がっている感じがして、特に疲れているときはひどいです。  
19. 医師：それは片目、両目どちらでも同じですか？  
20. 患者：両方です。両方の目がだんだん下がってくる感じです。  
21. 医師：読書やスマートフォンを見るのが疲れるような感じもありますか？  
22. 患者：あります。長く見ていると目が疲れて重くなります。  
23. 医師：話すことで疲れを感じることはありますか？  
24. 患者：はい、長く話していると声が出にくくなってきますね。  
25. 医師：呼吸に関して何か困っていることはありますか？例えば息苦しさなど。  
26. 患者：今は特に感じません。ただ階段を上ると息が切れやすいです。  
27. 医師：最近体重や食欲の変化はありますか？  
28. 患者：特にありません。ただし食べ物が飲み込みにくいので、食べる量が減ることはあります。  
29. 医師：普段の生活で症状が出ないように工夫していることはありますか？  
30. 患者：疲れた時にはできるだけ休むようにしていますが、それでも夕方は辛いです。  
31. 医師：仕事の影響はどうでしょうか？これらの症状で仕事がしにくいことはありますか？  
32. 患者：あります。パソコン作業をしていると夕方には手がだるくなって打つのが辛いです。  
33. 医師：家事や趣味では何か支障を感じていますか？  
34. 患者：料理をしていると手がだるくなるので、包丁を持つのがつらいです。  
35. 医師：何かこれまで体に異常があるとか、大きな病気をしたことはありますか？  
36. 患者：いいえ、これまで健康だったんですが…。  
37. 医師：ご家族や親戚で同じような症状を持っている方はいらっしゃいますか？  
38. 患者：いません。特別な病気をした家族もいません。  
39. 医師：最近、何か感染症を患ったり、新しい薬やサプリメントを始めたりしましたか？  
40. 患者：特に思い当たることはありません。風邪もひいていませんし、薬も飲んでいません。  
41. 医師：他に気になることや、他の症状でご自身で感じることはありますか？  
42. 患者：うーん、話す以外は特にありませんが、だんだん症状が強くなってきていて心配です。  
43. 医師：筋力低下の感じは最初と比べて強くなってきていますか？  
44. 患者：はい、初めは夕方だけでしたが、最近は昼間でも感じます。  
45. 医師：お体を診察させていただきましたが、まぶたが少し下がっているように見えました。これも夕方に悪化する感じはありますか？  
46. 患者：そうですね。夕方は明らかにひどく感じます。  
47. 医師：他の症状と合わせて考えると、神経や筋肉に関わる問題がある可能性が考えられます。  
48. 患者：そうなんですね…それが原因でしょうか？  
49. 医師：これまでの症状や検査から、重症筋無力症という病気の可能性が強いと考えられます。  
50. 患者：重症筋無力症…ですか。それはどういう病気なのでしょうか？  
診断を患者に伝えたため、ここで会話は終了します。"
