"1. 医師：今日はどのような具合でお越しになりましたか？
2. 患者：最近、すごく疲れやすくて、体重が減っています。
3. 医師：それはいつから感じていましたか？
4. 患者：だいたい3ヶ月前からです。
5. 医師：徐々に悪化しているとのことですが、他にどんな症状がありますか？
6. 患者：食事を摂ると腹痛があって、特に下痢もあります。
7. 医師：腹痛と下痢はどのくらいの頻度で起こりますか？
8. 患者：毎日、何回もあります。
9. 医師：腹痛はどの部分に感じますか？
10. 患者：下腹部に痛みがあります。
11. 医師：食事はどのようなものを食べていますか？
12. 患者：普通の食事ですが、特に油っこいものは避けています。
13. 医師：良い判断ですね。以前に何かこのような症状が出たことはありますか？
14. 患者：それは初めてです。
15. 医師：発熱を感じることもあるとおっしゃいましたが、どのくらいの頻度で発熱しますか？
16. 患者：時々、1週間に1回くらいです。
17. 医師：家族に同じような症状を抱えている人はいますか？
18. 患者家族：いいえ、特にそんな人はいません。
19. 医師：最近のストレスや生活の変化はありましたか？
20. 患者：仕事が忙しくなって、少しストレスを感じています。
21. 医師：それが体調に影響を与えているのかもしれませんね。
22. 患者：そうかもしれません。
23. 医師：体重はどのくらい減少しましたか？
24. 患者：3ヶ月で約5キロくらい減りました。
25. 医師：それはかなりの減少ですね。他に変わったことは感じますか？
26. 患者：最近、眠れない日もあります。
27. 医師：睡眠不足も体調に影響を与えますね。
28. 患者家族：彼女は食事をほとんど取らないこともありました。
29. 医師：それは心配ですね。食欲はありますか？
30. 患者：あまりありません、特に腹痛のせいです。
31. 医師：それでは、日常生活に支障をきたしていますね。
32. 患者：はい、しんどくて仕事もうまくいきません。
33. 医師：他に倦怠感のために活動を制限していることはありますか？
34. 患者：友達と遊ぶことも減っちゃいました。
35. 医師：それは残念ですね。今の生活は辛い状態ですね。
36. 患者：本当にそう思います。
37. 医師：血液検査を行ったら、白血球数やCRPが高かったのですが、何か心当たりはありますか？
38. 患者：いいえ、特に思い当たることはありません。
39. 医師：糞便検査でも血液が見つかりました。どのように感じますか？
40. 患者：それを聞いて不安になりました。
41. 医師：不安になるのは当然です。無理しないでくださいね。
42. 患者：はい、分かりました。
43. 医師：これから内視鏡検査を行いますが、そのことについてどう思われますか？
44. 患者：少し怖いですが、原因を知りたいです。
45. 医師：それが大切ですね。オープンに状況を見ていきましょう。
46. 患者：はい、よろしくお願いします。
47. 医師：結果が出たら、治療についてお話ししましょう。
48. 患者：それを待っています。
49. 医師：治療方法が見つかれば、少しでも楽になると良いですね。
50. 患者：ありがとうございます、期待しています。"
