"1. 医師：こんにちは。本日はどのような症状でお越しですか？  
2. 患者：こんにちは。3か月くらい前から腰が痛くて、最近右足もしびれるようになってきたんです。  
3. 医師：腰の痛みはどんな感じの痛みですか？ズキズキするような痛みですか？それとも鈍い感じですか？  
4. 患者：鈍い痛みですね。最初はそれほど強くなかったんですが、2週間前くらいからひどくなってきました。  
5. 医師：右足のしびれはどの辺りに感じますか？足の裏や太もも、足の甲など具体的に教えていただけますか？  
6. 患者：足の甲からつま先にかけてしびれる感じがあります。  
7. 医師：しびれ以外に、右足に痛みは感じますか？  
8. 患者：はい、右の太ももから足にかけてピリピリした痛みも時々あります。  
9. 医師：それはどんな時に痛みが強くなりますか？例えば歩いた後や座っている時など。  
10. 患者：歩いたり階段を上り下りする時に特に痛くなりますね。  
11. 医師：安静にしている時はどうですか？痛みやしびれは落ち着きますか？  
12. 患者：安静にしていると少し楽になりますが、完全には治りません。  
13. 医師：以前にも腰痛を感じたことはありますか？   
14. 患者：はい、何度かありました。でも市販の痛み止めを飲んだり、少し休むと良くなっていました。  
15. 医師：今回も市販薬を使ってみましたか？効果はありましたか？  
16. 患者：はい、使いましたが、今回はあまり効きませんでした。  
17. 医師：右足の力が入りにくいと感じることはありますか？  
18. 患者：はい、特に階段を昇る時に足に力が入らない感じがします。  
19. 医師：椅子から立ち上がる時や歩き出しにも同じような感覚がありますか？  
20. 患者：日常生活ではそこまで困ることはないですが、歩くのがだんだん辛くなってきました。  
21. 医師：腰を曲げたり背中を反らしたりした時の痛みはどうでしょうか？  
22. 患者：腰を曲げる時に特に痛いです。背中を反らすのはそこまで痛くないです。  
23. 医師：睡眠には問題ありませんか？夜間に痛みで目が覚めたりしますか？  
24. 患者：夜寝ている時には痛みはそんなに気になりません。  
25. 医師：便や尿に変化はありませんか？例えば尿が出にくいとか、失禁するとか。  
26. 患者：特に変わったことはないです。  
27. 医師：最近、何か重いものを持ったり、腰に負担がかかるようなことはありましたか？  
28. 患者：特に思い当たることはないですね。  
29. 医師：運動やスポーツは普段されていますか？  
30. 患者：いえ、あまり運動はしていません。  
31. 医師：職場や日常生活で長時間座ることは多いですか？  
32. 患者：はい、仕事で一日中座りっぱなしです。  
33. 医師：ご家族には同じような腰痛やしびれの症状を持つ方はいらっしゃいますか？  
34. 患者：いえ、家族にはそういう人はいません。  
35. 医師：最近、体重の大きな変化や疲労感は感じますか？  
36. 患者：特にありません。  
37. 医師：痛みやしびれが出る前に、何か病気やけがをされましたか？  
38. 患者：いいえ、特に健康でした。  
39. 医師：お食事や生活習慣についてはいかがでしょうか？  
40. 患者：特に変わったことはしていませんが、仕事が忙しくて運動不足だとは思います。  
41. 医師：では、これから身体の検査を行いたいと思います。少しお体を動かしていただきますが、よろしいですか？  
42. 患者：はい、お願いします。  
43. 医師：（身体所見を確認中）腰部に圧痛が見られますね。ここを押すと痛みますか？  
44. 患者：はい、痛いです。  
45. 医師：お足を上げてもらって、痛みが出たら教えてください。（SLRテスト）  
46. 患者：右足を上げると痛いです。  
47. 医師：右足の力が少し弱いですね。これも何か関係しているかもしれません。  
48. 患者：そうなんですね。  
49. 医師：検査結果を総合すると、L4/L5の椎間板ヘルニアという状態です。椎間板が飛び出して神経を圧迫しているのが原因です。  
50. 患者：そうですか…。どうしたら治りますか？  "
