"1. 医師：本日はどうされましたか？  
2. 患者：昨日の夕方からお腹の右上がひどく痛くて、それが背中の方にも広がっている感じなんです。  
3. 医師：背中にも痛みが広がっているんですね。痛みはどんな感じですか？鋭い痛みですか、それとも鈍い痛みですか？  
4. 患者：鋭くて、ズキズキするような痛みです。とても我慢できませんでした。  
5. 医師：痛みが始まった時、何か特別なことがありましたか？例えば食事や運動など。  
6. 患者：夕食で揚げ物とか脂っこいものを食べた後から始まりました。  
7. 医師：その後、何か症状はありましたか？  
8. 患者：吐き気がして、何度か吐いたんです。でも吐いた後も全然良くならなくて…。  
9. 医師：昨夜は眠れましたか？  
10. 患者：全然眠れませんでした。ずっと痛みが続いてて、本当に苦しかったです。  
11. 医師：今もその痛みは続いていますか？  
12. 患者：はい、少しマシになった気もしますが、まだ痛いです。  
13. 医師：以前に同じような痛みを経験したことはありますか？  
14. 患者：はい、何年か前に似たような痛みがあったとき、胆嚢炎と言われました。ただ、治療は特にせず薬だけでした。  
15. 医師：その胆嚢炎の後、何度かお腹の右上が痛くなることはありましたか？  
16. 患者：軽い痛みは何度かありましたが、こんなひどいのは初めてです。  
17. 医師：これまでに胆石や他の病気の診断を受けたことはありますか？  
18. 患者：検査で胆石があるとは言われたことがありますが、特に手術とかはしていません。  
19. 医師：お腹以外に他の症状、例えば発熱や寒気はありましたか？  
20. 患者：少し熱っぽい気がします。でも寒気はないですね。  
21. 医師：いつもと比べて目や皮膚が黄色っぽくなったと感じますか？  
22. 患者：いいえ、それは感じません。  
23. 医師：普段から体重が増えたり減ったりすることはありますか？  
24. 患者：最近は体重に変化はないです。  
25. 医師：定期的に服用している薬や、アレルギーはありますか？  
26. 患者：薬は特に飲んでいません。アレルギーもないと思います。  
27. 医師：お酒は普段飲まれますか？  
28. 患者：ほとんど飲まないです。  
29. 医師：お腹を少し触らせていただきますね。痛い場所を教えてください。  
30. 患者：右の上の方ですね。触るとすごく痛いです。  
31. 医師：では深呼吸をお願いします（診察して）。ここで息を止めるのがつらいですか？  
32. 患者：はい、すごくつらいです。  
33. 医師：分かりました。背中の痛みはまだ感じますか？  
34. 患者：はい、多少軽くなったようですがまだ感じます。  
35. 医師：では熱を測りますね。今、微熱があるようです。  
36. 患者：そうなんですね、でも全然気付きませんでした。  
37. 医師：もう少し詳しい検査をしたいと思います。血液検査と腹部のエコーを行いましょう。  
38. 患者：分かりました、お願いします。  
39. 医師：結果が出ましたが、胆嚢にいくつか結石が見つかっています。それが原因で炎症が起きている可能性がありますね。  
40. 患者：それが原因なんですか…。どうしたら良いんでしょう？  
41. 医師：幸い胆管は詰まっていないようですが、炎症が起きているので治療が必要です。微熱もありますので、抗生物質を使います。  
42. 患者：分かりました。痛みもすごくつらいので、何とかしてください。  
43. 医師：痛みのために鎮痛薬を点滴でお出しします。他に心配なことはありませんか？  
44. 患者：特にはないです。ただ脂っこいものってやっぱり食べちゃだめなんですよね？  
45. 医師：そうですね。脂っこい食事は避けた方が再発予防につながります。  
46. 患者：分かりました。気を付けます。  
47. 医師：胆嚢の状態がよくなれば、外科的な処置を選択肢として考えられますが、今は治療を続けて様子を見ましょう。  
48. 患者：手術は少し怖いけど必要なら考えます。  
49. 医師：では、しばらく絶食でお過ごしください。輸液で栄養と水分を補いますね。  
50. 患者：はい、ありがとうございます。とにかくこの痛みがなくなればと思います。  
診断：急性胆石発作（胆嚢炎なし）  "
