"1. 医師：こんにちは、本日はどのような症状がありますか？  
2. 患者：1週間ほど前から、寝返りを打ったときや立ち上がったときにめまいがします。  
3. 医師：めまいはどのような感じですか？回るような、ふらふらするような感じですか？  
4. 患者：床や部屋全体がぐるぐる回っているような感じがします。  
5. 医師：めまいはどれくらい続きますか？  
6. 患者：だいたい30秒くらいで収まる感じです。  
7. 医師：めまいが始まるきっかけや特定の動作はありますか？  
8. 患者：右側を向いたり、頭を突然動かすと起こりやすいです。  
9. 医師：吐き気や嘔吐はありますか？  
10. 患者：はい、めまいの後に少し吐き気がすることがあります。  
11. 医師：耳鳴りや聴力の低下はありますか？  
12. 患者：いいえ、耳の問題は特に感じません。  
13. 医師：そのほか、手足がしびれる感じや力が入りにくいことはありますか？  
14. 患者：いいえ、特にそういったことはありません。  
15. 医師：症状が始まったとき、何か特別なことがありましたか？たとえば大きなストレスとか、怪我など。  
16. 患者：特に何も変わったことはなかったと思います。  
17. 医師：立ち上がるときにふらついたり、転んだりすることはありますか？  
18. 患者：めまいが起こるときは一瞬ふらっとするけど、大きく転んだりはしていません。  
19. 医師：家の中での日常生活に支障はありますか？  
20. 患者：はい、起床時や家事をしているときにめまいが起こると困ります。  
21. 医師：他に何か気になることや症状はありますか？  
22. 患者：いいえ、それ以外は特に問題ないです。  
23. 医師：最近、運動不足や体調の変化、例えば体重の増減などはありますか？  
24. 患者：特に体調には変化がありません。運動はあまりしていませんけど。  
25. 医師：これまでにめまいを感じたことはありましたか？  
26. 患者：いいえ、こんなめまいは初めてです。  
27. 医師：めまいが始まるとき、頭を動かした位置を覚えていますか？  
28. 患者：朝、寝返りを打った瞬間に起こったのが最初です。  
29. 医師：めまい中にどちらかの耳が詰まった感じはありましたか？  
30. 患者：いいえ、耳には何も感じません。  
31. 医師：社会生活や特にお仕事に影響はありますか？  
32. 患者：少しあります。めまいが出ると動けなくなるので、集中力が削がれます。  
33. 医師：ストレスの多い環境で働いているのですか？  
34. 患者：最近ちょっと忙しいですね。でも大きなストレスというほどではありません。  
35. 医師：普段の睡眠状況や疲れ具合はどうですか？  
36. 患者：寝つきは悪くないけど、日中少しだるさを感じることはあります。  
37. 医師：何かめまいを悪化させるような食べ物や飲み物はありましたか？  
38. 患者：いいえ、特に感じたことはありません。  
39. 医師：周りの方から何か指摘を受けたことはありませんか？例えば行動が変だとか。  
40. 患者家族：いえ、普段通りです。ただ、頭を急に動かすとバランスを崩すみたいです。  
41. 医師：実際に今ここで、頭を動かして同じめまいを再現できるか試してみてもいいですか？  
42. 患者：はい、やってみます。  
43. 医師：では、仰向けに寝てください。次に右側を向いてみてください。めまいはどうですか？  
44. 患者：あ…またぐるぐる回ってる感じがします。  
45. 医師：少し待ってください…回転が収まるのを見ましょう。どうですか？  
46. 患者：もう収まってきましたけど、少し気持ち悪い感じですね。  
47. 医師：眼振が見られます。これは頭を動かしたとき特有の症状が一致しています。  
48. 医師：他に気になる器質的問題は見当たりませんでしたので、末梢性の問題と考えます。  
49. 医師：これは右後半規管型の良性発作性頭位性めまい症、いわゆるBPPVと思われます。  
50. 患者：そうなんですか…怖い病気じゃないでしょうか？  "
