"1. 医師：今日の症状について教えてください。  
2. 患者：3日前から頭を動かすと目が回る感じがします。  
3. 医師：特にいつがひどいですか？  
4. 患者：朝が特に強いですね。起き上がるときがつらいです。  
5. 医師：めまいはどのくらい続きますか？  
6. 患者：数秒から数分程度です。  
7. 医師：何か動作をすると軽くなりますか？  
8. 患者：動作を止めると少し楽になります。  
9. 医師：先週は体調はいかがでしたか？  
10. 患者：疲れていると感じることが多かったです。  
11. 医師：ストレスは感じていましたか？  
12. 患者：はい、ストレスが影響していると思っていました。  
13. 医師：最近の生活や仕事の状況はいかがですか？  
14. 患者：仕事が忙しくて、余裕がありませんでした。  
15. 医師：家族や友人のサポートはありましたか？  
16. 患者：あまり話す時間もなかったですね。  
17. 医師：頭痛など他の症状はありますか？  
18. 患者：頭痛は特にないです。  
19. 医師：目の前が暗くなることはありますか？  
20. 患者：それも特にないですね。  
21. 医師：身の回りで体調が悪い人はいますか？  
22. 患者：特にいないと思います。  
23. 医師：体に触れると痛む部分はありますか？  
24. 患者：痛いところは感じません。  
25. 医師：動くときに、ふらつくことはありますか？  
26. 患者：はい、ふらつくことが多いですね。  
27. 医師：どういう状況でめまいが起こりますか？  
28. 患者：寝起きや急に頭を動かしたときです。  
29. 医師：座っているときはどうですか？  
30. 患者：座っているときは大丈夫です。  
31. 医師：目の前で何か動くものはありますか？  
32. 患者：視界は特に問題ないです。  
33. 医師：過去に同じような症状があったことはありますか？  
34. 患者：いや、これが初めてです。  
35. 医師：お薬や治療を受けたことはありますか？  
36. 患者：何も受けていません。  
37. 医師：最近、運動はしていますか？  
38. 患者：あまり運動はしていません。  
39. 医師：どのような趣味を持っていますか？  
40. 患者：映画を見るのが好きです。  
41. 医師：最近、映画は見に行きましたか？  
42. 患者：最近は忙しくて行けていません。  
43. 医師：旅行には行きたいと思っていますか？  
44. 患者：そうですね、行きたいですが時間がありません。  
45. 医師：今後の生活で何を楽しみにしていますか？  
46. 患者：早く体調を戻して旅行に行きたいです。  
47. 医師：生活習慣の改善を考えていますか？  
48. 患者：はい、少し運動しようと思っています。  
49. 医師：それは良い考えですね。  
50. 患者：ありがとうございます。何の病気でしょうか？  
51. 医師：検査の結果、良性発作性頭位性眩暈症が疑われます。  
52. 患者：それはどういう病気ですか？  
53. 医師：頭の位置によってめまいが起きる状態です。  
54. 患者：そうなんですね。  
55. 医師：特に心配はいりませんが、治療を始めましょう。"
