"1. 医師：こんにちは。今日はどのような症状でいらっしゃいましたか？  
2. 患者：2週間前から胸の真ん中あたりが痛むことがあって、それが最近ひどくなってきました。  
3. 医師：それはどういうときに痛みますか？何かきっかけはありましたか？  
4. 患者：動いたり何か作業をしたりしたときに痛くなることが多いです。でも今日は何もしなくても痛くなって…。  
5. 医師：なるほど。それはどれくらいの時間続きますか？  
6. 患者：普段は5分ぐらいで治まるんですが、今日は20分くらい続いてびっくりしました。  
7. 医師：その痛みはどんな感じですか？チクチクする感じですか、それとも圧迫されるような感じですか？  
8. 患者：なんか、ぎゅーっと押さえつけられるような、重苦しい感じでした。  
9. 医師：その痛みはどこか他の場所に広がったりしますか？  
10. 患者：いえ、胸の真ん中だけですね。  
11. 医師：では、その痛みと一緒に他に感じる症状はありますか？  
12. 患者：めまいや吐き気も少しありました。  
13. 医師：めまいや吐き気は痛みが始まる前、後、どちらで感じましたか？  
14. 患者：痛みが始まった後に感じました。  
15. 医師：ふだん血圧を測ることはありますか？高血圧や低血圧を指摘されたことはありますか？  
16. 患者：血圧は普段気にしていなかったけど、糖尿病の薬は飲んでいます。  
17. 医師：糖尿病はいつ頃から診断されていますか？  
18. 患者：7年くらい前に診断されて、メトホルミンという薬をずっと飲んでいます。  
19. 医師：日常生活で血糖値が高いとか、その影響を感じることはありますか？  
20. 患者：特に自覚がないんですが、このところ少し体がだるい感じがしています。  
21. 医師：ここ数週間で運動したり、階段を上るときに息切れがひどくなることはありましたか？  
22. 患者：そういえば、少し息苦しく感じることがありました。  
23. 医師：動いた後以外で息苦しさや胸の違和感を感じたことはありますか？  
24. 患者：いいえ、動いた後だけですね。でも今日は安静にしているのに痛くなりました。  
25. 医師：胸痛が頻繁になってきたのは最近ということですか？  
26. 患者：はい、この2週間の間にだんだん増えてきて、日に日に強くなっている気がします。  
27. 医師：いつも同じような強さの痛みですか？それとも今日は特に強かった感じでしょうか？  
28. 患者：今日は特に強かったです。これまでとは少し違う感じがしました。  
29. 医師：最近、特に精神的なストレスや生活の変化などがありましたか？  
30. 患者：特に変わったことはありませんが、季節の変わり目で体調が少し不安定だなと感じたことはありました。  
31. 医師：胸痛のほかに、肩や腕、顎、背中に違和感を感じることはありませんでしたか？  
32. 患者：いいえ、胸の痛みだけです。  
33. 医師：睡眠中に痛みで目が覚めたことはありますか？  
34. 患者：それはないですね。  
35. 医師：食事中や食後に胸焼けを感じたり、胃の辺りが痛くなったりすることはありましたか？  
36. 患者：それも特にはないです。  
37. 医師：最近、ふくらはぎや足首がむくむようなことは感じましたか？  
38. 患者：いいえ、むくみなどはありません。  
39. 医師：家族に心臓病や高血圧、糖尿病の方はいらっしゃいますか？  
40. 患者：父が糖尿病で、母は心臓が悪かったと言っていました。  
41. 医師：お酒やタバコは現在されていますか？  
42. 患者：昔はタバコを吸っていましたが、もう20年前にやめました。お酒はほとんど飲みません。  
43. 医師：普段、どのくらい運動していますか？また、食生活はどんな感じですか？  
44. 患者：運動はあまりしていません。食事は結構好きで甘いものも時々食べます。  
45. 医師：今日の症状が出る前にいつもと違う食べ物を食べたり、何かきっかけになることがありましたか？  
46. 患者：特に思い当たることはありません。  
47. 医師：では、安静時でも痛みが続いたとのことですが、その後すぐに改善しましたか？  
48. 患者：少し楽になったけど完全に取れたわけではありませんでした。  
49. 医師：胸の圧迫感が出る前、息切れや心臓がドキドキするといった症状は感じましたか？  
50. 患者：息切れはありましたが、ドキドキは特に感じませんでした。  
51. 医師：検査や診察から判断すると、今回の胸痛は不安定狭心症であると考えられます。"
