"1. 医師：こんにちは、川口さん。今日はどんなことでお困りですか？
2. 患者：最近、顔が丸くなったり体重が増えてきて心配です。
3. 医師：なるほど、いつ頃からそのような変化を感じ始めましたか？
4. 患者：数ヶ月前からですかね、それに疲れやすくなってきました。
5. 医師：他に気になる症状はありますか？
6. 患者：筋力が落ちてきた気がしますし、肌も変な色になってきました。
7. 医師：それはどのあたりの肌ですか？
8. 患者：お腹のあたりですかね。紫っぽい線が入っているんです。
9. 医師：普段の生活に支障は出ていますか？
10. 患者：そうですね、動くのがちょっとしんどくなってきて…
11. 医師：食生活や生活習慣に変化はありましたか？
12. 患者：特に変わったことはしていないと思います。
13. 医師：これまでの病歴について教えてください。糖尿病や高血圧があるとお伺いしています。
14. 患者：はい、どちらも薬で治療しています。
15. 医師：治療は順調ですか？
16. 患者：はい、薬をしっかり飲んでいます。
17. 医師：運動は普段どのくらいされていますか？
18. 患者：あんまりしてないですね。疲れちゃって。
19. 医師：ストレスを感じることはありますか？
20. 患者：特に仕事でストレスがたまることが多いです。
21. 医師：家族や身近な人から、川口さんの状態について何か言及されたことはありますか？
22. 患者：妻から最近太ったねとはよく言われます。
23. 医師：奥様は他に気づいたことをおっしゃっていましたか？
24. 患者：疲れた表情が多くなったとも言われました。
25. 医師：そうですか。自覚的に疲労感は強いですか？
26. 患者：はい、仕事以外の時間でも結構疲れを感じます。
27. 医師：お薬の副作用ということは考えにくいかもしれませんね。最近回答した血液検査の結果はどうでしたか？
28. 患者：特に問題なしと言われましたが、具体的なことは分かりません。
29. 医師：血圧はどのくらいの値を示していますか？
30. 患者：ここ最近はやや高めみたいです。
31. 医師：高血圧の治療を受けても高めなのですね。
32. 医師：日々の生活で何か違和感や不便さは感じますか？
33. 患者：疲れやすくて、動くのがつらいくらいです。
34. 医師：少し雑談ですが、最近のお休みはどのように過ごされましたか？
35. 患者：家でのんびりテレビを見てました。
36. 医師：家でのリラックスは重要ですね。他に興味のある趣味などはありますか？
37. 患者：映画を見るのは好きです。
38. 医師：映画ですか、最近のおすすめはありますか？
39. 患者：最近見たものはどれもよくて…とにかくたくさん見ています。
40. 医師：いろいろ見られるのはいいですね。さて、皮膚の変化についてですが、薄くなったと感じますか？
41. 患者：そうですね、ちょっと薄くなって見える気がします。
42. 医師：体重はどのくらい増えましたか？
43. 患者：5キロほど増えました。
44. 医師：体重増加について何か心当たりはありますか？
45. 患者：特に思い当たる節はないですね。
46. 医師：満月様顔貌や体の特徴的な変化は、おそらく何らかのホルモン異常によるものかもしれません。
47. 患者：ホルモンの問題ですか？
48. 医師：はい、血液検査でコルチゾール値が高いことが確認され、下垂体にも問題があるようです。
49. 患者：どういうことでしょうか？
50. 医師：川口さんの症状はCushing病と呼ばれる状態によるものです。"
