"1. 医師：こんにちは。本日はどうされましたか？  
2. 患者：最近、階段を上るときに胸が圧迫される感じがして苦しくなります。  
3. 医師：それはいつ頃からですか？  
4. 患者：2ヶ月くらい前からです。最初はたまにでしたが、最近は頻度が増えてきました。  
5. 医師：胸の痛みはどこで感じますか？  
6. 患者：胸の真ん中あたりです。  
7. 医師：その痛みですが、どのくらい続きますか？  
8. 患者：疲れて座ると、だいたい数分で消えます。  
9. 医師：痛みや圧迫感が起きるのは、どんなときが多いですか？  
10. 患者：階段や坂を上るなど、体を動かしているときです。  
11. 医師：安静時には痛みが出ることはありますか？  
12. 患者：いえ、安静にしているときは出ません。  
13. 医師：動いているとき以外に、例えば食事中や夜間に痛みは出ますか？  
14. 患者：いいえ、そういうときには出ないです。  
15. 医師：痛みの程度はどうですか？とても強いですか？それとも軽いですか？  
16. 患者：がまんできるくらいですが、だんだん気になるくらいにはなってきました。  
17. 医師：動悸や息切れもありますか？  
18. 患者：動悸もたまにしますし、疲れやすくなった気がします。  
19. 医師：最近、大きなストレスや体重の急激な増加はありましたか？  
20. 患者：特にありません。体重も変わっていません。  
21. 医師：以前、似たような症状が出たことはありますか？  
22. 患者：いいえ、特にないです。  
23. 医師：どのくらいの距離や時間、歩くと症状が出やすいですか？  
24. 患者：ゆっくり平らな道を歩く分には大丈夫ですが、少し坂道があると気になります。  
25. 医師：胸の痛み以外に、手やあごに痛みが広がることはありますか？  
26. 患者：いいえ、胸だけです。  
27. 医師：お薬を飲んでいる場合、それで症状が良くなりますか？  
28. 患者：胸の痛みで薬は飲んでいません。  
29. 医師：既往歴で糖尿病があるとのことですが、それはいつからですか？  
30. 患者：10年くらい前に診断されました。  
31. 医師：糖尿病の薬は飲んでいますか？  
32. 患者：はい、内科で薬をもらっています。  
33. 医師：糖尿病以外に、持病や今までに入院したことはありますか？  
34. 患者：いえ、それ以外には特にありません。  
35. 医師：家族の中で、心臓病や糖尿病、高血圧の方はいらっしゃいますか？  
36. 患者：はい、母が高血圧で薬を服用していました。  
37. 医師：喫煙はされますか？  
38. 患者：昔少し吸っていましたが、もう20年以上吸っていません。  
39. 医師：お酒は飲まれますか？  
40. 患者：付き合い程度に週に1回くらいです。  
41. 医師：痛みが強くなる時間帯や状況に規則性はあると思いますか？  
42. 患者：いつもではないですが、決まって体を動かしたときです。  
43. 医師：痛みが起きると顔色が青白くなるとか、冷や汗をかくことはありますか？  
44. 患者：汗は普通の汗かなと思いますが、顔色は自分では分かりません。  
45. 医師：痛みがあるときに呼吸が苦しくなることはありますか？  
46. 患者：胸が苦しいときは少し呼吸もしんどいです。  
47. 医師：心臓の動きを確認するために少し検査を受けていただいて、それをもとに原因を調べましょう。  
48. 患者：はい、お願いします。  
49. 医師：検査結果からですが、症状の原因として心臓の血管が狭くなっている可能性が高いです。  
50. 患者：そうなんですね。それはよくあることなんですか？  
51. 医師：お聞きした症状と検査結果から、労作性狭心症と診断できると思います。  
52. 患者：労作性狭心症というのはどういう病気なんですか？  
53. 医師：それは、心臓へ血液を送る血管が狭くなって、運動などで心臓に負担がかかるときに胸痛や圧迫感が出る状態です。  
54. 患者：そうだったんですね…。どうしたら治せるのか教えてください。  
55. 医師：詳しい治療内容についてはこれからしっかり説明しますので、一緒にしっかり管理していきましょうね。"
