"1. 医師：こんにちは、どうもいらっしゃいました。今日はどのようなご様子ですか？  
2. 患者：こんにちは。最近、特に運動をすると胸が圧迫される感じがして、つらいです。  
3. 医師：いつ頃からその症状を感じ始めましたか？  
4. 患者：一か月くらい前からです。最初は階段を上るときだけでしたが。  
5. 医師：その時、どのくらいの運動で症状が出ていましたか？  
6. 患者：階段を2階分上がるくらいです。その後に胸が詰まる感じがして、息苦しくなりました。  
7. 医師：安静にしていると症状はどうなりますか？  
8. 患者：数分休むと自然におさまりますね。  
9. 医師：昨日は歩いている最中にも症状が出たとお聞きしましたが、そのときの様子を教えてください。  
10. 患者：はい、普通に平らな道を歩いていたんですが、急に胸が苦しくなって、少し吐き気も感じました。  
11. 医師：その症状はどのくらい続きましたか？  
12. 患者：5分から10分くらいですかね。しばらく休むとやっぱり落ち着きました。  
13. 医師：胸の痛みや圧迫感は具体的にどこに感じましたか？  
14. 患者：胸の真ん中あたりです。締め付けられるような感じでした。  
15. 医師：痛みは腕や肩、背中、顎などに広がることはありますか？  
16. 患者：いえ、広がるということはなかったと思います。  
17. 医師：そうですか。他に症状が出たときに冷や汗をかいたり、動悸を感じたりしましたか？  
18. 患者：はい、少し冷や汗が出ました。でも動悸は感じませんでした。  
19. 医師：寝ているときや安静時に同じ症状が現れることはありますか？  
20. 患者：いいえ、特にそういうことはありません。  
21. 医師：以前から心臓や血管に関する病気を指摘されたことはありますか？  
22. 患者：特にはないです。ただ、高脂血症と言われていて、薬を飲んでいます。  
23. 医師：そのお薬はきちんと服用されていますか？  
24. 患者：はい、先生に言われた通り毎日飲んでいます。  
25. 医師：タバコを吸ったり、お酒を飲んだりされますか？  
26. 患者：タバコは吸いませんが、週に2～3回お酒を少し飲みます。  
27. 医師：お酒はどのくらいの量を飲まれますか？  
28. 患者：ビールなら350ml缶を1本くらいです。  
29. 医師：運動や仕事はどのくらいされますか？  
30. 患者：仕事はリタイアしています。最近はあまり動かず、たまに散歩をする程度です。  
31. 医師：血液検査で高LDL-C血症があることがわかりましたが、食生活について教えていただけますか？  
32. 患者：脂っこいものはそんなに食べてないつもりですが、つい間食が多くなりがちで…甘いものとか。  
33. 医師：ご家族に心臓病や高血圧、糖尿病の方はいらっしゃいますか？  
34. 患者：父が高血圧でしたが、あとは特に重い病気の人はいませんでした。  
35. 医師：睡眠やストレスについてはどうですか？  
36. 患者：睡眠は問題ないですが、最近少し心配ごとが重なってストレスを感じることが増えました。  
37. 医師：今の血圧を測りますね。最近の血圧はご自宅で測ったことがありますか？  
38. 患者：測ったことはないですが、いつも健康診断で少し高めと言われています。  
39. 医師：こちらでも140/90mmHgと少し高めです。脈拍は72回/分で規則的です。  
40. 患者：そうですか。少し気をつけたほうがいいんですね。  
41. 医師：はい、ECGを撮影したところ、大きな異常はありませんが、運動負荷試験でST低下が見られました。  
42. 患者：それはどういう意味ですか？  
43. 医師：運動時に心臓への血流が一時的に減少している可能性があります。これを調べるためにさらに検査をしました。  
44. 患者：その結果はどうだったんですか？  
45. 医師：冠動脈CTで一部の血管に狭窄が見つかり、詳細を確認するために冠動脈造影を行いました。  
46. 患者：狭窄というのは…。  
47. 医師：血管が細くなっている状態です。これが原因で症状が出ている可能性があります。  
48. 患者：それで、何か病気だということですか？  
49. 医師：おそらく労作性狭心症であると診断されます。運動時に胸痛や圧迫感が出る主要な原因の一つです。  
50. 患者：そうなんですね…。やっぱり心臓に関係が…。  
（診断を伝えたため、ここで終了します）  "
