"1. 医師：こんにちは、本日はどのようなご相談でしょうか？  
2. 患者：こんにちは、最近ずっと疲れが取れなくて、何もやる気が起きないんです。  
3. 医師：お疲れが続いているとのことですが、いつ頃からそのように感じ始めましたか？  
4. 患者：半年くらい前から少しずつ酷くなってきました。  
5. 医師：半年間もですか。その疲れを感じる頻度はどのくらいですか？毎日ですか？  
6. 患者：はい、ほぼ毎日です。休んでも全然良くならない感じです。  
7. 医師：他にどんな症状がありますか？例えば、眠れないとか、頭がボーッとしてしまうとか。  
8. 患者：はい、夜あんまりよく眠れなくて、朝もスッキリしません。それに集中力もなくて、仕事が手につかないんです。  
9. 医師：それはお辛いですね。お仕事はどのようなお仕事をされているんですか？  
10. 患者：事務職です。最近、ミスが多くなってしまって同僚にも迷惑をかけている気がして。  
11. 医師：趣味や普段楽しんでいたことには興味を持てていますか？  
12. 患者：前は休みに本を読んだり旅行に行ったりしていたんですけど、今は全然その気になれなくて。  
13. 医師：どれくらい興味がなくなったと感じますか？具体的に教えてください。  
14. 患者：もうしばらく、本も開いてないですし、旅行も考えることもしなくなりました。  
15. 医師：最近、体重の変化はありましたか？  
16. 患者：はい、6か月で5kgくらい減ってしまいました。食欲がなくて、ほとんど食べていない日もあります。  
17. 医師：食欲不振があるのですね。何か特定の食べ物が食べられないとかありますか？  
18. 患者：いや、特定のものではないんですが、とにかく何も食べたくない感じです。  
19. 医師：消化器系の症状、例えば下痢や便秘などの異常はありませんか？  
20. 患者：それは特にないです。  
21. 医師：以前に病気をしたことはありますか？過去の健康状態について教えてください。  
22. 患者：過去に過敏性腸症候群で悩んでいましたが、最近はその症状はほとんどありません。  
23. 医師：ご家族や周りの方から最近の変化について何か言われていませんか？  
24. 患者：夫からは、「最近話をあまりしなくなった」と言われました。自分では気づいてなかったんですけど、確かにそうかもしれません。  
25. 医師：感情面ではどのように感じていますか？例えば、悲しいとかイライラするとか。  
26. 患者：悲しさというよりは、無気力で何も感じないような毎日です。  
27. 医師：涙が出ることはありますか？  
28. 患者：あまり泣くことはないですね。  
29. 医師：体の痛みとか、動機がすることはありますか？  
30. 患者：それは特にないです。  
31. 医師：日常生活で何か特に困っていることは他にありますか？  
32. 患者：寝ても疲れが取れないので、仕事にもどんどん遅れるようになっています。それがストレスです。  
33. 医師：ストレスについてですが、何か特定の原因があると感じますか？  
34. 患者：仕事量が増えたのが最初は原因かと思っていましたが、それだけじゃない気がします。  
35. 医師：人間関係では特に問題はありませんか？  
36. 患者：同僚や家族とは良好ではありますが、最近自分から話しかけることが少なくなりました。  
37. 医師：生活習慣についてもお伺いします。運動は普段されていますか？  
38. 患者：以前はジムにも行っていたんですが、今は全くできていません。  
39. 医師：アルコールや喫煙はされていますか？  
40. 患者：お酒はたまに飲む程度で、タバコは吸いません。  
41. 医師：睡眠時間はどのくらい取れていますか？  
42. 患者：寝床には毎晩入りますが、すぐに眠れなくて、トータルで5時間くらいしか寝られていない気がします。  
43. 医師：起きた時にぐっすり眠れたと感じることはありますか？  
44. 患者：全然ないですね。疲れが逆に増している感じです。  
45. 医師：ご自身で何か改善するために試したことはありますか？  
46. 患者：サプリメントやマッサージなど試してみましたが、特に変わりませんでした。  
47. 医師：ありがとうございます。これまで伺った症状や状況から、心の健康に関する問題が考えられます。診断名としては「うつ病」が疑われます。  
48. 患者：そうなんですね…。その場合は治療方法はどうなるんでしょうか？  
49. 医師：治療方法については薬物療法と心理療法が基本になります。薬は「セルトラリン」というものを最初に試してみましょう。  
50. 患者：わかりました。よろしくお願いします。  "
